code,code_3,s
2321,1,2
2715,1,2
176,1,1
177,1,1
178,1,1
179,1,1
180,1,1
181,1,1
182,1,1
183,1,1
184,1,1
185,1,1
186,1,1
187,1,1
188,1,1
189,1,1
190,1,1
191,1,1
192,1,1
193,1,1
194,1,1
195,1,1
196,1,1
197,1,1
198,1,1
199,1,1
200,1,1
201,1,1
202,1,1
203,1,1
204,1,1
205,1,1
206,1,1
207,1,1
208,1,1
209,1,1
210,1,1
211,1,1
212,1,1
9111,2,2
9112,2,2
9113,2,2
546,2,1
547,2,1
548,2,1
549,2,1
550,2,1
6311,2,2
6212,2,2
6223,2,2
6999,2,2
6111,2,2
6112,2,2
6113,2,2
6114,2,2
6115,2,2
6116,2,2
6117,2,2
6119,2,2
6121,2,2
6122,2,2
6123,2,2
6124,2,2
6125,2,2
6126,2,2
6127,2,2
6131,2,2
642,3,1
643,3,1
644,3,1
645,3,1
646,3,1
647,3,1
648,3,1
9236,3,2
9237,3,2
9239,3,2
670,3,1
674,3,1
682,3,1
683,3,1
8133,3,2
7511,3,2
7512,3,2
7514,3,2
7515,3,2
604,3,1
7517,3,2
605,3,1
606,3,1
8161,3,2
8162,3,2
8171,3,2
9231,4,2
9232,4,2
9233,4,2
9234,4,2
9235,4,2
7321,4,2
8999,4,2
7612,4,2
7613,4,2
7999,4,2
715,4,1
8143,4,2
8144,4,2
611,4,1
612,4,1
613,4,1
614,4,1
615,4,1
616,4,1
617,4,1
618,4,1
619,4,1
2624,5,2
293,5,1
294,5,1
295,5,1
296,5,1
297,5,1
298,5,1
299,5,1
300,5,1
2631,5,2
2633,5,2
303,5,1
2635,5,2
2641,5,2
2643,5,2
2645,5,2
2621,5,2
2623,5,2
352,6,1
353,6,1
354,6,1
355,6,1
356,6,1
357,6,1
358,6,1
359,6,1
360,6,1
361,6,1
362,6,1
365,6,1
2644,6,2
2646,6,2
344,6,1
349,6,1
350,6,1
351,6,1
2816,7,2
414,7,1
2823,7,2
392,7,1
393,7,1
394,7,1
395,7,1
396,7,1
397,7,1
398,7,1
399,7,1
400,7,1
412,7,1
2812,7,2
413,7,1
2814,7,2
415,7,1
7341,8,2
334,8,1
335,8,1
336,8,1
337,8,1
2639,8,2
338,8,1
339,8,1
340,8,1
341,8,1
342,8,1
7221,8,2
2649,8,2
7222,8,2
603,8,1
343,8,1
8132,9,2
7211,9,2
8172,9,2
589,9,1
590,9,1
591,9,1
592,9,1
593,9,1
671,9,1
8141,9,2
8145,9,2
7223,9,2
8123,9,2
607,9,1
2541,10,2
110,10,1
111,10,1
112,10,1
113,10,1
114,10,1
115,10,1
2164,10,2
116,10,1
117,10,1
2542,10,2
2543,10,2
2544,10,2
131,11,1
132,11,1
133,11,1
134,11,1
135,11,1
136,11,1
137,11,1
138,11,1
139,11,1
140,11,1
2221,11,2
2234,11,2
2813,11,2
2632,12,2
308,12,1
309,12,1
310,12,1
311,12,1
312,12,1
313,12,1
314,12,1
315,12,1
316,12,1
317,12,1
318,12,1
5411,13,2
5412,13,2
5413,13,2
369,13,1
370,13,1
371,13,1
372,13,1
373,13,1
374,13,1
375,13,1
376,13,1
2652,13,2
3112,14,2
3113,14,2
426,14,1
427,14,1
428,14,1
429,14,1
430,14,1
431,14,1
432,14,1
433,14,1
434,14,1
435,14,1
9411,15,2
494,15,1
495,15,1
496,15,1
497,15,1
498,15,1
499,15,1
500,15,1
5111,15,2
5112,15,2
5113,15,2
5114,15,2
5312,16,2
5314,16,2
529,16,1
530,16,1
531,16,1
532,16,1
533,16,1
534,16,1
535,16,1
536,16,1
537,16,1
9221,17,2
9222,17,2
719,17,1
720,17,1
721,17,1
722,17,1
723,17,1
724,17,1
725,17,1
726,17,1
727,17,1
1225,18,2
1525,18,2
24,18,1
25,18,1
26,18,1
27,18,1
28,18,1
29,18,1
30,18,1
31,18,1
235,19,1
236,19,1
237,19,1
238,19,1
239,19,1
240,19,1
241,19,1
242,19,1
243,19,1
2427,19,2
7331,20,2
684,20,1
