codigo,codigo_nuevo,clasificador,nombre_ocupacion
2321,1,sinco,Profesores universitarios y de enseñanza superior
2715,1,sinco,Instructores y capacitadores en oficios y para el trabajo
25-1011,1,onet,"Business Teachers, Postsecondary"
25-1022,1,onet,"Mathematical Science Teachers, Postsecondary"
25-1021,1,onet,"Computer Science Teachers, Postsecondary"
25-1031,1,onet,"Architecture Teachers, Postsecondary"
25-1032,1,onet,"Engineering Teachers, Postsecondary"
25-1041,1,onet,"Agricultural Sciences Teachers, Postsecondary"
25-1042,1,onet,"Biological Science Teachers, Postsecondary"
25-1043,1,onet,"Forestry and Conservation Science Teachers, Postsecondary"
25-1052,1,onet,"Chemistry Teachers, Postsecondary"
25-1051,1,onet,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
25-1053,1,onet,"Environmental Science Teachers, Postsecondary"
25-1054,1,onet,"Physics Teachers, Postsecondary"
25-1065,1,onet,"Political Science Teachers, Postsecondary"
25-1063,1,onet,"Economics Teachers, Postsecondary"
25-1069,1,onet,"Social Sciences Teachers, Postsecondary, All Other"
25-1062,1,onet,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
25-1066,1,onet,"Psychology Teachers, Postsecondary"
25-1061,1,onet,"Anthropology and Archeology Teachers, Postsecondary"
25-1067,1,onet,"Sociology Teachers, Postsecondary"
25-1064,1,onet,"Geography Teachers, Postsecondary"
25-1071,1,onet,"Health Specialties Teachers, Postsecondary"
25-1072,1,onet,"Nursing Instructors and Teachers, Postsecondary"
25-1082,1,onet,"Library Science Teachers, Postsecondary"
25-1081,1,onet,"Education Teachers, Postsecondary"
25-1113,1,onet,"Social Work Teachers, Postsecondary"
25-1112,1,onet,"Law Teachers, Postsecondary"
25-1111,1,onet,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
25-1125,1,onet,"History Teachers, Postsecondary"
25-1126,1,onet,"Philosophy and Religion Teachers, Postsecondary"
25-1121,1,onet,"Art, Drama, and Music Teachers, Postsecondary"
25-1123,1,onet,"English Language and Literature Teachers, Postsecondary"
25-1124,1,onet,"Foreign Language and Literature Teachers, Postsecondary"
25-1122,1,onet,"Communications Teachers, Postsecondary"
25-1199,1,onet,"Postsecondary Teachers, All Other"
25-1192,1,onet,"Family and Consumer Sciences Teachers, Postsecondary"
25-1194,1,onet,"Career/Technical Education Teachers, Postsecondary"
25-1193,1,onet,"Recreation and Fitness Studies Teachers, Postsecondary"
9111,2,sinco,Trabajadores de apoyo en actividades agrícolas
9112,2,sinco,Trabajadores de apoyo en actividades ganaderas
9113,2,sinco,Trabajadores de apoyo que realizan actividades agrícolas y ganaderas
45-2099,2,onet,"Agricultural Workers, All Other"
45-2091,2,onet,Agricultural Equipment Operators
45-2092,2,onet,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
45-2093,2,onet,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
45-2021,2,onet,Animal Breeders
6311,2,sinco,Operadores de maquinaria agropecuaria y forestal
6212,2,sinco,Trabajadores en actividades de acuacultura
6223,2,sinco,Trabajadores en viveros e invernaderos
6999,2,sinco,"Otros trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca, no clasificados anteriormente"
6111,2,sinco,Trabajadores en el cultivo de maíz y/o frijol
6112,2,sinco,Trabajadores en el cultivo de hortalizas y verduras
6113,2,sinco,"Trabajadores en el cultivo de café, cacao y tabaco"
6114,2,sinco,Trabajadores en el cultivo de frutales
6115,2,sinco,Trabajadores en el cultivo de flores
6116,2,sinco,Trabajadores en otros cultivos agrícolas
6117,2,sinco,Trabajadores en actividades de beneficio de productos agrícolas
6119,2,sinco,"Otros trabajadores en actividades agrícolas, no clasificados anteriormente"
6121,2,sinco,Trabajadores en la cría de ganado bovino
6122,2,sinco,Trabajadores en la cría de porcinos
6123,2,sinco,Trabajadores en la cría avícola
6124,2,sinco,Trabajadores en la cría de caprinos y ovinos
6125,2,sinco,Trabajadores en la cría de equinos
6126,2,sinco,Trabajadores en la apicultura
