,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/52879548?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688436818_0UGLNxysIDJmFlkH&previous_page_section_name=1000&federated_search_id=790d0fe1-eb4d-40ca-9125-1325eb8d87e2,Apartment in 20 de Noviembre,Departamento cerca de aeropuerto,1 sofa bed,"$28 $23 night$23 per night, originally $28",https://www.airbnb.com/s/20-de-noviembre--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44241,-99.11046
1,/rooms/924063261882574566?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688436818_yqHy2anjkENrLY74&previous_page_section_name=1000&federated_search_id=790d0fe1-eb4d-40ca-9125-1325eb8d87e2,Apartment in 20 de Noviembre,Cómodo Depto cerca  Aeropuerto,2 beds,"$116 $93 night$93 per night, originally $116",https://www.airbnb.com/s/20-de-noviembre--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44127363717615,-99.10914060224182
2,/rooms/607074166684729215?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688436818_oCxcVOqLxf%2FDtaGm&previous_page_section_name=1000&federated_search_id=790d0fe1-eb4d-40ca-9125-1325eb8d87e2,Loft in 20 de Noviembre,Industrial Loft near AICM,3 beds,$50 night$50 per night,https://www.airbnb.com/s/20-de-noviembre--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44313,-99.10719
3,/rooms/53280099?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688436818_3LoT5LvCgzkE955O&previous_page_section_name=1000&federated_search_id=790d0fe1-eb4d-40ca-9125-1325eb8d87e2,Apartment in 20 de Noviembre,AIRPORT CDMX Foro Sol Autodromo Zocalo,6 beds,$27 night$27 per night,https://www.airbnb.com/s/20-de-noviembre--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44052,-99.10972
4,/rooms/53239436?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688436818_OFp%2FbwqmpdHDBNIa&previous_page_section_name=1000&federated_search_id=790d0fe1-eb4d-40ca-9125-1325eb8d87e2,Apartment in 20 de Noviembre,Nice Aparment & Clean Airport Foro Sol Zocalo Tapo,6 beds,$29 night$29 per night,https://www.airbnb.com/s/20-de-noviembre--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44121,-99.11037
5,/rooms/35938221?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-23&source_impression_id=p3_1688436818_QivVS%2BG6ZgpPROel&previous_page_section_name=1000&federated_search_id=790d0fe1-eb4d-40ca-9125-1325eb8d87e2,Loft in 20 de Noviembre,"2 private mini loft, airport 15 minutes.",1 double bed,$23 night$23 per night,https://www.airbnb.com/s/20-de-noviembre--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44176,-99.11212
6,/rooms/33911290?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688436818_RNdD3%2BMsJ5I6FyzE&previous_page_section_name=1000&federated_search_id=790d0fe1-eb4d-40ca-9125-1325eb8d87e2,Condo in Revolucion,Loft_3 Privado viaje Urbano/Conciertos/AirportAICM,2 beds,"$33 $29 night$29 per night, originally $33",https://www.airbnb.com/s/20-de-noviembre--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43812,-99.10601
7,/rooms/684302596123256793?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688436818_%2FCl4fUYlbVpttM7%2F&previous_page_section_name=1000&federated_search_id=790d0fe1-eb4d-40ca-9125-1325eb8d87e2,Apartment in 20 de Noviembre,Big Apartament to Big Groups CDMX Foro Sol Airport,15 beds,$33 night$33 per night,https://www.airbnb.com/s/20-de-noviembre--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44078,-99.11183
8,/rooms/892279381047894851?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688436818_f2DLfmBYAVmow0dq&previous_page_section_name=1000&federated_search_id=790d0fe1-eb4d-40ca-9125-1325eb8d87e2,Apartment in 20 de Noviembre,Near & cheap to AICM & foro sol & zócalo,2 beds,$36 night$36 per night,https://www.airbnb.com/s/20-de-noviembre--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4475,-99.1039
9,/rooms/47965211?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688436818_US7Fp1mAYhOKNk4c&previous_page_section_name=1000&federated_search_id=790d0fe1-eb4d-40ca-9125-1325eb8d87e2,Room in 20 de Noviembre,Room near Airport in Shared Apartment,Stay with Edgar Iván,$22 night$22 per night,https://www.airbnb.com/s/20-de-noviembre--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44711,-99.10481
