,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/566156067272420388?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688408651_ESLHgVxdAKku77QT&previous_page_section_name=1000&federated_search_id=6a690ee1-515e-4a72-a83b-33aa507b4072,Apartment in Mexico City,"Comfortable apartment full of light, near Polanco",2 beds,"€ 60 € 52 night€ 52 per night, originally € 60 · € 256 total€ 256 totalShow price breakdown",https://www.airbnb.com/s/5-de-mayo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4498,-99.1982
1,/rooms/49044599?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-15&source_impression_id=p3_1688408651_eLqiNvG1otC8CgWZ&previous_page_section_name=1000&federated_search_id=6a690ee1-515e-4a72-a83b-33aa507b4072,Apartment in Mexico City,POLANCO... - GREAT APARTMENT / MEXICO CITY,1 queen bed,€ 90 night€ 90 per night · € 540 total€ 540 totalShow price breakdown,https://www.airbnb.com/s/5-de-mayo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44565,-99.20217
2,/rooms/15356885?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688408651_K7AtwgkFG%2FcIeSjj&previous_page_section_name=1000&federated_search_id=6a690ee1-515e-4a72-a83b-33aa507b4072,Condo in Mexico City,Department a 2 min del museum Soumaya.,2 beds,€ 76 night€ 76 per night · € 379 total€ 379 totalShow price breakdown,https://www.airbnb.com/s/5-de-mayo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44457,-99.20088
3,/rooms/52444508?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688408651_ZGeue%2B2oYVurJ5dZ&previous_page_section_name=1000&federated_search_id=6a690ee1-515e-4a72-a83b-33aa507b4072,Apartment in Mexico City,POLANCO.- GREAT APARTMENT / MEXICO CITY,1 bed,€ 89 night€ 89 per night · € 443 total€ 443 totalShow price breakdown,https://www.airbnb.com/s/5-de-mayo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44409,-99.20199
4,/rooms/38548415?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688408651_nERCEr8P0I65zovS&previous_page_section_name=1000&federated_search_id=6a690ee1-515e-4a72-a83b-33aa507b4072,Apartment in Mexico City,Great Apartment - Polanco Area,1 queen bed,€ 86 night€ 86 per night · € 428 total€ 428 totalShow price breakdown,https://www.airbnb.com/s/5-de-mayo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44573,-99.2019
5,/rooms/776150161997108221?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-02&check_out=2023-08-07&source_impression_id=p3_1688408651_En0dzVvk7G6Pgs5q&previous_page_section_name=1000&federated_search_id=6a690ee1-515e-4a72-a83b-33aa507b4072,Condo in Mexico City,New and cozy apartment in Polanco,3 beds,€ 112 night€ 112 per night · € 560 total€ 560 totalShow price breakdown,https://www.airbnb.com/s/5-de-mayo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44627,-99.20176
6,/rooms/53342323?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-09&source_impression_id=p3_1688408651_kdDdZ3Q739IWGFe7&previous_page_section_name=1000&federated_search_id=6a690ee1-515e-4a72-a83b-33aa507b4072,Apartment in Mexico City,POLANCO.. - GREAT APARTMENT / MEXICO CITY,Jul 3 – 9,€ 89 night€ 89 per night · € 532 total€ 532 totalShow price breakdown,https://www.airbnb.com/s/5-de-mayo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44621,-99.20396
7,/rooms/33050196?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688408651_Dcb1wWzEeQneeQox&previous_page_section_name=1000&federated_search_id=6a690ee1-515e-4a72-a83b-33aa507b4072,Condo in Mexico City,Industrial CHIC new apt 2 BR/ New Polanco,2 beds,"€ 113 € 93 night€ 93 per night, originally € 113 · € 462 total€ 462 totalShow price breakdown",https://www.airbnb.com/s/5-de-mayo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4448,-99.2034
8,/rooms/869210753165694880?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688408651_CDrYBogyK2SuTr78&previous_page_section_name=1000&federated_search_id=6a690ee1-515e-4a72-a83b-33aa507b4072,Apartment in Mexico City,Pequeño Departamento cerca de Legaría,1 bed,€ 55 night€ 55 per night · € 274 total€ 274 totalShow price breakdown,https://www.airbnb.com/s/5-de-mayo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.448521839340064,-99.20336191246294
9,/rooms/44316420?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-27&check_out=2023-08-02&source_impression_id=p3_1688408651_3eHEbiaRGm9AlEqv&previous_page_section_name=1000&federated_search_id=6a690ee1-515e-4a72-a83b-33aa507b4072,Loft in Mexico City,Loft Studio,1 double bed,€ 32 night€ 32 per night · € 192 total€ 192 totalShow price breakdown,https://www.airbnb.com/s/5-de-mayo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44479,-99.2001
10,/rooms/775212294681795215?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1688408651_AdMX9Qp5zpz9awkm&previous_page_section_name=1000&federated_search_id=6a690ee1-515e-4a72-a83b-33aa507b4072,Apartment in Mexico City,"Apartment Area Carso Polanco, Security, Pool & Gym",2 beds,€ 92 night€ 92 per night · € 456 total€ 456 totalShow price breakdown,https://www.airbnb.com/s/5-de-mayo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.445,-99.2029
11,/rooms/52769833?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688408651_9j1a%2FUrUZKt7bKJ3&previous_page_section_name=1000&federated_search_id=6a690ee1-515e-4a72-a83b-33aa507b4072,Apartment in Mexico City,B/Center+GYM+2 Rooftops+Fire Pit | Voguish Apt,1 king bed,€ 103 night€ 103 per night · € 514 total€ 514 totalShow price breakdown,https://www.airbnb.com/s/5-de-mayo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4384,-99.192
12,/rooms/747108146073789559?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688408651_GhVOajflIOpp9kaP&previous_page_section_name=1000&federated_search_id=6a690ee1-515e-4a72-a83b-33aa507b4072,Condo in Mexico City,"1BR|1BA Apartment W/ pool, gym, high speed WiFi",1 king bed,€ 85 night€ 85 per night · € 422 total€ 422 totalShow price breakdown,https://www.airbnb.com/s/5-de-mayo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44579,-99.20551
13,/rooms/655228165333117808?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688408651_K3BikeKXVqAfyJIE&previous_page_section_name=1000&federated_search_id=6a690ee1-515e-4a72-a83b-33aa507b4072,Apartment in Mexico City,Lovely 2-bethroom apartment,2 beds,"€ 135 € 86 night€ 86 per night, originally € 135 · € 426 total€ 426 totalShow price breakdown",https://www.airbnb.com/s/5-de-mayo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4425,-99.2027
14,/rooms/572023920388897424?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-24&check_out=2023-07-29&source_impression_id=p3_1688408651_WKzl2PxfLKbFwAi%2F&previous_page_section_name=1000&federated_search_id=6a690ee1-515e-4a72-a83b-33aa507b4072,Apartment in Miguel Hidalgo,Ellegant apartment near Polanco | Pool & Gym,2 beds,€ 111 night€ 111 per night · € 553 total€ 553 totalShow price breakdown,https://www.airbnb.com/s/5-de-mayo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4424,-99.20011
15,/rooms/853004498891502387?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688408651_4HRxH6lz%2FJD5EJ2w&previous_page_section_name=1000&federated_search_id=6a690ee1-515e-4a72-a83b-33aa507b4072,Apartment in Mexico City,Departamento 4 personas cerca Legaría,3 beds,€ 67 night€ 67 per night · € 333 total€ 333 totalShow price breakdown,https://www.airbnb.com/s/5-de-mayo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.448148028591426,-99.2014256952417
16,/rooms/51827082?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-30&check_out=2023-08-04&source_impression_id=p3_1688408651_eTN5xVwYiE3lMCjl&previous_page_section_name=1000&federated_search_id=6a690ee1-515e-4a72-a83b-33aa507b4072,Apartment in Mexico City,Your Home in Mexico City (Polanco - Neuchatel),1 king bed,"€ 98 € 88 night€ 88 per night, originally € 98 · € 441 total€ 441 totalShow price breakdown",https://www.airbnb.com/s/5-de-mayo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44221,-99.19984
17,/rooms/52509151?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1688408651_ACV7QXLw0tYM%2FCzM&previous_page_section_name=1000&federated_search_id=6a690ee1-515e-4a72-a83b-33aa507b4072,Condo in Mexico City,Comfy and Great location apartment @ Polanco,2 beds,"€ 97 € 90 night€ 90 per night, originally € 97 · € 448 total€ 448 totalShow price breakdown",https://www.airbnb.com/s/5-de-mayo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44511,-99.20406
