,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/53849872?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688452775_nD9WVZDbARl6gV7N&previous_page_section_name=1000&federated_search_id=4cbdde97-1cd9-4202-918f-229a7ac2e21c,Apartment in Chihuahua,Downtown Furnished Apartment #2,1 bed,$16 night$16 per night,https://www.airbnb.com/s/5to-tramo-de-20-de-noviembre--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,28.619,-106.08152
1,/rooms/640492255823052637?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688452775_%2BTRZYuvLoo1DZKrW&previous_page_section_name=1000&federated_search_id=4cbdde97-1cd9-4202-918f-229a7ac2e21c,Home in Chihuahua,Residencia Gutierrez,3 beds,$193 night$193 per night,https://www.airbnb.com/s/5to-tramo-de-20-de-noviembre--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,28.61225,-106.08785
2,/rooms/36355483?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688452775_uDyJNlfqtsR3MAE4&previous_page_section_name=1000&federated_search_id=4cbdde97-1cd9-4202-918f-229a7ac2e21c,Home in Chihuahua,"LUXORY, DOWNTOWN CHePe, SHOPPING AREA, CONVENTIONS",3 beds,$87 night$87 per night,https://www.airbnb.com/s/5to-tramo-de-20-de-noviembre--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,28.62195,-106.08843
3,/rooms/50933645?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688452775_we7NSXihn8SFM0uQ&previous_page_section_name=1000&federated_search_id=4cbdde97-1cd9-4202-918f-229a7ac2e21c,Condo in Chihuahua,1-bedroom apartment in the heart of Chihuahua City,1 bed,$46 night$46 per night,https://www.airbnb.com/s/5to-tramo-de-20-de-noviembre--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,28.62375,-106.08226
4,/rooms/45870586?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688452775_FkYWvYtBXayUOyre&previous_page_section_name=1000&federated_search_id=4cbdde97-1cd9-4202-918f-229a7ac2e21c,Apartment in Chihuahua,“ Depa very comfortable with the best view ”,2 queen beds,"$64 $57 night$57 per night, originally $64",https://www.airbnb.com/s/5to-tramo-de-20-de-noviembre--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,28.6172,-106.10995
5,/rooms/852474137501798260?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688452775_4kt48jV5M6x3hljE&previous_page_section_name=1000&federated_search_id=4cbdde97-1cd9-4202-918f-229a7ac2e21c,Home in Chihuahua,Casa Barrio Céntrico,1 double bed,$23 night$23 per night,https://www.airbnb.com/s/5to-tramo-de-20-de-noviembre--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,28.62026,-106.08525
6,/rooms/39506435?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688452775_y%2FpQ7GqiWVvyVdPm&previous_page_section_name=1000&federated_search_id=4cbdde97-1cd9-4202-918f-229a7ac2e21c,Loft in Chihuahua,🚩Exclusive Executive Loft with Smart System✔️,1 queen bed,$55 night$55 per night,https://www.airbnb.com/s/5to-tramo-de-20-de-noviembre--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,28.6293,-106.0996
7,/rooms/674913786034409886?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688452775_47oSdyPn3EoNvJuH&previous_page_section_name=1000&federated_search_id=4cbdde97-1cd9-4202-918f-229a7ac2e21c,Loft in Chihuahua,Downtown loft in CUU,2 beds,$49 night$49 per night,https://www.airbnb.com/s/5to-tramo-de-20-de-noviembre--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,28.6242,-106.083
8,/rooms/720410192830468455?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688452775_dYHubh3dCJkQx6pU&previous_page_section_name=1000&federated_search_id=4cbdde97-1cd9-4202-918f-229a7ac2e21c,Home in Chihuahua,Luxurious pool house in the best area of Cuu,4 beds,"$256 $212 night$212 per night, originally $256",https://www.airbnb.com/s/5to-tramo-de-20-de-noviembre--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,28.63594,-106.15227
9,/rooms/722775397000232609?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688452775_bU6IuwfN%2Fqm9ytrw&previous_page_section_name=1000&federated_search_id=4cbdde97-1cd9-4202-918f-229a7ac2e21c,Home in Chihuahua,"Modern  house with bathtub, we bill, netflix",2 double beds,$41 night$41 per night,https://www.airbnb.com/s/5to-tramo-de-20-de-noviembre--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,28.62234,-106.0583
