,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/858229220462915533?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-21&source_impression_id=p3_1688437294_7sD6t8%2BE1p5bHNGu&previous_page_section_name=1000&federated_search_id=6f830260-f759-4f4e-aae1-cbd177839c92,Apartment in Moctezuma,CDMX Punta Malia Airport,1 bed,$842 TWD night$842 TWD per night,https://www.airbnb.com/s/7-de-julio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4291,-99.1098
1,/rooms/806125578904670859?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688437294_Ym1gBohQcQ2KAnXa&previous_page_section_name=1000&federated_search_id=6f830260-f759-4f4e-aae1-cbd177839c92,Condo in Moctezuma,Depa Chido,2 queen beds,"$2,077 TWD night$2,077 TWD per night",https://www.airbnb.com/s/7-de-julio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.430414143223867,-99.10751034647191
2,/rooms/53484333?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-21&check_out=2023-07-26&source_impression_id=p3_1688437294_cJoaBu3Tj%2BrxSv%2Bc&previous_page_section_name=1000&federated_search_id=6f830260-f759-4f4e-aae1-cbd177839c92,Loft in Jardin Balbuena,1BR studio close to the AICM airport & Foro Sol,1 double bed,"$1,115 TWD night$1,115 TWD per night",https://www.airbnb.com/s/7-de-julio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4241,-99.1104
3,/rooms/680572844743461501?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688437294_y4eaLWdxilxjhZPg&previous_page_section_name=1000&federated_search_id=6f830260-f759-4f4e-aae1-cbd177839c92,Loft in Moctezuma,"Miniloft 5 CDMX Airport T1 and 2 Foro Sol, TAPO",1 single bed,"$1,076 TWD night$1,076 TWD per night",https://www.airbnb.com/s/7-de-julio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4329,-99.0948
4,/rooms/33911290?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688437294_LTYpCO%2F0YbGep6rL&previous_page_section_name=1000&federated_search_id=6f830260-f759-4f4e-aae1-cbd177839c92,Condo in Revolucion,Loft_3 Privado viaje Urbano/Conciertos/AirportAICM,2 beds,"$1,016 TWD $914 TWD night$914 TWD per night, originally $1,016 TWD",https://www.airbnb.com/s/7-de-julio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43812,-99.10601
5,/rooms/50394689?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688437294_Dss2rEdW9FE0coiC&previous_page_section_name=1000&federated_search_id=6f830260-f759-4f4e-aae1-cbd177839c92,Bed and breakfast in Mexico City,Private Double Room Close to Airport,2 queen beds,"$2,184 TWD night$2,184 TWD per night",https://www.airbnb.com/s/7-de-julio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43541,-99.11681
6,/rooms/724899876468239766?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688437294_sfYRcx%2FpOQ2S5JCM&previous_page_section_name=1000&federated_search_id=6f830260-f759-4f4e-aae1-cbd177839c92,Loft in Moctezuma,"Miniloft 1 Airport CDMX T1 and 2, Foro Sol, TAPO",2 beds,"$1,120 TWD $989 TWD night$989 TWD per night, originally $1,120 TWD",https://www.airbnb.com/s/7-de-julio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43368,-99.09531
7,/rooms/50217408?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-29&check_out=2023-08-04&source_impression_id=p3_1688437294_gq%2Fse3x84xpZS7Cp&previous_page_section_name=1000&federated_search_id=6f830260-f759-4f4e-aae1-cbd177839c92,Apartment in Moctezuma,Great apartment near Airport and Foro Sol,2 double beds,$733 TWD night$733 TWD per night,https://www.airbnb.com/s/7-de-julio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43314,-99.10244
8,/rooms/661687206870109777?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-31&check_out=2023-08-05&source_impression_id=p3_1688437294_Ou3mPazbynKEeryy&previous_page_section_name=1000&federated_search_id=6f830260-f759-4f4e-aae1-cbd177839c92,Loft in Moctezuma,"Miniloft 8 Airport CDMX T1 and T2 Foro Sol, TAPO",1 double bed,"$1,322 TWD night$1,322 TWD per night",https://www.airbnb.com/s/7-de-julio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43373,-99.09361
9,/rooms/671245147937049221?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-11&check_out=2023-07-17&source_impression_id=p3_1688437294_7MRlhK20c6%2Bm0LDd&previous_page_section_name=1000&federated_search_id=6f830260-f759-4f4e-aae1-cbd177839c92,Loft in Moctezuma,"Miniloft 7 Airport CDMX T1 and T2 Foro Sol, TAPO",1 double bed,"$1,322 TWD night$1,322 TWD per night",https://www.airbnb.com/s/7-de-julio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4329,-99.0948
10,/rooms/760748346219166568?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-12&source_impression_id=p3_1688437294_TJsIoP%2FWA8GvtEjM&previous_page_section_name=1000&federated_search_id=6f830260-f759-4f4e-aae1-cbd177839c92,Apartment in Jardin Balbuena,"Nice apartment 
with parking",2 double beds,"$1,814 TWD night$1,814 TWD per night",https://www.airbnb.com/s/7-de-julio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4251,-99.1053
11,/rooms/40728831?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688437294_%2FeIoR%2FmuIdfH8i1S&previous_page_section_name=1000&federated_search_id=6f830260-f759-4f4e-aae1-cbd177839c92,Room in Jardin Balbuena,R1 Habitación Doble Cómoda y Céntrica,Stay with Laura,$823 TWD night$823 TWD per night,https://www.airbnb.com/s/7-de-julio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.427,-99.1078
