,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/908798320552266521?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688476778_WT0hazPwQf3T2Atw&previous_page_section_name=1000&federated_search_id=73a6f54c-2a9c-4886-9f38-e1dbc97d91f5,Apartment in Del Valle Sur,Departamento Cerca de Hospital 20 Noviembre y Xoco,2 beds,$63 night$63 per night,https://www.airbnb.com/s/acacias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.363801078890102,-99.17278980155409
1,/rooms/49467392?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688476778_wbjCyArJRaQfMLvA&previous_page_section_name=1000&federated_search_id=73a6f54c-2a9c-4886-9f38-e1dbc97d91f5,Loft in Acacias,Loft-style apartment in office and hospitals area,2 beds,$31 night$31 per night,https://www.airbnb.com/s/acacias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3652,-99.1766
2,/rooms/39278133?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688476778_KRa21aPsrbwAFI7U&previous_page_section_name=1000&federated_search_id=73a6f54c-2a9c-4886-9f38-e1dbc97d91f5,Apartment in Acacias,Penthouse Ejecutivo en Acacias del Valle Sur,3 beds,$97 night$97 per night,https://www.airbnb.com/s/acacias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36476,-99.17532
3,/rooms/52968357?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1688476778_O5N8aZL%2BWV%2BKDFcM&previous_page_section_name=1000&federated_search_id=73a6f54c-2a9c-4886-9f38-e1dbc97d91f5,Apartment in Del Valle Sur,Beautiful Mexico City Department,3 beds,$47 night$47 per night,https://www.airbnb.com/s/acacias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3632,-99.17071
4,/rooms/14109580?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688476778_5RFHvpzUpFtm0SOj&previous_page_section_name=1000&federated_search_id=73a6f54c-2a9c-4886-9f38-e1dbc97d91f5,Apartment in Acacias,Sunny 2BR Penthouse w/Private Roof Garden,2 beds,"$82 $57 night$57 per night, originally $82",https://www.airbnb.com/s/acacias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36366,-99.17794
5,/rooms/48301806?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-14&source_impression_id=p3_1688476778_yzdfWF%2BCvVW5n9v8&previous_page_section_name=1000&federated_search_id=73a6f54c-2a9c-4886-9f38-e1dbc97d91f5,Room in Acacias,Beautiful equipped suite in Acacias Del Valle,Stay with Alina,$26 night$26 per night,https://www.airbnb.com/s/acacias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36504,-99.17621
6,/rooms/18395150?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688476778_K0vYuH7S2gc0gwmG&previous_page_section_name=1000&federated_search_id=73a6f54c-2a9c-4886-9f38-e1dbc97d91f5,Apartment in Del Valle Sur,Luxury/nice department in the heart of the city!,3 beds,$99 night$99 per night,https://www.airbnb.com/s/acacias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3653,-99.1734
7,/rooms/567998702917555507?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-11&check_out=2023-08-16&source_impression_id=p3_1688476778_HlZyF5xs6%2FxCL%2Bdg&previous_page_section_name=1000&federated_search_id=73a6f54c-2a9c-4886-9f38-e1dbc97d91f5,Condo in Del Valle Sur,Beautiful Penthouse near downtown Coyoacán,5 beds,$129 night$129 per night,https://www.airbnb.com/s/acacias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36764,-99.17135
8,/rooms/plus/7513095?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688476778_XX2I7h3%2FJ4ObEjEm&previous_page_section_name=1000&federated_search_id=73a6f54c-2a9c-4886-9f38-e1dbc97d91f5,Apartment in San José Insurgentes,Experience Mexico City from an Artful Apartment,3 beds,"$77 $59 night$59 per night, originally $77",https://www.airbnb.com/s/acacias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36301,-99.18067
9,/rooms/772044134792700484?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-11&check_out=2023-07-16&source_impression_id=p3_1688476778_8FCXF%2FPBfI4fN59r&previous_page_section_name=1000&federated_search_id=73a6f54c-2a9c-4886-9f38-e1dbc97d91f5,Home in Del Valle Sur,Beautiful house with large garden,5 beds,$161 night$161 per night,https://www.airbnb.com/s/acacias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36824,-99.17325
