,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/50851187?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-22&source_impression_id=p3_1688449110_ciU7SeCrluyxpsRg&previous_page_section_name=1000&federated_search_id=be63d3f5-80ea-41c6-90e7-b53bf09544ba,Loft in Mexico City,Cozy apartment in Anáhuac,2 beds,"€ 54 € 42 night€ 42 per night, originally € 54 · € 207 total€ 207 totalShow price breakdown",https://www.airbnb.com/s/anahuac-lago-norte--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4482,-99.1864
1,/rooms/624144740973952552?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688449110_L0e9tdbdO0nWS3XG&previous_page_section_name=1000&federated_search_id=be63d3f5-80ea-41c6-90e7-b53bf09544ba,Home in Granada,Pleasant downtown house with a popular touch,2 beds,€ 80 night€ 80 per night · € 397 total€ 397 totalShow price breakdown,https://www.airbnb.com/s/anahuac-lago-norte--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44639,-99.18578
2,/rooms/52769833?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688449110_NLpbVxb4fvPAaZEm&previous_page_section_name=1000&federated_search_id=be63d3f5-80ea-41c6-90e7-b53bf09544ba,Apartment in Polanco Reforma,B/Center+GYM+2 Rooftops+Fire Pit | Voguish Apt,1 king bed,"€ 110 € 98 night€ 98 per night, originally € 110 · € 491 total€ 491 totalShow price breakdown",https://www.airbnb.com/s/anahuac-lago-norte--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4384,-99.192
3,/rooms/859677186853062892?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688449110_JkvrcY3nzAwOBkeM&previous_page_section_name=1000&federated_search_id=be63d3f5-80ea-41c6-90e7-b53bf09544ba,Condo in Granada,Apartment very close to Polanco,2 beds,€ 66 night€ 66 per night · € 330 total€ 330 totalShow price breakdown,https://www.airbnb.com/s/anahuac-lago-norte--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.445428335823422,-99.18626764213373
4,/rooms/902029474586964352?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688449110_0Z8F6ISzI%2FQbGh3R&previous_page_section_name=1000&federated_search_id=be63d3f5-80ea-41c6-90e7-b53bf09544ba,Apartment in Anáhuac,"Close to Polanco, free parking and colorful design",2 double beds,€ 71 night€ 71 per night · € 351 total€ 351 totalShow price breakdown,https://www.airbnb.com/s/anahuac-lago-norte--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44821979680478,-99.18388622305915
5,/rooms/50641838?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688449110_p48w29iDWMDOarmy&previous_page_section_name=1000&federated_search_id=be63d3f5-80ea-41c6-90e7-b53bf09544ba,Loft in Granada,Loft de lujo en Nuevo Polanco,1 bed,€ 92 night€ 92 per night · € 460 total€ 460 totalShow price breakdown,https://www.airbnb.com/s/anahuac-lago-norte--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4425,-99.1855
6,/rooms/761221821899441072?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688449110_7EwMqT8rZa3mMGOT&previous_page_section_name=1000&federated_search_id=be63d3f5-80ea-41c6-90e7-b53bf09544ba,Condo in Mexico City,2 CDMX bedrooms near Polanco,3 beds,€ 72 night€ 72 per night · € 357 total€ 357 totalShow price breakdown,https://www.airbnb.com/s/anahuac-lago-norte--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4468,-99.1897
7,/rooms/50048034?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-18&source_impression_id=p3_1688449110_DrOmtl7tC8OaF5fu&previous_page_section_name=1000&federated_search_id=be63d3f5-80ea-41c6-90e7-b53bf09544ba,Condo in Granada,Cozy Apartment near Polanco,2 beds,€ 78 night€ 78 per night · € 389 total€ 389 totalShow price breakdown,https://www.airbnb.com/s/anahuac-lago-norte--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44702,-99.18495
8,/rooms/925260182058502936?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688449110_TbI1m3SwcRSoCt%2B9&previous_page_section_name=1000&federated_search_id=be63d3f5-80ea-41c6-90e7-b53bf09544ba,Apartment in Granada,Apartamento cerca de polanco,2 beds,€ 58 night€ 58 per night · € 401 total€ 401 totalShow price breakdown,https://www.airbnb.com/s/anahuac-lago-norte--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44582,-99.18591
9,/rooms/740852960578243109?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688449110_sRsa2SpTvG18XNf0&previous_page_section_name=1000&federated_search_id=be63d3f5-80ea-41c6-90e7-b53bf09544ba,Apartment in Mariano Escobedo,Departamento céntrico (a unas cuadras de Polanco),2 beds,"€ 54 € 46 night€ 46 per night, originally € 54 · € 276 total€ 276 totalShow price breakdown",https://www.airbnb.com/s/anahuac-lago-norte--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4475,-99.1848
