,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/859677186853062892?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688449567_is0bwQWznyO0xsvD&previous_page_section_name=1000&federated_search_id=0ebc06df-6473-48be-af20-a1c9f1941db9,Condo in Granada,Apartment very close to Polanco,2 beds,$47 night$47 per night,https://www.airbnb.com/s/anahuac-lago-sur--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.445428335823422,-99.18626764213373
1,/rooms/50641838?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688449567_5WDGHUMaq5pzo4g%2B&previous_page_section_name=1000&federated_search_id=0ebc06df-6473-48be-af20-a1c9f1941db9,Loft in Granada,Loft de lujo en Nuevo Polanco,1 bed,$69 night$69 per night,https://www.airbnb.com/s/anahuac-lago-sur--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4425,-99.1855
2,/rooms/52769833?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688449567_wfqLtMCUUijfmyBd&previous_page_section_name=1000&federated_search_id=0ebc06df-6473-48be-af20-a1c9f1941db9,Apartment in Polanco Reforma,B/Center+GYM+2 Rooftops+Fire Pit | Voguish Apt,1 king bed,"$100 $88 night$88 per night, originally $100",https://www.airbnb.com/s/anahuac-lago-sur--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4384,-99.192
3,/rooms/624144740973952552?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688449567_CVT7s%2BGOUmjjdtFg&previous_page_section_name=1000&federated_search_id=0ebc06df-6473-48be-af20-a1c9f1941db9,Home in Granada,Pleasant downtown house with a popular touch,2 beds,$59 night$59 per night,https://www.airbnb.com/s/anahuac-lago-sur--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44639,-99.18578
4,/rooms/50851187?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-22&source_impression_id=p3_1688449567_nkUKGwB1TAnv2Vet&previous_page_section_name=1000&federated_search_id=0ebc06df-6473-48be-af20-a1c9f1941db9,Loft in Mexico City,Cozy apartment in Anáhuac,2 beds,"$42 $29 night$29 per night, originally $42",https://www.airbnb.com/s/anahuac-lago-sur--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4482,-99.1864
5,/rooms/51891926?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688449567_0VlA9aU%2FpGY8Eg4B&previous_page_section_name=1000&federated_search_id=0ebc06df-6473-48be-af20-a1c9f1941db9,Loft in Granada,"Luxury apartment in Polanco, Mexico City.",1 king bed,$64 night$64 per night,https://www.airbnb.com/s/anahuac-lago-sur--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4425,-99.1855
6,/rooms/38725161?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688449567_D5YgMW9q9LbZXDVH&previous_page_section_name=1000&federated_search_id=0ebc06df-6473-48be-af20-a1c9f1941db9,Apartment in Granada,Well-lit apartment located in Polanco limits,2 double beds,"$66 $55 night$55 per night, originally $66",https://www.airbnb.com/s/anahuac-lago-sur--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44188,-99.18529
7,/rooms/684127476214669090?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-23&check_out=2023-07-28&source_impression_id=p3_1688449567_k%2BgRFqne%2Bk%2B0eVZw&previous_page_section_name=1000&federated_search_id=0ebc06df-6473-48be-af20-a1c9f1941db9,Apartment in Granada,Cozy Apartment  | Balcony | Polanco | Downtown,1 bed,$40 night$40 per night,https://www.airbnb.com/s/anahuac-lago-sur--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44283,-99.18657
8,/rooms/48720739?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-24&source_impression_id=p3_1688449567_6Acr3wWuulMnazLI&previous_page_section_name=1000&federated_search_id=0ebc06df-6473-48be-af20-a1c9f1941db9,Apartment in Mexico City,"APT,EQUIPPED,LOCATION,LOCATION, BALCONY, PARKING!",2 queen beds,$50 night$50 per night,https://www.airbnb.com/s/anahuac-lago-sur--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4445,-99.1887
9,/rooms/761221821899441072?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688449567_THC%2Bdmw5oq%2FruZQK&previous_page_section_name=1000&federated_search_id=0ebc06df-6473-48be-af20-a1c9f1941db9,Condo in Mexico City,2 CDMX bedrooms near Polanco,3 beds,$51 night$51 per night,https://www.airbnb.com/s/anahuac-lago-sur--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4468,-99.1897
