,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/716526290713608865?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688447573_qOUXsQkmLBlJAi9o&previous_page_section_name=1000&federated_search_id=6b69e5f1-1683-4ff5-bf8d-880cc242506f,Loft in Anáhuac,C Spectacular Apartment in Polanco,1 bed,"$68 $50 night$50 per night, originally $68",https://www.airbnb.com/s/anahuac-mariano-escobedo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4398,-99.18086
1,/rooms/758115371678520519?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688447573_n0ph4yv69o19NahT&previous_page_section_name=1000&federated_search_id=6b69e5f1-1683-4ff5-bf8d-880cc242506f,Condo in Anáhuac,Beautiful loft in Polanco with a fantastic view,1 double bed,$65 night$65 per night,https://www.airbnb.com/s/anahuac-mariano-escobedo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4412,-99.1818
2,/rooms/52372674?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-20&check_out=2023-07-26&source_impression_id=p3_1688447573_0fsF2JmdzRHVYZtz&previous_page_section_name=1000&federated_search_id=6b69e5f1-1683-4ff5-bf8d-880cc242506f,Condo in Anáhuac,"Lovely 1BR apt. Nice view, pool jacuzzi gym & more",1 king bed,$60 night$60 per night,https://www.airbnb.com/s/anahuac-mariano-escobedo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44034,-99.18271
3,/rooms/51891926?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688447573_j09O%2FVMWpiBaL7mh&previous_page_section_name=1000&federated_search_id=6b69e5f1-1683-4ff5-bf8d-880cc242506f,Loft in Granada,"Luxury apartment in Polanco, Mexico City.",1 king bed,$64 night$64 per night,https://www.airbnb.com/s/anahuac-mariano-escobedo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4425,-99.1855
4,/rooms/52769833?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688447573_xt2MLx5wbDHL4UR0&previous_page_section_name=1000&federated_search_id=6b69e5f1-1683-4ff5-bf8d-880cc242506f,Apartment in Polanco Reforma,B/Center+GYM+2 Rooftops+Fire Pit | Voguish Apt,1 king bed,"$98 $86 night$86 per night, originally $98",https://www.airbnb.com/s/anahuac-mariano-escobedo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4384,-99.192
5,/rooms/810969990602882045?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688447573_%2BZVay7kNyWqO1OvY&previous_page_section_name=1000&federated_search_id=6b69e5f1-1683-4ff5-bf8d-880cc242506f,Apartment in Polanco,Beautiful apartment in Polanco,1 bed,"$68 $59 night$59 per night, originally $68",https://www.airbnb.com/s/anahuac-mariano-escobedo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4399,-99.1832
6,/rooms/752548952199774216?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688447573_jCRnf8bLInUws5I0&previous_page_section_name=1000&federated_search_id=6b69e5f1-1683-4ff5-bf8d-880cc242506f,Condo in Anáhuac,Luxurious and new apartment in Polanco!,1 king bed,$85 night$85 per night,https://www.airbnb.com/s/anahuac-mariano-escobedo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43978,-99.1825
7,/rooms/898960416524138656?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-24&check_out=2023-07-29&source_impression_id=p3_1688447573_urgs7xllFfULplVf&previous_page_section_name=1000&federated_search_id=6b69e5f1-1683-4ff5-bf8d-880cc242506f,Apartment in Anáhuac,Family apartment with King Size bed & near Polanco,4 beds,$70 night$70 per night,https://www.airbnb.com/s/anahuac-mariano-escobedo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44782,-99.18208
8,/rooms/52389118?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-22&source_impression_id=p3_1688447573_MkFYau19rc9OC4jF&previous_page_section_name=1000&federated_search_id=6b69e5f1-1683-4ff5-bf8d-880cc242506f,Condo in Anáhuac,Lovely Condo Near Polanco w/Pool and Amazing View!,2 beds,$71 night$71 per night,https://www.airbnb.com/s/anahuac-mariano-escobedo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44107,-99.18281
9,/rooms/52072860?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688447573_sEezvo0xXrt0urwO&previous_page_section_name=1000&federated_search_id=6b69e5f1-1683-4ff5-bf8d-880cc242506f,Condo in Anáhuac,Beautiful apartment in Be Grand Alto Polanco,1 bed,$69 night$69 per night,https://www.airbnb.com/s/anahuac-mariano-escobedo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44097,-99.18205
