,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/35876457?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688433805_duawO0Tful1sdPKl&previous_page_section_name=1000&federated_search_id=014a53c4-8ed0-4c08-b03c-dc5854b831a3,Guest suite in Anzures,"Sunny, modern, comfortable studio at Casa Levinson",2 beds,$46 night$46 per night,https://www.airbnb.com/s/anzures--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43006,-99.17861
1,/rooms/786976791003293302?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-11&check_out=2023-07-16&source_impression_id=p3_1688433805_2OKJX2Qw1SS%2BTcvf&previous_page_section_name=1000&federated_search_id=014a53c4-8ed0-4c08-b03c-dc5854b831a3,Apartment in Anzures,w* | Splendid Loft with terrace near Polanco,1 king bed,$90 night$90 per night,https://www.airbnb.com/s/anzures--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4293,-99.177
2,/rooms/826929357792452257?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688433805_%2BJLjD%2BRgPsK25JnX&previous_page_section_name=1000&federated_search_id=014a53c4-8ed0-4c08-b03c-dc5854b831a3,Guest suite in Anzures,Suite Ejecutiva Privada con Terraza 02,1 queen bed,"$45 $40 night$40 per night, originally $45",https://www.airbnb.com/s/anzures--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43031,-99.17815
3,/rooms/811024795566815369?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688433805_mfkrbYdVBsE7lajv&previous_page_section_name=1000&federated_search_id=014a53c4-8ed0-4c08-b03c-dc5854b831a3,Apartment in Polanco,Luxurious Suite | Rooftop w/View+24/7 Host & SEC,2 queen beds,$122 night$122 per night,https://www.airbnb.com/s/anzures--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4295,-99.18
4,/rooms/924102970789938534?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688433805_IB9PBPNogE4sE%2FfR&previous_page_section_name=1000&federated_search_id=014a53c4-8ed0-4c08-b03c-dc5854b831a3,Loft in Juárez,Practical location | 1BR Convenient Loft | Reforma,2 beds,$79 night$79 per night,https://www.airbnb.com/s/anzures--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4249,-99.1754
5,/rooms/811023145661288236?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688433805_qskceTMik1GQnrQH&previous_page_section_name=1000&federated_search_id=014a53c4-8ed0-4c08-b03c-dc5854b831a3,Apartment in Polanco,Focus Studio | Rooftop+Gym+Business Lounge,1 king bed,$96 night$96 per night,https://www.airbnb.com/s/anzures--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4295,-99.18
6,/rooms/918173431009728133?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688433805_j27X7zOCqYyQXsj%2F&previous_page_section_name=1000&federated_search_id=014a53c4-8ed0-4c08-b03c-dc5854b831a3,Apartment in Polanco,Premium Suite w/Balcony | Gym+Rooftop+B/Lounge,1 king bed,$179 night$179 per night,https://www.airbnb.com/s/anzures--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4295,-99.18
7,/rooms/610309536107494030?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688433805_%2FlFTmTyViPbUGG6E&previous_page_section_name=1000&federated_search_id=014a53c4-8ed0-4c08-b03c-dc5854b831a3,Apartment in Polanco,Stylish luminous apt/safe/balcony/120Mb/Polanco,2 double beds,"$63 $45 night$45 per night, originally $63",https://www.airbnb.com/s/anzures--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43535,-99.18052
8,/rooms/4483048?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688433805_LMHMTMKjn%2BLnEw8p&previous_page_section_name=1000&federated_search_id=014a53c4-8ed0-4c08-b03c-dc5854b831a3,Apartment in Anzures,Beautiful apartment a few meters from Chapultepec,2 beds,"$117 $105 night$105 per night, originally $117",https://www.airbnb.com/s/anzures--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4294,-99.1774
9,/rooms/603641043976902775?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-13&source_impression_id=p3_1688433805_yug8JgQohS7kHoMb&previous_page_section_name=1000&federated_search_id=014a53c4-8ed0-4c08-b03c-dc5854b831a3,Place to stay in Anzures,Habitación tipo hotel Anzures / Polanco | 8,1 bed,$44 night$44 per night,https://www.airbnb.com/s/anzures--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43025,-99.17549
