,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/46339004?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-18&source_impression_id=p3_1688425137_Slh8hYQrdWWHgCLM&previous_page_section_name=1000&federated_search_id=b30ce714-3f6e-4284-a784-6aabfa3d967a,Apartment in Mexico City,Comfortable Department north-central zone of CDMX,2 beds,$32 night$32 per night,https://www.airbnb.com/s/aragon-inguaran--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.47028,-99.10706
1,/rooms/46266559?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-19&check_out=2023-07-24&source_impression_id=p3_1688425137_nwYMR645yiRlnhz5&previous_page_section_name=1000&federated_search_id=b30ce714-3f6e-4284-a784-6aabfa3d967a,Home in Mexico City,Comfortable House in the central-north area of the CDMX,5 beds,$91 night$91 per night,https://www.airbnb.com/s/aragon-inguaran--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4687,-99.10909
2,/rooms/48552745?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688425137_5wzzwS1aX2BGGcIo&previous_page_section_name=1000&federated_search_id=b30ce714-3f6e-4284-a784-6aabfa3d967a,Condo in Guadalupe Tepeyac,Modern Entero De Luxury Apartment Extra Equipped,2 double beds,$45 night$45 per night,https://www.airbnb.com/s/aragon-inguaran--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46673,-99.11685
3,/rooms/637879865918689564?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-24&check_out=2023-07-29&source_impression_id=p3_1688425137_WGECW9eko%2Bs%2BYQko&previous_page_section_name=1000&federated_search_id=b30ce714-3f6e-4284-a784-6aabfa3d967a,Condo in Guadalupe Tepeyac,Centric luxurious apartment w/ private rooftop,3 beds,$70 night$70 per night,https://www.airbnb.com/s/aragon-inguaran--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46742,-99.11537
4,/rooms/832708731939274183?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688425137_VDgOjhSP3RRlkcaI&previous_page_section_name=1000&federated_search_id=b30ce714-3f6e-4284-a784-6aabfa3d967a,Home in Mexico City,San Pedro,2 beds,$34 night$34 per night,https://www.airbnb.com/s/aragon-inguaran--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.470578672645676,-99.0992689065342
5,/rooms/628416107738917188?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-11&check_out=2023-07-16&source_impression_id=p3_1688425137_dUGk%2FVEsbkGFo9na&previous_page_section_name=1000&federated_search_id=b30ce714-3f6e-4284-a784-6aabfa3d967a,Room in Mexico City,Beautiful bedroom with TV  (Shared apartment),Stay with Rosa Maria,$22 night$22 per night,https://www.airbnb.com/s/aragon-inguaran--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.469,-99.1032
6,/rooms/52587041?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-25&source_impression_id=p3_1688425137_milGcvBn5iQW2XAh&previous_page_section_name=1000&federated_search_id=b30ce714-3f6e-4284-a784-6aabfa3d967a,Condo in Guadalupe Tepeyac,City center to make your stay easier,2 queen beds,"$62 $56 night$56 per night, originally $62",https://www.airbnb.com/s/aragon-inguaran--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46817,-99.11534
7,/rooms/47956194?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688425137_QrfqPFjIVvKL21k9&previous_page_section_name=1000&federated_search_id=b30ce714-3f6e-4284-a784-6aabfa3d967a,Condo in Villa de Guadalupe,Dep. Independiente In front of Basilica of Guadalupe,2 beds,$25 night$25 per night,https://www.airbnb.com/s/aragon-inguaran--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.48679,-99.11838
8,/rooms/49503395?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-22&source_impression_id=p3_1688425137_WbJ38A97bYiHbL52&previous_page_section_name=1000&federated_search_id=b30ce714-3f6e-4284-a784-6aabfa3d967a,Apartment in Villa de Guadalupe,Beautiful apartment with everything you need for your stay,3 beds,"$68 $61 night$61 per night, originally $68",https://www.airbnb.com/s/aragon-inguaran--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4807,-99.1078
9,/rooms/48333901?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-26&check_out=2023-08-01&source_impression_id=p3_1688425137_8%2B0dhszpvDL%2Br2m8&previous_page_section_name=1000&federated_search_id=b30ce714-3f6e-4284-a784-6aabfa3d967a,Apartment in Villa de Guadalupe,Best apartment near Airport & LaVilla trendy style,3 beds,$50 night$50 per night,https://www.airbnb.com/s/aragon-inguaran--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4807,-99.1078
