,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/35307643?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688411824_wuY7bccjCbbI9kRu&previous_page_section_name=1000&federated_search_id=762e3488-ad95-4016-88ab-43544e10a6ae,Room in Mexico City,Beautiful relaxed place within the city,Stay with Sara,￥189 night￥189 per night,https://www.airbnb.com/s/artes-graficas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40861,-99.12561
1,/rooms/43604204?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688411824_g6tUk3P62pYxARkd&previous_page_section_name=1000&federated_search_id=762e3488-ad95-4016-88ab-43544e10a6ae,Apartment in Mexico City,Comfortable✈Airport/Downtown/Foro Sol/Jamaica Viaduct,2 double beds,￥408 night￥408 per night,https://www.airbnb.com/s/artes-graficas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.407,-99.1215
2,/rooms/41663234?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688411824_Tmj7nNsnTNI6GDQE&previous_page_section_name=1000&federated_search_id=762e3488-ad95-4016-88ab-43544e10a6ae,Place to stay in Viaducto Piedad,Furnished Apartment Calzada la Viga y Viaducto,1 double bed,￥175 night￥175 per night,https://www.airbnb.com/s/artes-graficas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40404,-99.12518
3,/rooms/21837331?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-16&source_impression_id=p3_1688411824_QaK6h%2FYUzGQeEiFz&previous_page_section_name=1000&federated_search_id=762e3488-ad95-4016-88ab-43544e10a6ae,Apartment in Mexico City,Very cozy small apartment.,1 bed,￥206 night￥206 per night,https://www.airbnb.com/s/artes-graficas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4118,-99.12275
4,/rooms/791363803207943534?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-30&check_out=2023-08-04&source_impression_id=p3_1688411824_gMWx54UXSQtgKqqz&previous_page_section_name=1000&federated_search_id=762e3488-ad95-4016-88ab-43544e10a6ae,Apartment in Tránsito,"Comfortable, safe and located",2 beds,￥205 night￥205 per night,https://www.airbnb.com/s/artes-graficas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41301849387672,-99.13064419893735
5,/rooms/48228474?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-23&check_out=2023-07-28&source_impression_id=p3_1688411824_OHQ56ffkeVMcVE7u&previous_page_section_name=1000&federated_search_id=762e3488-ad95-4016-88ab-43544e10a6ae,Guesthouse in Mexico City,detached house near the city center,1 double bed,￥167 night￥167 per night,https://www.airbnb.com/s/artes-graficas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41516,-99.12486
6,/rooms/632568357684263784?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688411824_iK%2B749KNEWmp1fA%2B&previous_page_section_name=1000&federated_search_id=762e3488-ad95-4016-88ab-43544e10a6ae,Apartment in Mexico City,Depa 10 minutes from the Palacio de los Deportes and AICM,4 beds,￥439 night￥439 per night,https://www.airbnb.com/s/artes-graficas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4041,-99.1238
7,/rooms/51817598?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-30&check_out=2023-09-04&source_impression_id=p3_1688411824_TjAWdkO8u4XKoL3a&previous_page_section_name=1000&federated_search_id=762e3488-ad95-4016-88ab-43544e10a6ae,Condo in Mexico City,Apartment near downtown and BJ Airport,2 beds,￥299 night￥299 per night,https://www.airbnb.com/s/artes-graficas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40849,-99.12525
8,/rooms/52372405?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-13&source_impression_id=p3_1688411824_oBNHIa%2FT2f5n29Dx&previous_page_section_name=1000&federated_search_id=762e3488-ad95-4016-88ab-43544e10a6ae,Apartment in Mexico City,"Centrally located, comfortable, functional apartment",4 beds,￥259 night￥259 per night,https://www.airbnb.com/s/artes-graficas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41642,-99.12675
9,/rooms/727742819088251641?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-18&source_impression_id=p3_1688411824_PPangBLs9MGCf9Sy&previous_page_section_name=1000&federated_search_id=762e3488-ad95-4016-88ab-43544e10a6ae,Condo in Mexico City,Incredible apartment 10 minutes from Foro Sol,2 double beds,￥361 night￥361 per night,https://www.airbnb.com/s/artes-graficas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41614,-99.12151
