,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/33911290?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688410705_33wIyaXusDIM9Vof&previous_page_section_name=1000&federated_search_id=02b31c8d-c3ab-4a1d-9ca7-a47178d9fbf7,Condo in Revolucion,Loft_3 Privado viaje Urbano/Conciertos/AirportAICM,2 beds,€ 40 night€ 40 per night · € 198 total€ 198 totalShow price breakdown,https://www.airbnb.com/s/azteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43812,-99.10601
1,/rooms/924063261882574566?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688410705_4LnOZWzDkyFjUqkw&previous_page_section_name=1000&federated_search_id=02b31c8d-c3ab-4a1d-9ca7-a47178d9fbf7,Apartment in 20 de Noviembre,Cómodo Depto cerca  Aeropuerto,2 beds,"€ 143 € 122 night€ 122 per night, originally € 143 · € 731 total€ 731 totalShow price breakdown",https://www.airbnb.com/s/azteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44127363717615,-99.10914060224182
2,/rooms/38619409?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688410705_w35GJ9Md049PZ4SE&previous_page_section_name=1000&federated_search_id=02b31c8d-c3ab-4a1d-9ca7-a47178d9fbf7,Apartment in 20 de Noviembre,CDMX AIRPORT FORO SOL AUTÓDROMO PALACIO DEPORTES,9 beds,€ 43 night€ 43 per night · € 212 total€ 212 totalShow price breakdown,https://www.airbnb.com/s/azteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43949,-99.1084
3,/rooms/53756181?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688410705_%2FvOBTiGIKNCOfYQV&previous_page_section_name=1000&federated_search_id=02b31c8d-c3ab-4a1d-9ca7-a47178d9fbf7,Apartment in 20 de Noviembre,CDMX Nice Apartment Aeropuerto Foro Sol Centro,6 beds,€ 36 night€ 36 per night · € 176 total€ 176 totalShow price breakdown,https://www.airbnb.com/s/azteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43963,-99.10972
4,/rooms/38125994?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-01&check_out=2023-08-06&source_impression_id=p3_1688410705_G%2BA2uReaw8YM%2BImP&previous_page_section_name=1000&federated_search_id=02b31c8d-c3ab-4a1d-9ca7-a47178d9fbf7,Apartment in Revolucion,"Apartment, near CDMX airport and Foro Sol",2 double beds,€ 37 night€ 37 per night · € 181 total€ 181 totalShow price breakdown,https://www.airbnb.com/s/azteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43868,-99.10635
5,/rooms/53280099?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688410705_zt1Dm0ubfBHECDUD&previous_page_section_name=1000&federated_search_id=02b31c8d-c3ab-4a1d-9ca7-a47178d9fbf7,Apartment in 20 de Noviembre,AIRPORT CDMX Foro Sol Autodromo Zocalo,6 beds,€ 39 night€ 39 per night · € 194 total€ 194 totalShow price breakdown,https://www.airbnb.com/s/azteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44052,-99.10972
6,/rooms/806125578904670859?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688410705_7ogWzfcGT8TeLzC1&previous_page_section_name=1000&federated_search_id=02b31c8d-c3ab-4a1d-9ca7-a47178d9fbf7,Condo in Moctezuma,Depa Chido,2 queen beds,€ 74 night€ 74 per night · € 369 total€ 369 totalShow price breakdown,https://www.airbnb.com/s/azteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.430414143223867,-99.10751034647191
7,/rooms/53239436?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688410705_IPj0YrBILE8aF%2F%2FK&previous_page_section_name=1000&federated_search_id=02b31c8d-c3ab-4a1d-9ca7-a47178d9fbf7,Apartment in 20 de Noviembre,Nice Aparment & Clean Airport Foro Sol Zocalo Tapo,6 beds,€ 43 night€ 43 per night · € 212 total€ 212 totalShow price breakdown,https://www.airbnb.com/s/azteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44121,-99.11037
8,/rooms/31311091?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-21&source_impression_id=p3_1688410705_u0BXYnp2l%2Bm8E%2BmM&previous_page_section_name=1000&federated_search_id=02b31c8d-c3ab-4a1d-9ca7-a47178d9fbf7,Condo in Revolucion,Loft_B privado viaje Urbano/Conciertos/AirportAICM,2 beds,€ 40 night€ 40 per night · € 199 total€ 199 totalShow price breakdown,https://www.airbnb.com/s/azteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43759,-99.10506
9,/rooms/607074166684729215?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688410705_USprGMswyt5I6hOe&previous_page_section_name=1000&federated_search_id=02b31c8d-c3ab-4a1d-9ca7-a47178d9fbf7,Loft in 20 de Noviembre,Industrial Loft near AICM,3 beds,€ 67 night€ 67 per night · € 332 total€ 332 totalShow price breakdown,https://www.airbnb.com/s/azteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44313,-99.10719
10,/rooms/53766527?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688410705_Xv3b83kKYHOU36pT&previous_page_section_name=1000&federated_search_id=02b31c8d-c3ab-4a1d-9ca7-a47178d9fbf7,Loft in 20 de Noviembre,"1A private mini loft, zocalo 15 minutes.",1 double bed,€ 33 night€ 33 per night · € 162 total€ 162 totalShow price breakdown,https://www.airbnb.com/s/azteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4409,-99.1114
11,/rooms/41066508?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-01&check_out=2023-08-06&source_impression_id=p3_1688410705_a9UfCP2rkmq8Ifce&previous_page_section_name=1000&federated_search_id=02b31c8d-c3ab-4a1d-9ca7-a47178d9fbf7,Apartment in Mexico City,Spacious apartment near the historic center,3 beds,€ 35 night€ 35 per night · € 173 total€ 173 totalShow price breakdown,https://www.airbnb.com/s/azteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4371,-99.11032
12,/rooms/50215335?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688410705_B04rZipWxTatMwi7&previous_page_section_name=1000&federated_search_id=02b31c8d-c3ab-4a1d-9ca7-a47178d9fbf7,Condo in Peñon de Los Baños,"New apartment, 3min from airport",3 beds,€ 67 night€ 67 per night · € 333 total€ 333 totalShow price breakdown,https://www.airbnb.com/s/azteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4386,-99.08864
13,/rooms/30691524?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688410705_xhlRmNAA0UUfa2rF&previous_page_section_name=1000&federated_search_id=02b31c8d-c3ab-4a1d-9ca7-a47178d9fbf7,Apartment in Moctezuma,"New apartment, Airport, TAPO, ForoSol",1 queen bed,€ 57 night€ 57 per night · € 285 total€ 285 totalShow price breakdown,https://www.airbnb.com/s/azteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43198,-99.10004
