,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/45617142?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688466902_w0rVAzi%2B0kWzLVHo&previous_page_section_name=1000&federated_search_id=fc3d32dd-9eb8-4970-9142-c7148c6ae702,Guest suite in Bella Vista,Bella Vista Bike & Beach Bungalow,1 queen bed,"$68 $58 night$58 per night, originally $68",https://www.airbnb.com/s/bella-vista--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,36.46091,-94.25795
1,/rooms/53571492?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688466902_yXx0c%2Bwvwr6W03XF&previous_page_section_name=1000&federated_search_id=fc3d32dd-9eb8-4970-9142-c7148c6ae702,Room in Bella Vista,Clean Cozy Private Room & Bath - No Cleaning Fee!,Stay with Matthew,"$38 $32 night$32 per night, originally $38",https://www.airbnb.com/s/bella-vista--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,36.45608,-94.23839
2,/rooms/627544272378808577?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-15&check_out=2023-07-20&source_impression_id=p3_1688466902_lV3a10d23YhZ%2FQVT&previous_page_section_name=1000&federated_search_id=fc3d32dd-9eb8-4970-9142-c7148c6ae702,Place to stay in Bella Vista,The Best Nest,1 queen bed,$46 night$46 per night,https://www.airbnb.com/s/bella-vista--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,36.44685,-94.24735
3,/rooms/924706382053195267?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688466902_isR0hHF3sYd7UUnR&previous_page_section_name=1000&federated_search_id=fc3d32dd-9eb8-4970-9142-c7148c6ae702,Apartment in Bella Vista,"WOW! Golf, Bike/Trail Front",3 beds,"$137 $110 night$110 per night, originally $137",https://www.airbnb.com/s/bella-vista--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,36.4568,-94.1948
4,/rooms/892720750777621808?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1688466902_LVzDzSKnC8fIz3GW&previous_page_section_name=1000&federated_search_id=fc3d32dd-9eb8-4970-9142-c7148c6ae702,Home in Bella Vista,Tunnel Vision Treehouse,4 beds,$74 night$74 per night,https://www.airbnb.com/s/bella-vista--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,36.45318,-94.25058
5,/rooms/38514198?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688466902_Fpm7ihKFjY%2FmM5X0&previous_page_section_name=1000&federated_search_id=fc3d32dd-9eb8-4970-9142-c7148c6ae702,Townhouse in Bella Vista,Trailsedge Treehouse,3 beds,$111 night$111 per night,https://www.airbnb.com/s/bella-vista--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,36.48188,-94.26251
6,/rooms/905289932672114607?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688466902_c86%2FyRUX56LI41ZB&previous_page_section_name=1000&federated_search_id=fc3d32dd-9eb8-4970-9142-c7148c6ae702,Home in Bella Vista,Bella's Vista - Hound Dog Haven - Fully Fenced!,4 beds,"$138 $120 night$120 per night, originally $138",https://www.airbnb.com/s/bella-vista--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,36.47786,-94.27392
7,/rooms/914501886610662565?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-13&source_impression_id=p3_1688466902_UhWFDUDfYgT5zOqq&previous_page_section_name=1000&federated_search_id=fc3d32dd-9eb8-4970-9142-c7148c6ae702,Home in Bella Vista,Window onto Windsor,3 beds,"$182 $164 night$164 per night, originally $182",https://www.airbnb.com/s/bella-vista--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,36.45872,-94.26674
8,/rooms/609574840863802109?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-22&check_out=2023-07-29&source_impression_id=p3_1688466902_gBhwl7P2HzI4oEwr&previous_page_section_name=1000&federated_search_id=fc3d32dd-9eb8-4970-9142-c7148c6ae702,Home in Bella Vista,Ozark Gem: Bike-in/Bike-out Retreat,3 beds,"$68 $61 night$61 per night, originally $68",https://www.airbnb.com/s/bella-vista--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,36.4449,-94.2598
9,/rooms/39893160?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-29&check_out=2023-08-03&source_impression_id=p3_1688466902_Yy9w7ZsoyliaQcLi&previous_page_section_name=1000&federated_search_id=fc3d32dd-9eb8-4970-9142-c7148c6ae702,Room in Bella Vista,"Master Bedroom, Sunroom, private deck",Stay with Carolyn,$43 night$43 per night,https://www.airbnb.com/s/bella-vista--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,36.47068,-94.21633
