,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/47718598?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688364922_CS4ZTR7sGBnHEnsz&previous_page_section_name=1000&federated_search_id=73f27a87-161c-45f3-9995-9dd22ae86614,Bed and breakfast in Santa María la Ribera,Private room in Buenavista Insurgentes Norte CDMX,1 queen bed,"1,532 ₺ 1,212 ₺ night1,212 ₺ per night, originally 1,532 ₺",https://www.airbnb.com/s/buenavista-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44651,-99.1526
1,/rooms/748536708743446045?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-19&check_out=2023-07-24&source_impression_id=p3_1688364922_%2BpU0C5eeZ8jSArF6&previous_page_section_name=1000&federated_search_id=73f27a87-161c-45f3-9995-9dd22ae86614,Condo in Buenavista,Excellent location | 100 Mb Wifi | comfortable apartment,2 beds,"1,235 ₺ night1,235 ₺ per night",https://www.airbnb.com/s/buenavista-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44743,-99.14606
2,/rooms/630964084003690158?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-29&check_out=2023-08-03&source_impression_id=p3_1688364922_T%2F1SBppFV98WXWTX&previous_page_section_name=1000&federated_search_id=73f27a87-161c-45f3-9995-9dd22ae86614,Room in Santa María la Ribera,Private room in Santa Maria la Ribera CDMX,Stay with L Michele,576 ₺ night576 ₺ per night,https://www.airbnb.com/s/buenavista-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45146,-99.15507
3,/rooms/908163186866662612?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-13&source_impression_id=p3_1688364922_okQC6tSOvrNq60k3&previous_page_section_name=1000&federated_search_id=73f27a87-161c-45f3-9995-9dd22ae86614,Apartment in Buenavista,Agradable terraza en centro de CDMX,3 beds,"1,554 ₺ night1,554 ₺ per night",https://www.airbnb.com/s/buenavista-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4486,-99.1491
4,/rooms/23996106?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-11&check_out=2023-07-16&source_impression_id=p3_1688364922_wlglik6HMeebwfQB&previous_page_section_name=1000&federated_search_id=73f27a87-161c-45f3-9995-9dd22ae86614,Loft in Buenavista,Mini Loft Buenavista 106,1 double bed,881 ₺ night881 ₺ per night,https://www.airbnb.com/s/buenavista-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.441,-99.15157
5,/rooms/907177664723790766?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688364922_mxzwwZAHnbiRMGUo&previous_page_section_name=1000&federated_search_id=73f27a87-161c-45f3-9995-9dd22ae86614,Condo in Buenavista,Apartamento en CDMX a 2km de Reforma,2 beds,"1,741 ₺ night1,741 ₺ per night",https://www.airbnb.com/s/buenavista-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4485,-99.1491
6,/rooms/32808151?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688364922_31%2BGkP89%2BHHhIyvf&previous_page_section_name=1000&federated_search_id=73f27a87-161c-45f3-9995-9dd22ae86614,Room in Santa María la Ribera,Green Room,Stay with Carlos Y Aide,666 ₺ night666 ₺ per night,https://www.airbnb.com/s/buenavista-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45215,-99.15228
7,/rooms/840857229086800106?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-23&check_out=2023-07-29&source_impression_id=p3_1688364922_rYQPqT3yR2dbH9Xq&previous_page_section_name=1000&federated_search_id=73f27a87-161c-45f3-9995-9dd22ae86614,Condo in Buenavista,Departamento en Buenavista,3 beds,885 ₺ night885 ₺ per night,https://www.airbnb.com/s/buenavista-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4484,-99.1485
8,/rooms/563264915406104501?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688364922_RQeOrDiak3r6KQXM&previous_page_section_name=1000&federated_search_id=73f27a87-161c-45f3-9995-9dd22ae86614,Loft in Buenavista,"Sanitized 210 Loft, Pool and Common Roofgarden",1 bed,727 ₺ night727 ₺ per night,https://www.airbnb.com/s/buenavista-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44107,-99.15168
9,/rooms/22161120?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-23&check_out=2023-07-30&source_impression_id=p3_1688364922_O0Yce3tCVMUtr4d%2B&previous_page_section_name=1000&federated_search_id=73f27a87-161c-45f3-9995-9dd22ae86614,Loft in Buenavista,"Beautiful Miniloft, super located in downtown area.",2 beds,998 ₺ night998 ₺ per night,https://www.airbnb.com/s/buenavista-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44026,-99.15361
