,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/27960632?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688468354_XdjyGVRV2JZ97Ssn&previous_page_section_name=1000&federated_search_id=bd89ae68-4b43-4675-9a46-7d6d3a52b3d0,Condo in Narvarte Oriente,Happy & Peaceful Apartment,2 double beds,"¥ 6,991 night¥ 6,991 per night",https://www.airbnb.com/s/buenos-aires--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40404,-99.1498
1,/rooms/53062126?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688468354_5OSthiSjlvgDHkJC&previous_page_section_name=1000&federated_search_id=bd89ae68-4b43-4675-9a46-7d6d3a52b3d0,Loft in Álamos,Apartment Close to Siglo XXI Medical Center.,Jul 4 – 9,"¥ 4,588 night¥ 4,588 per night",https://www.airbnb.com/s/buenos-aires--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40457,-99.14598
2,/rooms/907239266463642109?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-11&check_out=2023-07-16&source_impression_id=p3_1688468354_LEyr21gofK%2BMnnJf&previous_page_section_name=1000&federated_search_id=bd89ae68-4b43-4675-9a46-7d6d3a52b3d0,Apartment in Narvarte Oriente,hermoso loft funcional,1 bed,"¥ 6,227 night¥ 6,227 per night",https://www.airbnb.com/s/buenos-aires--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.402861641886254,-99.15005046392832
3,/rooms/693720706687310850?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688468354_SRbcwrM5p735NfFs&previous_page_section_name=1000&federated_search_id=bd89ae68-4b43-4675-9a46-7d6d3a52b3d0,Condo in Narvarte Oriente,Park front apartment with large balcony,1 bed,"¥ 10,705 night¥ 10,705 per night",https://www.airbnb.com/s/buenos-aires--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.402202952307306,-99.14796339779843
4,/rooms/25780263?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-15&check_out=2023-07-20&source_impression_id=p3_1688468354_kRsOblrRVa4cqykQ&previous_page_section_name=1000&federated_search_id=bd89ae68-4b43-4675-9a46-7d6d3a52b3d0,Condo in Doctores,1 Calle Centro Médico. Wi-Fi 200Mb. Free Parking,3 beds,"¥ 5,488 night¥ 5,488 per night",https://www.airbnb.com/s/buenos-aires--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4074,-99.1494
5,/rooms/48066409?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-12&source_impression_id=p3_1688468354_YzEbfR47wDj6GZF7&previous_page_section_name=1000&federated_search_id=bd89ae68-4b43-4675-9a46-7d6d3a52b3d0,Condo in Narvarte Oriente,Next to Rome! Beautiful restored Loft.,2 beds,"¥ 7,594 ¥ 6,244 night¥ 6,244 per night, originally ¥ 7,594",https://www.airbnb.com/s/buenos-aires--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40186,-99.15256
6,/rooms/875579495595012042?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-15&source_impression_id=p3_1688468354_4aKjSe5mDdn0QAHv&previous_page_section_name=1000&federated_search_id=bd89ae68-4b43-4675-9a46-7d6d3a52b3d0,Loft in Narvarte Oriente,"Loft vintage, céntrico.",1 bed,"¥ 5,355 night¥ 5,355 per night",https://www.airbnb.com/s/buenos-aires--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4031,-99.1505
7,/rooms/896832136713022312?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-28&check_out=2023-08-02&source_impression_id=p3_1688468354_d4hU9gUGBvZiNDZq&previous_page_section_name=1000&federated_search_id=bd89ae68-4b43-4675-9a46-7d6d3a52b3d0,Apartment in Narvarte Oriente,Newly Designed Loft near La Roma,2 beds,"¥ 8,515 night¥ 8,515 per night",https://www.airbnb.com/s/buenos-aires--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40141,-99.15233
8,/rooms/686843235919791900?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688468354_vDT7wBTJjQIBtafB&previous_page_section_name=1000&federated_search_id=bd89ae68-4b43-4675-9a46-7d6d3a52b3d0,Apartment in Narvarte Oriente,Live in CDMX like a Local 10min from Roma &Airport,2 beds,"¥ 7,915 night¥ 7,915 per night",https://www.airbnb.com/s/buenos-aires--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40405,-99.15093
9,/rooms/912632202958100062?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688468354_XN%2BU%2BMtMTI7e06L1&previous_page_section_name=1000&federated_search_id=bd89ae68-4b43-4675-9a46-7d6d3a52b3d0,Condo in Narvarte Oriente,Cozy duplex with private terrace,2 beds,"¥ 15,691 ¥ 13,030 night¥ 13,030 per night, originally ¥ 15,691",https://www.airbnb.com/s/buenos-aires--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4012,-99.1499
