,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/632058760451122976?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688443143_9oGSTniYl5imvQ0l&previous_page_section_name=1000&federated_search_id=2b0f8ce3-cf97-480a-bd2a-56ed55cfb7b7,Apartment in Mexico City,Independent small apartment Tlalpan Centro,2 beds,$65 night$65 per night,https://www.airbnb.com/s/centro-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.28519,-99.16647
1,/rooms/607359647203765779?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-19&check_out=2023-07-24&source_impression_id=p3_1688443143_lRGQAVgbNHmjCs4P&previous_page_section_name=1000&federated_search_id=2b0f8ce3-cf97-480a-bd2a-56ed55cfb7b7,Home in Mexico City,Small house near hospital area,2 beds,$76 night$76 per night,https://www.airbnb.com/s/centro-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.28339,-99.16489
2,/rooms/32764244?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-10&source_impression_id=p3_1688443143_8eaUQHYmF%2Fsmrag9&previous_page_section_name=1000&federated_search_id=2b0f8ce3-cf97-480a-bd2a-56ed55cfb7b7,Apartment in Mexico City,"Tlalpan, Mexico City - a unique city experience",2 double beds,$50 night$50 per night,https://www.airbnb.com/s/centro-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.2846,-99.16451
3,/rooms/42517092?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688443143_CK%2BSpgzJE3d0fJEi&previous_page_section_name=1000&federated_search_id=2b0f8ce3-cf97-480a-bd2a-56ed55cfb7b7,Home in Mexico City,Casa Amarilla in Tlalpan,2 beds,$47 night$47 per night,https://www.airbnb.com/s/centro-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.28708,-99.17351
4,/rooms/777119501479287697?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1688443143_d6Xb8IK5k%2FMVi315&previous_page_section_name=1000&federated_search_id=2b0f8ce3-cf97-480a-bd2a-56ed55cfb7b7,Home in Mexico City,A spectacular house in Tlalpan.,8 beds,$134 night$134 per night,https://www.airbnb.com/s/centro-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.2881,-99.1642
5,/rooms/32564699?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-20&check_out=2023-09-25&source_impression_id=p3_1688443143_WRawlVN2lk%2FROWkQ&previous_page_section_name=1000&federated_search_id=2b0f8ce3-cf97-480a-bd2a-56ed55cfb7b7,Apartment in Mexico City,BOX TOWER 82,4 beds,$56 night$56 per night,https://www.airbnb.com/s/centro-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.27914,-99.16385
6,/rooms/719773721730763234?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-14&check_out=2023-07-19&source_impression_id=p3_1688443143_uEXIWk0OA8mjyCWu&previous_page_section_name=1000&federated_search_id=2b0f8ce3-cf97-480a-bd2a-56ed55cfb7b7,Place to stay in Mexico City,"Unique cabin for movie friends, campfire, and more",2 beds,$48 night$48 per night,https://www.airbnb.com/s/centro-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.293,-99.16241
7,/rooms/644233291904427692?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688443143_zTq5VPP3rRP19M%2FA&previous_page_section_name=1000&federated_search_id=2b0f8ce3-cf97-480a-bd2a-56ed55cfb7b7,Loft in Mexico City,"Loft 1 furnished San Fernando, Tlalpan.",2 single beds,$41 night$41 per night,https://www.airbnb.com/s/centro-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.27216,-99.17489
8,/rooms/19302483?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688443143_H9IJk0G2OVNwUUml&previous_page_section_name=1000&federated_search_id=2b0f8ce3-cf97-480a-bd2a-56ed55cfb7b7,Cabin in Mexico City,"Chalet ""The dreamer""",1 double bed,"$109 $94 night$94 per night, originally $109",https://www.airbnb.com/s/centro-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.28072,-99.18489
9,/rooms/42196645?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688443143_DApLoJ7%2FZ90yPjAm&previous_page_section_name=1000&federated_search_id=2b0f8ce3-cf97-480a-bd2a-56ed55cfb7b7,Apartment in Mexico City,"Beautiful, fully remodeled dep in Tlalpan",8 beds,$74 night$74 per night,https://www.airbnb.com/s/centro-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.27844,-99.16597
10,/rooms/26834471?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-29&check_out=2023-08-03&source_impression_id=p3_1688443143_GinxFx9ZSynpykXC&previous_page_section_name=1000&federated_search_id=2b0f8ce3-cf97-480a-bd2a-56ed55cfb7b7,Home in Mexico City,Hermosa Casa in the center of Tlalpan,5 beds,$94 night$94 per night,https://www.airbnb.com/s/centro-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.2868,-99.16282
11,/rooms/38759121?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688443143_%2FVofBGWEid4Tiy1v&previous_page_section_name=1000&federated_search_id=2b0f8ce3-cf97-480a-bd2a-56ed55cfb7b7,Condo in Mexico City,Stone Bridge 7,1 double bed,$39 night$39 per night,https://www.airbnb.com/s/centro-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.29627,-99.16199
12,/rooms/34560655?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688443143_OsyK01pIq39mGhU8&previous_page_section_name=1000&federated_search_id=2b0f8ce3-cf97-480a-bd2a-56ed55cfb7b7,Room in Mexico City,Studio Private Entrance # 1,Stay with Alejandro,"$21 $19 night$19 per night, originally $21",https://www.airbnb.com/s/centro-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.29415,-99.16896
13,/rooms/41435593?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-15&check_out=2023-07-20&source_impression_id=p3_1688443143_TPlve3b8jTZxfDqr&previous_page_section_name=1000&federated_search_id=2b0f8ce3-cf97-480a-bd2a-56ed55cfb7b7,Loft in Mexico City,"Private Guest House, Tlalpan Centro",1 double bed,$47 night$47 per night,https://www.airbnb.com/s/centro-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.28711,-99.16276
14,/rooms/41818414?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688443143_hNoYyvQYVwRL7FtE&previous_page_section_name=1000&federated_search_id=2b0f8ce3-cf97-480a-bd2a-56ed55cfb7b7,Guest suite in Mexico City,Suite A Minimalista,1 double bed,$52 night$52 per night,https://www.airbnb.com/s/centro-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.30721,-99.18806
15,/rooms/809701549963968854?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-22&source_impression_id=p3_1688443143_w%2BagP4d3VWmYE2Oj&previous_page_section_name=1000&federated_search_id=2b0f8ce3-cf97-480a-bd2a-56ed55cfb7b7,Home in Mexico City,Premium house in quiet condo,3 queen beds,$101 night$101 per night,https://www.airbnb.com/s/centro-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.276923488958698,-99.17893178449035
16,/rooms/35431864?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688443143_Tkn06R4%2BbZc92Vsh&previous_page_section_name=1000&federated_search_id=2b0f8ce3-cf97-480a-bd2a-56ed55cfb7b7,Home in Mexico City,Beautiful and spacious house in South CDMX :),3 double beds,$106 night$106 per night,https://www.airbnb.com/s/centro-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.30086,-99.16022
17,/rooms/45657771?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688443143_cn%2F5UjFacy6sIFqw&previous_page_section_name=1000&federated_search_id=2b0f8ce3-cf97-480a-bd2a-56ed55cfb7b7,Room in Mexico City,Suite 2 cozy Golf Club,Stay with Alexa,$47 night$47 per night,https://www.airbnb.com/s/centro-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.2785,-99.1637
