,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/37160054?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-29&check_out=2023-10-06&source_impression_id=p3_1688444699_NuhfmbprDahe77kF&previous_page_section_name=1000&federated_search_id=71c4ae65-1723-4c80-b7fa-bd469766d5f0,Home in Oaxaca de Juárez,CREOLE HOUSE,3 beds,"$797 $717 night$717 per night, originally $797",https://www.airbnb.com/s/centro-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.06537,-96.73449
1,/rooms/922680013728457792?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688444699_UvMDuAOV%2B%2FEeV5HR&previous_page_section_name=1000&federated_search_id=71c4ae65-1723-4c80-b7fa-bd469766d5f0,Apartment in Oaxaca de Juárez,Mayahuel Apartment W/AC,1 bed,"$65 $52 night$52 per night, originally $65",https://www.airbnb.com/s/centro-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.053,-96.724
2,/rooms/761081932033358626?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688444699_MNX9hHVwBxWPOdls&previous_page_section_name=1000&federated_search_id=71c4ae65-1723-4c80-b7fa-bd469766d5f0,Apartment in Oaxaca de Juárez,"White º º | Design, location & comfort",1 bed,"$139 $126 night$126 per night, originally $139",https://www.airbnb.com/s/centro-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.0686,-96.7244
3,/rooms/924097720129724216?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688444699_jb%2FUAyQ9%2Ft4l173x&previous_page_section_name=1000&federated_search_id=71c4ae65-1723-4c80-b7fa-bd469766d5f0,Apartment in Oaxaca de Juárez,Unión,1 queen bed,$55 night$55 per night,https://www.airbnb.com/s/centro-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.0697,-96.7183
4,/rooms/50658489?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688444699_z9WlP0udmuCX3Inh&previous_page_section_name=1000&federated_search_id=71c4ae65-1723-4c80-b7fa-bd469766d5f0,Vacation home in Oaxaca de Juárez,Beautiful room (H2) in the historic center,1 bed,$48 night$48 per night,https://www.airbnb.com/s/centro-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.05926,-96.71974
5,/rooms/49567809?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-11&check_out=2023-08-16&source_impression_id=p3_1688444699_dolbKOOTojFqtybV&previous_page_section_name=1000&federated_search_id=71c4ae65-1723-4c80-b7fa-bd469766d5f0,Home in Oaxaca de Juárez,Casa Hidalgo Oax with Pool,2 beds,$400 night$400 per night,https://www.airbnb.com/s/centro-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.06134,-96.72335
6,/rooms/46109331?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1688444699_yMSvZQl5RG6Q4EyI&previous_page_section_name=1000&federated_search_id=71c4ae65-1723-4c80-b7fa-bd469766d5f0,Loft in Oaxaca de Juárez,Beautiful Oaxacan Loft,1 queen bed,$47 night$47 per night,https://www.airbnb.com/s/centro-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.06109,-96.72836
7,/rooms/924988391697946443?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688444699_awEjs60lVtIs4OSE&previous_page_section_name=1000&federated_search_id=71c4ae65-1723-4c80-b7fa-bd469766d5f0,Apartment in Oaxaca de Juárez,Rooftop apartment ( :,1 bed,$29 night$29 per night,https://www.airbnb.com/s/centro-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.064,-96.719
8,/rooms/613726101544670774?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688444699_xjSNi2H9AVNVgUAE&previous_page_section_name=1000&federated_search_id=71c4ae65-1723-4c80-b7fa-bd469766d5f0,Loft in Oaxaca de Juárez,Private Luxury Loft in Down town/ Jalatlaco❤️ w A/C,1 bed,"$140 $56 night$56 per night, originally $140",https://www.airbnb.com/s/centro-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.06786,-96.71881
9,/rooms/39985496?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-27&check_out=2023-12-02&source_impression_id=p3_1688444699_wFAZR9DcYk0VJxg%2B&previous_page_section_name=1000&federated_search_id=71c4ae65-1723-4c80-b7fa-bd469766d5f0,Apartment in Oaxaca de Juárez,★ An Island in the Heart of the City ★,1 king bed,$84 night$84 per night,https://www.airbnb.com/s/centro-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.06575,-96.72797
10,/rooms/46282737?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-24&source_impression_id=p3_1688444699_FbWfWW50I5K%2BjT9F&previous_page_section_name=1000&federated_search_id=71c4ae65-1723-4c80-b7fa-bd469766d5f0,Apartment in Oaxaca de Juárez,"Apartment ""García"" 2 two blocks from the Zócalo",2 queen beds,$149 night$149 per night,https://www.airbnb.com/s/centro-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.06364,-96.72422
11,/rooms/48384887?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1688444699_BHJ9TTaSy1iZS7H%2B&previous_page_section_name=1000&federated_search_id=71c4ae65-1723-4c80-b7fa-bd469766d5f0,Home in Oaxaca de Juárez,"Casa el Jardín Secreto, in the center of Oaxaca",2 beds,$118 night$118 per night,https://www.airbnb.com/s/centro-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.0674,-96.7263
