,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/901491122234546025?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-15&source_impression_id=p3_1688367262_hQsAFrkCoRb0A9sa&previous_page_section_name=1000&federated_search_id=826bdf44-18d9-40bf-b4e7-8a7a13ed7fcd,Apartment in Centro,"Magical Restored house, King Bed in Oaxaca heart",1 king bed,"$134 $121 night$121 per night, originally $134",https://www.airbnb.com/s/centro-v--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.064,-96.7201
1,/rooms/922680013728457792?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688367262_moW1Zm04nJ92Otv3&previous_page_section_name=1000&federated_search_id=826bdf44-18d9-40bf-b4e7-8a7a13ed7fcd,Apartment in Oaxaca de Juárez,Mayahuel Apartment W/AC,1 bed,"$65 $52 night$52 per night, originally $65",https://www.airbnb.com/s/centro-v--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.053,-96.724
2,/rooms/924097720129724216?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688367262_zX4tQCLgPuti6SLJ&previous_page_section_name=1000&federated_search_id=826bdf44-18d9-40bf-b4e7-8a7a13ed7fcd,Apartment in Oaxaca de Juárez,Unión,1 queen bed,$55 night$55 per night,https://www.airbnb.com/s/centro-v--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.0697,-96.7183
3,/rooms/47032904?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-10&source_impression_id=p3_1688367262_zfVRbe1BvJac3RmK&previous_page_section_name=1000&federated_search_id=826bdf44-18d9-40bf-b4e7-8a7a13ed7fcd,Apartment in Oaxaca de Juárez,Estancia Kerr,1 queen bed,"$50 $42 night$42 per night, originally $50",https://www.airbnb.com/s/centro-v--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.06453,-96.724
4,/rooms/48384887?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1688367262_hMWRGKy1toSaBvKj&previous_page_section_name=1000&federated_search_id=826bdf44-18d9-40bf-b4e7-8a7a13ed7fcd,Home in Oaxaca de Juárez,"Casa el Jardín Secreto, in the center of Oaxaca",2 beds,$117 night$117 per night,https://www.airbnb.com/s/centro-v--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.0674,-96.7263
5,/rooms/633954672789795522?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-29&check_out=2023-08-03&source_impression_id=p3_1688367262_yBEEH0pb2ETTykda&previous_page_section_name=1000&federated_search_id=826bdf44-18d9-40bf-b4e7-8a7a13ed7fcd,Apartment in Oaxaca de Juárez,beige | Conzatti Garden | Downtown | Design º º,1 queen bed,$154 night$154 per night,https://www.airbnb.com/s/centro-v--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.06905,-96.71997
6,/rooms/50658489?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688367262_KujtgL4fm7%2FmvZZw&previous_page_section_name=1000&federated_search_id=826bdf44-18d9-40bf-b4e7-8a7a13ed7fcd,Vacation home in Oaxaca de Juárez,Beautiful room (H2) in the historic center,1 bed,$46 night$46 per night,https://www.airbnb.com/s/centro-v--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.05926,-96.71974
7,/rooms/613726101544670774?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-12&source_impression_id=p3_1688367262_l7we6A6mIYi2AuXx&previous_page_section_name=1000&federated_search_id=826bdf44-18d9-40bf-b4e7-8a7a13ed7fcd,Loft in Oaxaca de Juárez,Private Luxury Loft in Down town/ Jalatlaco❤️ w A/C,1 bed,"$140 $59 night$59 per night, originally $140",https://www.airbnb.com/s/centro-v--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.06786,-96.71881
8,/rooms/713914128990476828?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1688367262_7H157MvqsgK024op&previous_page_section_name=1000&federated_search_id=826bdf44-18d9-40bf-b4e7-8a7a13ed7fcd,Loft in Oaxaca de Juárez,Loft with spectacular view SiERRA,1 queen bed,$102 night$102 per night,https://www.airbnb.com/s/centro-v--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.0647,-96.73
9,/rooms/881771619906484298?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-07&source_impression_id=p3_1688367262_O0XTgmmy%2BDtgDjzT&previous_page_section_name=1000&federated_search_id=826bdf44-18d9-40bf-b4e7-8a7a13ed7fcd,Bed and breakfast in Oaxaca de Juárez,Estudio B – B&B Boutique en el centro de la ciudad,1 bed,$169 night$169 per night,https://www.airbnb.com/s/centro-v--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.06577,-96.72657
