,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/49648255?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688418315_OIMD2cPvBB0mJ8Q6&previous_page_section_name=1000&federated_search_id=2c41e5da-f088-4dbd-bbcf-55f856c3adbc,Apartment in Centro,The most chic loft next to Bellas Artes Estrénalo,2 beds,"MAD644 MAD504 nightMAD504 per night, originally MAD644",https://www.airbnb.com/s/centro-vii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4324,-99.1425
1,/rooms/661687206870109777?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-31&check_out=2023-08-05&source_impression_id=p3_1688418315_JfA7HGpr%2FsI6oXs%2F&previous_page_section_name=1000&federated_search_id=2c41e5da-f088-4dbd-bbcf-55f856c3adbc,Loft in Mexico City,"Miniloft 8 Airport CDMX T1 and T2 Foro Sol, TAPO",1 double bed,MAD420 nightMAD420 per night,https://www.airbnb.com/s/centro-vii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43373,-99.09361
2,/rooms/629558456788366867?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-11-16&check_out=2023-11-21&source_impression_id=p3_1688418315_nvIq82SDkX7vmx0O&previous_page_section_name=1000&federated_search_id=2c41e5da-f088-4dbd-bbcf-55f856c3adbc,Apartment in Mexico City,203 The best location ! Reforma/Chapultepec/Angel,1 bed,"MAD4,336 nightMAD4,336 per night",https://www.airbnb.com/s/centro-vii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4256,-99.17554
3,/rooms/649257898929485676?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-17&source_impression_id=p3_1688418315_bBJkZRbhCODNNIfl&previous_page_section_name=1000&federated_search_id=2c41e5da-f088-4dbd-bbcf-55f856c3adbc,Loft in Mexico City,"Miniloft 10 CDMX Airport T1, 2  Foro Sol, TAPO",1 bed,"MAD328 MAD299 nightMAD299 per night, originally MAD328",https://www.airbnb.com/s/centro-vii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4329,-99.0948
4,/rooms/914048118740673692?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-01&check_out=2023-08-07&source_impression_id=p3_1688418315_54ZLVlqe9kxC2dGO&previous_page_section_name=1000&federated_search_id=2c41e5da-f088-4dbd-bbcf-55f856c3adbc,Room in Mexico City,Estudio privado en zona céntrica,Stay with Ricardo,"MAD178 MAD147 nightMAD147 per night, originally MAD178",https://www.airbnb.com/s/centro-vii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.461111032437373,-99.1628255333661
5,/rooms/23649534?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-04&check_out=2023-10-09&source_impression_id=p3_1688418315_LlIPKSjFXrUYbV50&previous_page_section_name=1000&federated_search_id=2c41e5da-f088-4dbd-bbcf-55f856c3adbc,Boutique hotel in Mexico City,"Avant-garde room, with a beautiful view to the garden",1 king bed,MAD713 nightMAD713 per night,https://www.airbnb.com/s/centro-vii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4495,-99.1614
6,/rooms/754578383495064024?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1688418315_ncii0khbC3WyLyiL&previous_page_section_name=1000&federated_search_id=2c41e5da-f088-4dbd-bbcf-55f856c3adbc,Guesthouse in Mexico City,Complete Cabin Very Close to CDMX Airport Foro Sol,2 beds,MAD246 nightMAD246 per night,https://www.airbnb.com/s/centro-vii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40996,-99.06734
7,/rooms/17700938?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688418315_ab%2Fs10dIwIqidDXO&previous_page_section_name=1000&federated_search_id=2c41e5da-f088-4dbd-bbcf-55f856c3adbc,Condo in Mexico City,"New! Stunning 3 bdrm, Iconic Building, Down Town",5 beds,"MAD2,077 MAD1,745 nightMAD1,745 per night, originally MAD2,077",https://www.airbnb.com/s/centro-vii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43391,-99.15099
8,/rooms/23732812?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688418315_hawK66916G1aIRn4&previous_page_section_name=1000&federated_search_id=2c41e5da-f088-4dbd-bbcf-55f856c3adbc,Room in Mexico City,Comfortable room near the airport.(with tub),Stay with Mich,MAD283 nightMAD283 per night,https://www.airbnb.com/s/centro-vii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41475,-99.10413
9,/rooms/724628905400533223?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688418315_VUHCtU5sCMP15fgB&previous_page_section_name=1000&federated_search_id=2c41e5da-f088-4dbd-bbcf-55f856c3adbc,Loft in Mexico City,Apartment in Historic Center CDMX,1 bed,"MAD882 MAD770 nightMAD770 per night, originally MAD882",https://www.airbnb.com/s/centro-vii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4333,-99.1382
