,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/901491122234546025?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-15&source_impression_id=p3_1688365933_ixVScHeLO2iNr6VR&previous_page_section_name=1000&federated_search_id=e9b9500f-9b5b-4029-9fff-b2463d6256d8,Apartment in Centro,"Magical Restored house, King Bed in Oaxaca heart",1 king bed,"$134 $121 night$121 per night, originally $134",https://www.airbnb.com/s/centro-viii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.064,-96.7201
1,/rooms/919123366148407933?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688365933_TL%2FzoXld0h00nRUs&previous_page_section_name=1000&federated_search_id=e9b9500f-9b5b-4029-9fff-b2463d6256d8,Home in Oaxaca de Juárez,Casa Llano,4 beds,$175 night$175 per night,https://www.airbnb.com/s/centro-viii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.0672,-96.7206
2,/rooms/2111914?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1688365933_FYZRMfxuvi4JC1CI&previous_page_section_name=1000&federated_search_id=e9b9500f-9b5b-4029-9fff-b2463d6256d8,Home in Oaxaca,Independent Studio in Colonial House Downtown,1 queen bed,$60 night$60 per night,https://www.airbnb.com/s/centro-viii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.0602,-96.7217
3,/rooms/47032904?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-10&source_impression_id=p3_1688365933_7lx6UXRU81lFJjoS&previous_page_section_name=1000&federated_search_id=e9b9500f-9b5b-4029-9fff-b2463d6256d8,Apartment in Oaxaca de Juárez,Estancia Kerr,1 queen bed,"$50 $42 night$42 per night, originally $50",https://www.airbnb.com/s/centro-viii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.06453,-96.724
4,/rooms/46109331?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1688365933_UEEU0tUEWdjJWeoi&previous_page_section_name=1000&federated_search_id=e9b9500f-9b5b-4029-9fff-b2463d6256d8,Loft in Oaxaca de Juárez,Beautiful Oaxacan Loft,1 queen bed,$48 night$48 per night,https://www.airbnb.com/s/centro-viii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.06109,-96.72836
5,/rooms/721645670273522348?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-09&source_impression_id=p3_1688365933_UOh%2FI7dD6tpDqwiT&previous_page_section_name=1000&federated_search_id=e9b9500f-9b5b-4029-9fff-b2463d6256d8,Loft in Oaxaca de Juárez,"Loft L, cozy space in the center of Oaxaca with AC",2 beds,"$75 $60 night$60 per night, originally $75",https://www.airbnb.com/s/centro-viii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.06204,-96.71323
6,/rooms/922680013728457792?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688365933_H6mP3WoxWjLF5m0q&previous_page_section_name=1000&federated_search_id=e9b9500f-9b5b-4029-9fff-b2463d6256d8,Apartment in Oaxaca de Juárez,Mayahuel Apartment W/AC,1 bed,"$65 $52 night$52 per night, originally $65",https://www.airbnb.com/s/centro-viii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.053,-96.724
7,/rooms/921096678268870123?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688365933_ji%2FW7rvk7Idb4oy1&previous_page_section_name=1000&federated_search_id=e9b9500f-9b5b-4029-9fff-b2463d6256d8,Home in Oaxaca de Juárez,"Casa Tuna, camina a Sto. Domingo",3 beds,$175 night$175 per night,https://www.airbnb.com/s/centro-viii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.07634670226811,-96.72427183278134
8,/rooms/53127662?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-28&check_out=2023-08-02&source_impression_id=p3_1688365933_vzgpb%2Fyy3zeknUQ6&previous_page_section_name=1000&federated_search_id=e9b9500f-9b5b-4029-9fff-b2463d6256d8,Townhouse in Oaxaca de Juárez,Downtown 5 Blocks from Zocalo w/ Pool MATAMOROS 2,2 beds,$153 night$153 per night,https://www.airbnb.com/s/centro-viii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.06384,-96.72918
9,/rooms/613726101544670774?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-12&source_impression_id=p3_1688365934_IFE%2BECJBbRLrfiSC&previous_page_section_name=1000&federated_search_id=e9b9500f-9b5b-4029-9fff-b2463d6256d8,Loft in Oaxaca de Juárez,Private Luxury Loft in Down town/ Jalatlaco❤️ w A/C,1 bed,"$140 $59 night$59 per night, originally $140",https://www.airbnb.com/s/centro-viii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,17.06786,-96.71881
