,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/plus/27829598?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688424026_LCOZFUB%2FLUkI8w%2Fn&previous_page_section_name=1000&federated_search_id=55788fe2-8b30-4120-abad-db6d27919ea5,Apartment in Polanco,Boutique Apartment in Polanco Area,1 king bed,"$112 $92 night$92 per night, originally $112",https://www.airbnb.com/s/chapultepec-morales--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43556,-99.18649
1,/rooms/21498978?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1688424026_l%2Bu3Qz%2F5ug0Gf7Hr&previous_page_section_name=1000&federated_search_id=55788fe2-8b30-4120-abad-db6d27919ea5,Apartment in Polanco,El Girasol,1 queen bed,"$78 $67 night$67 per night, originally $78",https://www.airbnb.com/s/chapultepec-morales--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43307,-99.18647
2,/rooms/20933806?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688424026_vGzlecDJNQ38eIOy&previous_page_section_name=1000&federated_search_id=55788fe2-8b30-4120-abad-db6d27919ea5,Apartment in Polanco,"Cozy Oasis in Polanquito ""La Orquidea""",2 beds,"$78 $64 night$64 per night, originally $78",https://www.airbnb.com/s/chapultepec-morales--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43387,-99.18615
3,/rooms/754381336567656053?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-11&check_out=2023-07-17&source_impression_id=p3_1688424026_EBfe1CrM85Lufz2g&previous_page_section_name=1000&federated_search_id=55788fe2-8b30-4120-abad-db6d27919ea5,Apartment in Polanco,"Penthouse in Polanco: 2 floors, A/C & Free Parking",3 beds,$110 night$110 per night,https://www.airbnb.com/s/chapultepec-morales--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4337,-99.1851
4,/rooms/614443233391644813?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-23&check_out=2023-08-28&source_impression_id=p3_1688424026_PawA7DmCzauT0Bp8&previous_page_section_name=1000&federated_search_id=55788fe2-8b30-4120-abad-db6d27919ea5,Loft in Polanco,Chic Suite Polanco,1 double bed,$67 night$67 per night,https://www.airbnb.com/s/chapultepec-morales--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43372,-99.1868
5,/rooms/28609488?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-21&check_out=2023-07-26&source_impression_id=p3_1688424026_huwcNX8ppvHd9Db3&previous_page_section_name=1000&federated_search_id=55788fe2-8b30-4120-abad-db6d27919ea5,Apartment in Polanco,"Amazing 2BR Apt Polanco ""El Tulipan""",2 beds,"$93 $80 night$80 per night, originally $93",https://www.airbnb.com/s/chapultepec-morales--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43459,-99.18622
6,/rooms/47470922?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-21&source_impression_id=p3_1688424026_SzTbwbD2Y5vOoS%2Fq&previous_page_section_name=1000&federated_search_id=55788fe2-8b30-4120-abad-db6d27919ea5,Apartment in Polanco,CASA TEO by Enrique Olvera,3 beds,$588 night$588 per night,https://www.airbnb.com/s/chapultepec-morales--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43399,-99.18455
7,/rooms/51349167?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688424026_eGKzkuwcQvv2u8qd&previous_page_section_name=1000&federated_search_id=55788fe2-8b30-4120-abad-db6d27919ea5,Apartment in Polanco,Av. Presidente Masaryk Moderno y Amplio en Polanco,2 beds,$153 night$153 per night,https://www.airbnb.com/s/chapultepec-morales--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4316,-99.185
8,/rooms/745110595605168403?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688424026_3mu76rGs49IN%2Bkyt&previous_page_section_name=1000&federated_search_id=55788fe2-8b30-4120-abad-db6d27919ea5,Apartment in Polanco,Modern Studio w/ Balcony & Terrace | Polanco - 32,1 queen bed,$103 night$103 per night,https://www.airbnb.com/s/chapultepec-morales--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4353,-99.1899
9,/rooms/52769833?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688424026_4e4YlR7fj2zzVQZg&previous_page_section_name=1000&federated_search_id=55788fe2-8b30-4120-abad-db6d27919ea5,Apartment in Polanco Reforma,B/Center+GYM+2 Rooftops+Fire Pit | Voguish Apt,1 king bed,"$117 $103 night$103 per night, originally $117",https://www.airbnb.com/s/chapultepec-morales--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4384,-99.192
10,/rooms/654938488424625463?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688424026_Qqt8gJO72ZtpN%2FSO&previous_page_section_name=1000&federated_search_id=55788fe2-8b30-4120-abad-db6d27919ea5,Condo in Polanco,Beautiful and modern Apartment Av Pdte. Masaryk 123,2 beds,"$139 $116 night$116 per night, originally $139",https://www.airbnb.com/s/chapultepec-morales--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4319,-99.1865
11,/rooms/20896664?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688424026_9Jhoz5U8uQ9jllgN&previous_page_section_name=1000&federated_search_id=55788fe2-8b30-4120-abad-db6d27919ea5,Loft in Polanco,Amazing loft in Polanco,1 queen bed,$84 night$84 per night,https://www.airbnb.com/s/chapultepec-morales--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4337,-99.1848
