,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/590806170503263902?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-14&check_out=2023-07-19&source_impression_id=p3_1688453218_kK%2Bg8JvQvylwwBJu&previous_page_section_name=1000&federated_search_id=9a3f73ed-98d3-45da-b1ef-b697f1be567b,Guest suite in Clavería,Petite suite Mexico City,2 beds,$51 night$51 per night,https://www.airbnb.com/s/claveria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46438,-99.18113
1,/rooms/53346016?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688453218_uhhVNIWWLWWPzZIe&previous_page_section_name=1000&federated_search_id=9a3f73ed-98d3-45da-b1ef-b697f1be567b,Loft in Clavería,Chic & modern loft for 2 with private terrace!,1 queen bed,$42 night$42 per night,https://www.airbnb.com/s/claveria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4684,-99.18391
2,/rooms/579940654726946140?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-15&check_out=2023-07-20&source_impression_id=p3_1688453218_8F4g0smz9sr4pdCq&previous_page_section_name=1000&federated_search_id=9a3f73ed-98d3-45da-b1ef-b697f1be567b,Guest suite in Clavería,Monospace Mexico City,1 bed,$31 night$31 per night,https://www.airbnb.com/s/claveria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46602,-99.1812
3,/rooms/51207609?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-24&check_out=2023-07-30&source_impression_id=p3_1688453218_JoniraDq3SRXDr95&previous_page_section_name=1000&federated_search_id=9a3f73ed-98d3-45da-b1ef-b697f1be567b,Vacation home in Mexico City,Mexican tax,2 beds,$53 night$53 per night,https://www.airbnb.com/s/claveria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46806,-99.17638
4,/rooms/785009444977796361?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-31&check_out=2023-08-05&source_impression_id=p3_1688453218_eNatcleumy4fMCFQ&previous_page_section_name=1000&federated_search_id=9a3f73ed-98d3-45da-b1ef-b697f1be567b,Apartment in Clavería,Amazing apartment @ Claveria mi Amor,2 beds,$53 night$53 per night,https://www.airbnb.com/s/claveria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4673,-99.1835
5,/rooms/787099994610822032?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-30&check_out=2023-08-04&source_impression_id=p3_1688453218_LWk4IjBhmVgC%2F%2BLy&previous_page_section_name=1000&federated_search_id=9a3f73ed-98d3-45da-b1ef-b697f1be567b,Apartment in Mexico City,Shrimp Gazebo,2 beds,$41 night$41 per night,https://www.airbnb.com/s/claveria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.467389265706,-99.1762314729356
6,/rooms/4936003?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688453218_5pRf6DnUf8B1mQLg&previous_page_section_name=1000&federated_search_id=9a3f73ed-98d3-45da-b1ef-b697f1be567b,Condo in Clavería,"CU501 a 3 km de Polanco, Clavería",2 beds,$42 night$42 per night,https://www.airbnb.com/s/claveria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46095,-99.17944
7,/rooms/921398526309780297?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1688453218_H7brh1lJbw5fNxha&previous_page_section_name=1000&federated_search_id=9a3f73ed-98d3-45da-b1ef-b697f1be567b,Apartment in Mexico City,Arena cdmx,3 beds,$47 night$47 per night,https://www.airbnb.com/s/claveria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.465914863307535,-99.17400632546148
8,/rooms/840627904107539375?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-28&check_out=2023-08-02&source_impression_id=p3_1688453218_77ypk2nx5Rqe8iFS&previous_page_section_name=1000&federated_search_id=9a3f73ed-98d3-45da-b1ef-b697f1be567b,Apartment in Clavería,"Nice apartment, an excellent location",1 double bed,$38 night$38 per night,https://www.airbnb.com/s/claveria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4695,-99.1804
9,/rooms/43703892?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-22&source_impression_id=p3_1688453218_u0W9nf%2B1VJ7slA2n&previous_page_section_name=1000&federated_search_id=9a3f73ed-98d3-45da-b1ef-b697f1be567b,Apartment in Mexico City,Confortable departament México city,5 beds,$59 night$59 per night,https://www.airbnb.com/s/claveria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46807,-99.17407
10,/rooms/49001423?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688453218_RNvRLYrZCvQhNEWE&previous_page_section_name=1000&federated_search_id=9a3f73ed-98d3-45da-b1ef-b697f1be567b,Room in Tacuba,Private room near turistic points #2,Stay with Odan,$26 night$26 per night,https://www.airbnb.com/s/claveria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46001,-99.18389
11,/rooms/618030672214866586?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688453218_kalSQtxi7D3fqMzy&previous_page_section_name=1000&federated_search_id=9a3f73ed-98d3-45da-b1ef-b697f1be567b,Condo in Nueva Santa María,Departamento Nueva Santa Maria,3 beds,"$47 $42 night$42 per night, originally $47",https://www.airbnb.com/s/claveria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.464,-99.1668
12,/rooms/33169285?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688453218_nTR3HQXWpScpaq4S&previous_page_section_name=1000&federated_search_id=9a3f73ed-98d3-45da-b1ef-b697f1be567b,Apartment in Clavería,"El Beso, casa del chef.",1 double bed,$44 night$44 per night,https://www.airbnb.com/s/claveria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4608,-99.1803
13,/rooms/647672948826655704?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-23&check_out=2023-08-28&source_impression_id=p3_1688453218_jt8gF74QorSC%2FhW5&previous_page_section_name=1000&federated_search_id=9a3f73ed-98d3-45da-b1ef-b697f1be567b,Apartment in Clavería,BEAUTIFUL AND COZY PRIVATE APARTMENT IN MEXICO CITY,3 beds,$60 night$60 per night,https://www.airbnb.com/s/claveria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4657,-99.1854
