,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/22824114?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-11&check_out=2023-09-16&source_impression_id=p3_1688467421_ZNXtzTU%2FUeazGemu&previous_page_section_name=1000&federated_search_id=b5f4620c-3507-4a77-953f-fba5768a3308,Apartment in Condesa,Condesa | Cozy Studio | Terrace | Park España Loft,1 queen bed,$96 night$96 per night,https://www.airbnb.com/s/condesa--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4152,-99.1721
1,/rooms/plus/13505249?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688467421_UwsMXq1IyOvkBdnc&previous_page_section_name=1000&federated_search_id=b5f4620c-3507-4a77-953f-fba5768a3308,Apartment in Condesa,"Modern, Industrial Apartment with Bamboo Garden",1 queen bed,"$106 $90 night$90 per night, originally $106",https://www.airbnb.com/s/condesa--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.409706755213325,-99.1718380981773
2,/rooms/782740108392089634?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688467421_0H8cWzUuHc1ZjFiP&previous_page_section_name=1000&federated_search_id=b5f4620c-3507-4a77-953f-fba5768a3308,Apartment in Condesa,Sonder Aria | One-Bedroom Apartment,1 king bed,$72 night$72 per night,https://www.airbnb.com/s/condesa--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40429,-99.16753
3,/rooms/644030923007367047?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688467421_jjb4wgFdf25%2F1hid&previous_page_section_name=1000&federated_search_id=b5f4620c-3507-4a77-953f-fba5768a3308,Apartment in Condesa,Chic 2BR wBalconyPoolGym,2 beds,"$126 $105 night$105 per night, originally $126",https://www.airbnb.com/s/condesa--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4099,-99.1798
4,/rooms/plus/24829385?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-27&check_out=2023-08-02&source_impression_id=p3_1688467421_C2jtcTJq4qUZSC4U&previous_page_section_name=1000&federated_search_id=b5f4620c-3507-4a77-953f-fba5768a3308,Apartment in Condesa,Condesa | Estilo clásico/moderno| Park España Loft,1 bed,"$95 $82 night$82 per night, originally $95",https://www.airbnb.com/s/condesa--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4146,-99.1721
5,/rooms/882139305968056152?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688467421_yeSHoNu25TK3tjJy&previous_page_section_name=1000&federated_search_id=b5f4620c-3507-4a77-953f-fba5768a3308,Home in Condesa,Condesa/Roma  TownHouse  *Best Location*,2 beds,"$216 $173 night$173 per night, originally $216",https://www.airbnb.com/s/condesa--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4164,-99.1719
6,/rooms/602383882831515007?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688467421_DuNXV3R4EWeQUgCm&previous_page_section_name=1000&federated_search_id=b5f4620c-3507-4a77-953f-fba5768a3308,Condo in Roma Norte,Breathtaking panoramic views + King Size Bed Apt,1 king bed,"$182 $110 night$110 per night, originally $182",https://www.airbnb.com/s/condesa--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42169,-99.16614
7,/rooms/587139502130027253?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-24&source_impression_id=p3_1688467421_4sQ%2BPcl8oXTbsEMo&previous_page_section_name=1000&federated_search_id=b5f4620c-3507-4a77-953f-fba5768a3308,Condo in Condesa,The Purple Luxury Suite in trendy RomaCondesa,1 bed,"$44 $40 night$40 per night, originally $44",https://www.airbnb.com/s/condesa--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41606,-99.17026
8,/rooms/690121582444548814?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688467421_HWUVn04Lb4XTOsSs&previous_page_section_name=1000&federated_search_id=b5f4620c-3507-4a77-953f-fba5768a3308,Loft in Condesa,Beautiful Loft in the heart of Condesa/AutoCheckin,1 double bed,$62 night$62 per night,https://www.airbnb.com/s/condesa--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4133,-99.174
9,/rooms/11606162?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688467421_HSI%2BId36adzrU%2B%2F1&previous_page_section_name=1000&federated_search_id=b5f4620c-3507-4a77-953f-fba5768a3308,Apartment in Condesa,ZAPATA CONDESA [*****],1 king bed,"$75 $59 night$59 per night, originally $75",https://www.airbnb.com/s/condesa--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41294,-99.17182
