,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/49715955?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-18&source_impression_id=p3_1688465148_vN4ZQpV3Mook6WPP&previous_page_section_name=1000&federated_search_id=c8180077-88b9-475a-beaf-f7dc5a6c79c6,Condo in Mexico City,Beautiful apartment 3 bedrooms. Fully equipped.,3 beds,$64 night$64 per night,https://www.airbnb.com/s/cosmopolita--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.47258,-99.16028
1,/rooms/6647682?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688465148_0AQa0dHcI7Tm%2Fm8q&previous_page_section_name=1000&federated_search_id=c8180077-88b9-475a-beaf-f7dc5a6c79c6,Condo in Mexico City,Apartment equipped with amazing view of CdMx,3 beds,$63 night$63 per night,https://www.airbnb.com/s/cosmopolita--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.47137,-99.16208
2,/rooms/924810264094591091?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688465148_ev5FLZQAVXuAZUAJ&previous_page_section_name=1000&federated_search_id=c8180077-88b9-475a-beaf-f7dc5a6c79c6,Apartment in Mexico City,Panoramic departament Mexico cty,3 beds,$56 night$56 per night,https://www.airbnb.com/s/cosmopolita--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46748,-99.17601
3,/rooms/38639644?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-25&check_out=2023-07-30&source_impression_id=p3_1688465148_t0h57Z5WexUSO4PU&previous_page_section_name=1000&federated_search_id=c8180077-88b9-475a-beaf-f7dc5a6c79c6,Apartment in Cuitláhuac,"Apartment near Polanco, Centro and Reforma",2 double beds,$47 night$47 per night,https://www.airbnb.com/s/cosmopolita--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4712,-99.1681
4,/rooms/548559423679512687?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688465148_6nEpsiUx9Cvkzsp1&previous_page_section_name=1000&federated_search_id=c8180077-88b9-475a-beaf-f7dc5a6c79c6,Condo in Nueva Santa María,Vid: Rincón Mexicano. Full apartment,3 beds,"$94 $66 night$66 per night, originally $94",https://www.airbnb.com/s/cosmopolita--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4684,-99.1686
5,/rooms/50374453?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688465148_nHiR40oblngkUDRY&previous_page_section_name=1000&federated_search_id=c8180077-88b9-475a-beaf-f7dc5a6c79c6,Condo in Cuitláhuac,Cozy apartment Azcapotzalco Cdmx We invoice,1 double bed,$44 night$44 per night,https://www.airbnb.com/s/cosmopolita--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.47359,-99.17061
6,/rooms/54290822?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-20&check_out=2023-07-25&source_impression_id=p3_1688465148_E08eYi88yJqKV%2BsA&previous_page_section_name=1000&federated_search_id=c8180077-88b9-475a-beaf-f7dc5a6c79c6,Room in Cuitláhuac,Comfortable Bedroom Cuitláhuac,Stay with Sergio,"$16 $15 night$15 per night, originally $16",https://www.airbnb.com/s/cosmopolita--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.47248,-99.16597
7,/rooms/898570546446029738?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-19&source_impression_id=p3_1688465148_VkHDwzv6ITIgISda&previous_page_section_name=1000&federated_search_id=c8180077-88b9-475a-beaf-f7dc5a6c79c6,Apartment in Nueva Santa María,Departamento super céntrico,2 beds,"$68 $62 night$62 per night, originally $68",https://www.airbnb.com/s/cosmopolita--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.469216718062622,-99.17288715688396
8,/rooms/888002396241227861?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-22&source_impression_id=p3_1688465148_p04gMENZEeuchBI5&previous_page_section_name=1000&federated_search_id=c8180077-88b9-475a-beaf-f7dc5a6c79c6,Apartment in Nueva Santa María,"Nuevo, seguro, ubicado Sta María",3 beds,$43 night$43 per night,https://www.airbnb.com/s/cosmopolita--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4696,-99.1717
9,/rooms/893153611588093657?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688465148_3LFdPsT%2Fe1LcZup2&previous_page_section_name=1000&federated_search_id=c8180077-88b9-475a-beaf-f7dc5a6c79c6,Apartment in Mexico City,Hermoso Departamento Confortable y Muy Seguro,3 beds,"$59 $47 night$47 per night, originally $59",https://www.airbnb.com/s/cosmopolita--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4689,-99.1598
