,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/54070962?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688434278_Xn4kgBvFACgi2nuo&previous_page_section_name=1000&federated_search_id=6e8dcbfc-a69d-4fdf-b35e-d0203c52b13f,Condo in Mexico City,Beautiful apartment just a short walk away from Polanco,2 beds,"5,487₽ night5,487₽ per night",https://www.airbnb.com/s/cuauhtemoc-pensil--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4443,-99.19566
1,/rooms/876078132328735272?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688434278_sDabchqqeiu53rHG&previous_page_section_name=1000&federated_search_id=6e8dcbfc-a69d-4fdf-b35e-d0203c52b13f,Place to stay in Mexico City,Habitación 100 metros Metro San Joaquín,1 queen bed,"4,049₽ night4,049₽ per night",https://www.airbnb.com/s/cuauhtemoc-pensil--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.443847167723888,-99.1943017858002
2,/rooms/905800563146877217?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688434278_ZrnCG4fMlsB8ynXJ&previous_page_section_name=1000&federated_search_id=6e8dcbfc-a69d-4fdf-b35e-d0203c52b13f,Apartment in Granada,State of the art apt in Polanco,2 beds,"7,943₽ 6,535₽ night6,535₽ per night, originally 7,943₽",https://www.airbnb.com/s/cuauhtemoc-pensil--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44264,-99.1956
3,/rooms/51129102?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-23&check_out=2023-07-28&source_impression_id=p3_1688434278_8Si%2BkuzoSHOLqSWe&previous_page_section_name=1000&federated_search_id=6e8dcbfc-a69d-4fdf-b35e-d0203c52b13f,Condo in Granada,Beautiful apartment and fast internet near Polanco,3 beds,"4,837₽ night4,837₽ per night",https://www.airbnb.com/s/cuauhtemoc-pensil--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44285,-99.19373
4,/rooms/52769833?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688434278_s6vS1gNDVoh8subm&previous_page_section_name=1000&federated_search_id=6e8dcbfc-a69d-4fdf-b35e-d0203c52b13f,Apartment in Polanco Reforma,B/Center+GYM+2 Rooftops+Fire Pit | Voguish Apt,1 king bed,"8,757₽ 7,706₽ night7,706₽ per night, originally 8,757₽",https://www.airbnb.com/s/cuauhtemoc-pensil--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4384,-99.192
5,/rooms/582613820765323743?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688434278_jaYWZ0ibIbe%2BcqSl&previous_page_section_name=1000&federated_search_id=6e8dcbfc-a69d-4fdf-b35e-d0203c52b13f,Condo in Granada,"Comfortable new POLANCO, amenities walking to museums",3 beds,"9,770₽ 8,105₽ night8,105₽ per night, originally 9,770₽",https://www.airbnb.com/s/cuauhtemoc-pensil--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4416,-99.1959
6,/rooms/908713240458803665?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688434278_EQDGGEdQ8G9SBtyc&previous_page_section_name=1000&federated_search_id=6e8dcbfc-a69d-4fdf-b35e-d0203c52b13f,Condo in Granada,"Polanco 1BR 4PAX, new, near museums",2 beds,"8,149₽ 6,711₽ night6,711₽ per night, originally 8,149₽",https://www.airbnb.com/s/cuauhtemoc-pensil--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4417,-99.1964
7,/rooms/644948669072058135?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688434278_unQBWEZLGWc9LAeN&previous_page_section_name=1000&federated_search_id=6e8dcbfc-a69d-4fdf-b35e-d0203c52b13f,Condo in Mexico City,"Beautiful Apartment, 5 Minutes from Polanco",3 beds,"4,433₽ night4,433₽ per night",https://www.airbnb.com/s/cuauhtemoc-pensil--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4467,-99.1929
8,/rooms/584758004035564741?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688434278_x5fhyPhZJskl6KE%2F&previous_page_section_name=1000&federated_search_id=6e8dcbfc-a69d-4fdf-b35e-d0203c52b13f,Condo in Granada,"POLANCO NEW amenities, museum, nice & centric.",2 beds,"7,177₽ night7,177₽ per night",https://www.airbnb.com/s/cuauhtemoc-pensil--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4416,-99.1959
9,/rooms/52324119?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688434278_FNupwm2jeCNzzjl9&previous_page_section_name=1000&federated_search_id=6e8dcbfc-a69d-4fdf-b35e-d0203c52b13f,Condo in Granada,NEW building POLANCO cozy amenities security park,1 king bed,"8,372₽ 7,202₽ night7,202₽ per night, originally 8,372₽",https://www.airbnb.com/s/cuauhtemoc-pensil--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4417,-99.196
10,/rooms/831812808447599636?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688434278_LYg264ETJ%2FI3weI0&previous_page_section_name=1000&federated_search_id=6e8dcbfc-a69d-4fdf-b35e-d0203c52b13f,Condo in Granada,"Walk to Hospital Español Polanco,Plaza Antara,Cozy",2 beds,"8,810₽ 7,465₽ night7,465₽ per night, originally 8,810₽",https://www.airbnb.com/s/cuauhtemoc-pensil--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4408,-99.196
11,/rooms/913061837410335828?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688434278_NwLpjffv%2FSyxAT6R&previous_page_section_name=1000&federated_search_id=6e8dcbfc-a69d-4fdf-b35e-d0203c52b13f,Condo in Granada,Livix - 2BD 2BA w/parking,2 beds,"7,443₽ night7,443₽ per night",https://www.airbnb.com/s/cuauhtemoc-pensil--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4412,-99.19562
12,/rooms/52128969?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688434278_MbYH%2FMoHALW2Tk3s&previous_page_section_name=1000&federated_search_id=6e8dcbfc-a69d-4fdf-b35e-d0203c52b13f,Condo in Granada,Pet friendly Walk POLANCO ride our folding bikes.,2 beds,"8,918₽ 7,592₽ night7,592₽ per night, originally 8,918₽",https://www.airbnb.com/s/cuauhtemoc-pensil--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4416,-99.1959
13,/rooms/25486365?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-21&source_impression_id=p3_1688434278_hXX3ls%2B0M8AwlXGl&previous_page_section_name=1000&federated_search_id=6e8dcbfc-a69d-4fdf-b35e-d0203c52b13f,Apartment in Mexico City,Polanco Residencial Geneva,3 beds,"4,749₽ night4,749₽ per night",https://www.airbnb.com/s/cuauhtemoc-pensil--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4451,-99.1947
14,/rooms/908225909137995055?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688434278_xXuvvi6KGVR8uY7%2B&previous_page_section_name=1000&federated_search_id=6e8dcbfc-a69d-4fdf-b35e-d0203c52b13f,Condo in Granada,"Livix, New, Hospital Español, Plaza Miyana",2 beds,"7,955₽ night7,955₽ per night",https://www.airbnb.com/s/cuauhtemoc-pensil--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4417,-99.1964
15,/rooms/44362961?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-22&check_out=2023-07-27&source_impression_id=p3_1688434278_533V9jOGtrVM8lPR&previous_page_section_name=1000&federated_search_id=6e8dcbfc-a69d-4fdf-b35e-d0203c52b13f,Guest suite in Pensil Norte,Xoloitzcuintle Corner: Unique!,1 sofa bed,"1,908₽ night1,908₽ per night",https://www.airbnb.com/s/cuauhtemoc-pensil--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4481,-99.19405
16,/rooms/53721928?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688434278_DAKO%2FihHPhGJOEVW&previous_page_section_name=1000&federated_search_id=6e8dcbfc-a69d-4fdf-b35e-d0203c52b13f,Condo in Granada,"NEW cozy located, walk Polanco Museum24h SECURITY.",2 beds,"7,966₽ 7,004₽ night7,004₽ per night, originally 7,966₽",https://www.airbnb.com/s/cuauhtemoc-pensil--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4416,-99.1959
