,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/34944226?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688440298_UU5rxRmt3Rlhwtnd&previous_page_section_name=1000&federated_search_id=fccb35be-6ae2-4018-b872-a14b82241bfb,Apartment in Mexico City,"Beautiful apartment 403 in Coyoacan, like new.",7 min walk,$47 night$47 per night,https://www.airbnb.com/s/cuitlhuac-1-y-2--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.33744,-99.12912
1,/rooms/35159853?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-23&check_out=2023-07-28&source_impression_id=p3_1688440298_Su90u12eA%2FpNhtTW&previous_page_section_name=1000&federated_search_id=fccb35be-6ae2-4018-b872-a14b82241bfb,Home in Mexico City,Entire house with a garden.,3 min walk,$38 night$38 per night,https://www.airbnb.com/s/cuitlhuac-1-y-2--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.33585,-99.13089
2,/rooms/28439961?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688440298_VORg3yvYscyVzpXb&previous_page_section_name=1000&federated_search_id=fccb35be-6ae2-4018-b872-a14b82241bfb,Room in Mexico City,"Comfortable room S,  as if at home",8 min walk,$18 night$18 per night,https://www.airbnb.com/s/cuitlhuac-1-y-2--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.33768,-99.12845
3,/rooms/32084941?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688440298_Nl5eXsTJgfOzD1wx&previous_page_section_name=1000&federated_search_id=fccb35be-6ae2-4018-b872-a14b82241bfb,Room in Mexico City,"Comfortable room D, as if at home.",5 min drive,$18 night$18 per night,https://www.airbnb.com/s/cuitlhuac-1-y-2--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3361,-99.12726
4,/rooms/13825176?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-07&source_impression_id=p3_1688440298_bpOXECj29RwrT7am&previous_page_section_name=1000&federated_search_id=fccb35be-6ae2-4018-b872-a14b82241bfb,Apartment in Coyoacán ,Beautiful apartment IN Coyoacán,1 min walk,$32 night$32 per night,https://www.airbnb.com/s/cuitlhuac-1-y-2--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3379,-99.13063
5,/rooms/38976816?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688440298_jwuOqBxDNQvx%2FY5u&previous_page_section_name=1000&federated_search_id=fccb35be-6ae2-4018-b872-a14b82241bfb,Room in Mexico City,"Super spacious bedroom with TV , comfortable",8 min walk,$18 night$18 per night,https://www.airbnb.com/s/cuitlhuac-1-y-2--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.33779,-99.12856
6,/rooms/623961775431280226?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688440298_2pIEeuB10BEII6Cp&previous_page_section_name=1000&federated_search_id=fccb35be-6ae2-4018-b872-a14b82241bfb,Apartment in Mexico City,Cozy apartment in Coyoacan Taxqueña CDMX,13 min walk,$24 night$24 per night,https://www.airbnb.com/s/cuitlhuac-1-y-2--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.33769,-99.12368
7,/rooms/32402959?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-20&check_out=2023-07-25&source_impression_id=p3_1688440298_p4F9nzgzy4MoVhrj&previous_page_section_name=1000&federated_search_id=fccb35be-6ae2-4018-b872-a14b82241bfb,Room in Mexico City,"Spacious bedroom c/double bed, sur CDMX",6 min walk,$15 night$15 per night,https://www.airbnb.com/s/cuitlhuac-1-y-2--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3392,-99.1319
8,/rooms/41904919?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-14&source_impression_id=p3_1688440298_kxaC1bKVnEc2ZLPe&previous_page_section_name=1000&federated_search_id=fccb35be-6ae2-4018-b872-a14b82241bfb,Apartment in Mexico City,VILLA LUCIANA CDMX,14 min walk,$21 night$21 per night,https://www.airbnb.com/s/cuitlhuac-1-y-2--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.33227,-99.13459
9,/rooms/12109139?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688440298_42YwhttR0reb9zTW&previous_page_section_name=1000&federated_search_id=fccb35be-6ae2-4018-b872-a14b82241bfb,Apartment in Mexico City,Full apartment,7 min drive,$23 night$23 per night,https://www.airbnb.com/s/cuitlhuac-1-y-2--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.34242,-99.13612
