,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/722637892336065087?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-09&source_impression_id=p3_1688404997_884bGuIwJ1joCoTK&previous_page_section_name=1000&federated_search_id=b26d5e39-b10d-4b9c-b2f2-dd471058dabc,Apartment in Tlalnepantla de Baz,Cozy condominium with free parking,1 bed,"$181,678 COP night$181,678 COP per night",https://www.airbnb.com/s/del-bosque--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.54138,-99.17055
1,/rooms/38076775?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-23&check_out=2023-07-28&source_impression_id=p3_1688404997_%2F4OtHy2234VqkV6%2F&previous_page_section_name=1000&federated_search_id=b26d5e39-b10d-4b9c-b2f2-dd471058dabc,Condo in San Francisco Coacalco,"Luxury apartment with terrace, 2 bedrooms, 2 toilet",3 beds,"$220,499 COP night$220,499 COP per night",https://www.airbnb.com/s/del-bosque--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.6339,-99.1258
2,/rooms/48398471?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688404997_wVl6O6VrtexiMyHk&previous_page_section_name=1000&federated_search_id=b26d5e39-b10d-4b9c-b2f2-dd471058dabc,Apartment in Mexico City,The little house of the 8th,1 double bed,"$106,098 COP night$106,098 COP per night",https://www.airbnb.com/s/del-bosque--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.52225,-99.16233
3,/rooms/54308662?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688404997_VWt2MmNs2Hu7JVsV&previous_page_section_name=1000&federated_search_id=b26d5e39-b10d-4b9c-b2f2-dd471058dabc,Apartment in Tlalnepantla de Baz,Cozy 2 Story New Minidepartment Independent,3 beds,"$153,789 COP night$153,789 COP per night",https://www.airbnb.com/s/del-bosque--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.55736,-99.22373
4,/rooms/53094163?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688404997_ty17PHsQNsBFcdMC&previous_page_section_name=1000&federated_search_id=b26d5e39-b10d-4b9c-b2f2-dd471058dabc,Condo in San Francisco Coacalco,Cosmopol Lyfestyle Condo complete with amenities,2 beds,"$249,940 COP night$249,940 COP per night",https://www.airbnb.com/s/del-bosque--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.63593,-99.12473
5,/rooms/734989770836824132?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-18&source_impression_id=p3_1688404997_xZ5aoAwcAEu3G6tr&previous_page_section_name=1000&federated_search_id=b26d5e39-b10d-4b9c-b2f2-dd471058dabc,Apartment in Mexico City,Hermoso depto en residencial privado zona céntrica,3 beds,"$173,575 COP night$173,575 COP per night",https://www.airbnb.com/s/del-bosque--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.49515,-99.14302
6,/rooms/787700026004355940?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-15&check_out=2023-07-22&source_impression_id=p3_1688404997_e%2BX8pC84ctGNl%2BPP&previous_page_section_name=1000&federated_search_id=b26d5e39-b10d-4b9c-b2f2-dd471058dabc,Apartment in CDMX,Departamento Norte de la CDMX,1 bed,"$137,205 COP night$137,205 COP per night",https://www.airbnb.com/s/del-bosque--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.5089,-99.1532
7,/rooms/36676678?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688404997_M8rsab%2FKhOZO5dAL&previous_page_section_name=1000&federated_search_id=b26d5e39-b10d-4b9c-b2f2-dd471058dabc,Apartment in Mexico City,"Nice, spacious and comfortable apartment",3 beds,"$252,311 COP night$252,311 COP per night",https://www.airbnb.com/s/del-bosque--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.50332,-99.12372
8,/rooms/887084975261181027?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688404997_xXq%2FVIgCxoUpBWhB&previous_page_section_name=1000&federated_search_id=b26d5e39-b10d-4b9c-b2f2-dd471058dabc,Place to stay in Mexico City,Bello y Cómodo Departamento,1 bed,"$108,348 COP $88,877 COP night$88,877 COP per night, originally $108,348 COP",https://www.airbnb.com/s/del-bosque--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.523469264339493,-99.15712090635296
9,/rooms/531833974586958094?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-12&check_out=2023-08-18&source_impression_id=p3_1688404997_gIa%2FqzbIL4pYwqZp&previous_page_section_name=1000&federated_search_id=b26d5e39-b10d-4b9c-b2f2-dd471058dabc,Vacation home in Naucalpan de Juárez,Lovely place with fireplace and forest view,1 bed,"$277,743 COP night$277,743 COP per night",https://www.airbnb.com/s/del-bosque--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.515368061500034,-99.25390499570534
