,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/49715955?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-18&source_impression_id=p3_1688439834_jrwgt9dMVJW%2BWQBa&previous_page_section_name=1000&federated_search_id=9665b7f8-77e5-4912-9da0-60a3a3cda7e6,Condo in Mexico City,Beautiful apartment 3 bedrooms. Fully equipped.,3 beds,$64 night$64 per night,https://www.airbnb.com/s/del-gas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.47258,-99.16028
1,/rooms/893153611588093657?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-16&source_impression_id=p3_1688439834_AIPEcI%2F1Xc689t6d&previous_page_section_name=1000&federated_search_id=9665b7f8-77e5-4912-9da0-60a3a3cda7e6,Apartment in Mexico City,Hermoso Departamento Confortable y Muy Seguro,3 beds,"$59 $47 night$47 per night, originally $59",https://www.airbnb.com/s/del-gas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4689,-99.1598
2,/rooms/6647682?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688439834_Uzr7ZLEguAoeTUaK&previous_page_section_name=1000&federated_search_id=9665b7f8-77e5-4912-9da0-60a3a3cda7e6,Condo in Mexico City,Apartment equipped with amazing view of CdMx,3 beds,$63 night$63 per night,https://www.airbnb.com/s/del-gas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.47137,-99.16208
3,/rooms/36728509?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688439834_DgR2q8WMaBw4H4LL&previous_page_section_name=1000&federated_search_id=9665b7f8-77e5-4912-9da0-60a3a3cda7e6,Loft in Mexico City,Quiet and nice Loft excellent location,1 queen bed,$53 night$53 per night,https://www.airbnb.com/s/del-gas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46616,-99.15814
4,/rooms/543734141054459858?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-20&source_impression_id=p3_1688439834_32yOeMMa0wAc0P70&previous_page_section_name=1000&federated_search_id=9665b7f8-77e5-4912-9da0-60a3a3cda7e6,Apartment in Mexico City,Comfortable apartment for 6 people+ amenities,3 double beds,$65 night$65 per night,https://www.airbnb.com/s/del-gas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46685,-99.15975
5,/rooms/799287948889663965?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688439834_YfpRZprkMGHJR1i5&previous_page_section_name=1000&federated_search_id=9665b7f8-77e5-4912-9da0-60a3a3cda7e6,Condo in Mexico City,Dept Luxu 14 min from Polanco,1 queen bed,$56 night$56 per night,https://www.airbnb.com/s/del-gas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4718,-99.1587
6,/rooms/697823787303499866?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688439834_fE8QRrW6uNG4WCQk&previous_page_section_name=1000&federated_search_id=9665b7f8-77e5-4912-9da0-60a3a3cda7e6,Condo in Mexico City,An ideal and safe place to visit Mexico City.,3 beds,$52 night$52 per night,https://www.airbnb.com/s/del-gas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4655,-99.1549
7,/rooms/857887718252351392?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688439834_M3AizEXg9B7rCrPn&previous_page_section_name=1000&federated_search_id=9665b7f8-77e5-4912-9da0-60a3a3cda7e6,Condo in Mexico City,Depa Inteligente Nuevo - Céntrico,2 beds,$56 night$56 per night,https://www.airbnb.com/s/del-gas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.467077571169845,-99.15465943138828
8,/rooms/21162705?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-22&check_out=2023-07-27&source_impression_id=p3_1688439834_NXaF%2BF0Z2PXRqFuB&previous_page_section_name=1000&federated_search_id=9665b7f8-77e5-4912-9da0-60a3a3cda7e6,Loft in Mexico City,Frida 1 • Loft mexicano • Cerca Sta Maria Ribera,4 beds,$46 night$46 per night,https://www.airbnb.com/s/del-gas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4658,-99.1548
9,/rooms/31962980?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-23&source_impression_id=p3_1688439834_vbtoSjacTTzjvqTz&previous_page_section_name=1000&federated_search_id=9665b7f8-77e5-4912-9da0-60a3a3cda7e6,Apartment in Mexico City,"Amazing view, comfortable, ideal work or pleasure",4 beds,$77 night$77 per night,https://www.airbnb.com/s/del-gas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46423,-99.15986
