,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/17174966?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1688420432_Qbp45B2gyPi8FuVV&previous_page_section_name=1000&federated_search_id=894a4dab-2dd9-4643-af52-bb4109e3df5e,Loft in Mexico City,Cheerful department very centric near to WTC,2 beds,$48 night$48 per night,https://www.airbnb.com/s/del-valle-vii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3779,-99.1719
1,/rooms/42438139?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-23&check_out=2023-07-28&source_impression_id=p3_1688420432_j6EEFdhT0ClmtPjj&previous_page_section_name=1000&federated_search_id=894a4dab-2dd9-4643-af52-bb4109e3df5e,Condo in Mexico City,"Modern loft in great location, near WTC",2 beds,$42 night$42 per night,https://www.airbnb.com/s/del-valle-vii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3879,-99.17205
2,/rooms/867327163490316624?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-09&source_impression_id=p3_1688420432_VoYoNGk5cOnMx2Sw&previous_page_section_name=1000&federated_search_id=894a4dab-2dd9-4643-af52-bb4109e3df5e,Hotel in Mexico City,King Size Bed with Equipped Kitchenette in CDMX,1 king bed,$59 night$59 per night,https://www.airbnb.com/s/del-valle-vii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.393221383346123,-99.1712151447649
3,/rooms/824874708231292250?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688420432_usH4%2FExmnUC5O%2FJe&previous_page_section_name=1000&federated_search_id=894a4dab-2dd9-4643-af52-bb4109e3df5e,Loft in Mexico City,Loft with large private terrace,1 queen bed,"$66 $53 night$53 per night, originally $66",https://www.airbnb.com/s/del-valle-vii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.380779863092574,-99.1644387963169
4,/rooms/826459732115711333?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-28&check_out=2023-08-02&source_impression_id=p3_1688420432_9rMK4eeN20Nui9ms&previous_page_section_name=1000&federated_search_id=894a4dab-2dd9-4643-af52-bb4109e3df5e,Loft in Mexico City,Napoles Loft Studio Apartment with Parking Lot,1 queen bed,$32 night$32 per night,https://www.airbnb.com/s/del-valle-vii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3952,-99.1779
5,/rooms/53673495?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688420432_NFxfEI7aEwMJEMU8&previous_page_section_name=1000&federated_search_id=894a4dab-2dd9-4643-af52-bb4109e3df5e,Apartment in Mexico City,Cozy and Equipped Apartment in Narvarte,2 beds,"$46 $41 night$41 per night, originally $46",https://www.airbnb.com/s/del-valle-vii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.383,-99.15734
6,/rooms/673993227138842383?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688420432_l0WpCOdN0cz3XDYa&previous_page_section_name=1000&federated_search_id=894a4dab-2dd9-4643-af52-bb4109e3df5e,Loft in Mexico City,Excellently located LOFT in the heart of the city,1 queen bed,"$62 $50 night$50 per night, originally $62",https://www.airbnb.com/s/del-valle-vii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38826,-99.17873
7,/rooms/40068349?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688420432_v0phZtEcI%2FPf1iW2&previous_page_section_name=1000&federated_search_id=894a4dab-2dd9-4643-af52-bb4109e3df5e,Apartment in Mexico City,New Modern Suite WTC ¡¡ Super Fast 100mb WiFi !!,3 beds,$78 night$78 per night,https://www.airbnb.com/s/del-valle-vii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38745,-99.17454
8,/rooms/887872293654504807?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-28&check_out=2023-08-02&source_impression_id=p3_1688420432_Up5LYobR7zr52uYP&previous_page_section_name=1000&federated_search_id=894a4dab-2dd9-4643-af52-bb4109e3df5e,Loft in Mexico City,Hermoso loft súper ubicado en  Col. Nápoles Cdmx,1 bed,$56 night$56 per night,https://www.airbnb.com/s/del-valle-vii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3877,-99.1753
9,/rooms/30182015?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688420432_2xQvWMOfB5F2x%2FS5&previous_page_section_name=1000&federated_search_id=894a4dab-2dd9-4643-af52-bb4109e3df5e,Room in Mexico Df,"Private room at home, 200mts from metro zapata",Stay with Emma Isabel,"$25 $20 night$20 per night, originally $25",https://www.airbnb.com/s/del-valle-vii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37312,-99.16304
