,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/34690498?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688363782_ZU3lwMf4QKHOdP3h&previous_page_section_name=1000&federated_search_id=100ec79d-6d78-428e-a861-0d18651772a7,Loft in Mexico City,Unique loft w/parking and rooftop in La Roma,2 beds,￥502 night￥502 per night,https://www.airbnb.com/s/doctores-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41613,-99.15409
1,/rooms/898826314981154748?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-24&check_out=2023-07-29&source_impression_id=p3_1688363782_cq0ngGIeH%2Fe6nNlG&previous_page_section_name=1000&federated_search_id=100ec79d-6d78-428e-a861-0d18651772a7,Condo in Mexico City,Casa Pao 2.0 - Departamento,2 beds,￥398 night￥398 per night,https://www.airbnb.com/s/doctores-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4191,-99.1478
2,/rooms/918647847745329227?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688363782_dGMv9j3sM80WCs%2Fc&previous_page_section_name=1000&federated_search_id=100ec79d-6d78-428e-a861-0d18651772a7,Apartment in Mexico City,Urban Oasis @ near Trendiest Roma North District,2 beds,￥465 night￥465 per night,https://www.airbnb.com/s/doctores-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41905,-99.149
3,/rooms/24607433?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-11&check_out=2023-07-16&source_impression_id=p3_1688363782_JZlybGd2vRpx%2FbIy&previous_page_section_name=1000&federated_search_id=100ec79d-6d78-428e-a861-0d18651772a7,Apartment in Mexico City,Downtown aparment ..great view jade 46 eje central,3 beds,￥377 night￥377 per night,https://www.airbnb.com/s/doctores-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41915,-99.14252
4,/rooms/700522601392344236?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688363782_B756mSFo3ORu31LE&previous_page_section_name=1000&federated_search_id=100ec79d-6d78-428e-a861-0d18651772a7,Condo in Mexico City,Amazing designer apartment with terrace in la Roma,2 beds,￥863 night￥863 per night,https://www.airbnb.com/s/doctores-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41704,-99.15501
5,/rooms/752011141501622465?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-22&check_out=2023-07-27&source_impression_id=p3_1688363782_pFzigy5m8wzCrRZ9&previous_page_section_name=1000&federated_search_id=100ec79d-6d78-428e-a861-0d18651772a7,Condo in Mexico City,Comfy apartment in Roma Norte,2 beds,￥685 night￥685 per night,https://www.airbnb.com/s/doctores-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4169,-99.1547
6,/rooms/47801288?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-09&source_impression_id=p3_1688363782_P3azf9AZfCTNJriI&previous_page_section_name=1000&federated_search_id=100ec79d-6d78-428e-a861-0d18651772a7,Apartment in Mexico City,"Great location, sunny apartment with balcony",1 double bed,￥479 night￥479 per night,https://www.airbnb.com/s/doctores-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4202733310904,-99.15294393155912
7,/rooms/18689577?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1688363782_GAT9QRaPRFCr10sH&previous_page_section_name=1000&federated_search_id=100ec79d-6d78-428e-a861-0d18651772a7,Condo in Mexico City,"NEW APARTMENT, CLOSE TO HISTORIC DOWNTOWN",2 beds,￥325 night￥325 per night,https://www.airbnb.com/s/doctores-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4199,-99.1431
8,/rooms/18707221?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-22&source_impression_id=p3_1688363782_iBzaWk4uU5WH09Zk&previous_page_section_name=1000&federated_search_id=100ec79d-6d78-428e-a861-0d18651772a7,Apartment in Mexico City,Modern Apartment | By Roma Norte - Jardin Pushkin,2 beds,￥546 night￥546 per night,https://www.airbnb.com/s/doctores-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42057,-99.15281
9,/rooms/923460386529830137?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-14&check_out=2023-07-19&source_impression_id=p3_1688363782_FSQ3E6nxwvclwa09&previous_page_section_name=1000&federated_search_id=100ec79d-6d78-428e-a861-0d18651772a7,Condo in Mexico City,Sunny and quiet Roma apt 2BR 2br,2 beds,￥784 night￥784 per night,https://www.airbnb.com/s/doctores-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.415776368581405,-99.1574735384229
10,/rooms/plus/14055422?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-13&source_impression_id=p3_1688363782_sPTLEHtxqELUyLKr&previous_page_section_name=1000&federated_search_id=100ec79d-6d78-428e-a861-0d18651772a7,Apartment in Colonia Roma,Home is where you are,1 double bed,￥634 night￥634 per night,https://www.airbnb.com/s/doctores-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41622,-99.15506
11,/rooms/24152138?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-18&source_impression_id=p3_1688363782_npl1L0oScIYe75Bs&previous_page_section_name=1000&federated_search_id=100ec79d-6d78-428e-a861-0d18651772a7,Condo in Mexico City,Beautiful downtown apartment.,3 beds,￥475 night￥475 per night,https://www.airbnb.com/s/doctores-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4159,-99.1486
12,/rooms/889794647499912696?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688363782_RhWZrhntOmJS66EF&previous_page_section_name=1000&federated_search_id=100ec79d-6d78-428e-a861-0d18651772a7,Apartment in Mexico City,Departamento Roma Norte,1 bed,￥618 night￥618 per night,https://www.airbnb.com/s/doctores-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.416001135380824,-99.15506509977854
13,/rooms/665178060341325871?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688363782_K0pn4c3lk8pzsM4n&previous_page_section_name=1000&federated_search_id=100ec79d-6d78-428e-a861-0d18651772a7,Condo in Mexico City,"2BR, 2BTH,  walking distance to La Roma",3 beds,￥629 night￥629 per night,https://www.airbnb.com/s/doctores-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41834834111314,-99.15364858464186
14,/rooms/599167405896085733?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688363782_1QmbsQx4mVSSHLHa&previous_page_section_name=1000&federated_search_id=100ec79d-6d78-428e-a861-0d18651772a7,Loft in Mexico City,"Studio - Roma Norte, central and with parking",2 beds,￥556 night￥556 per night,https://www.airbnb.com/s/doctores-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.417,-99.1547
15,/rooms/9067580?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-23&source_impression_id=p3_1688363782_gWxTYoyKRDEHikPr&previous_page_section_name=1000&federated_search_id=100ec79d-6d78-428e-a861-0d18651772a7,Condo in Mexico City,Bright Roma Condo & Private Terrace,2 beds,￥749 night￥749 per night,https://www.airbnb.com/s/doctores-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41818,-99.15478
