,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/34690498?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688366817_4uDUctKInEdNwDcV&previous_page_section_name=1000&federated_search_id=368dca48-04c0-4d89-a6f2-34944be0d62a,Loft in Mexico City,Unique loft w/parking and rooftop in La Roma,2 beds,"$660 HKD $543 HKD night$543 HKD per night, originally $660 HKD",https://www.airbnb.com/s/doctores-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41613,-99.15409
1,/rooms/898826314981154748?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-24&check_out=2023-07-29&source_impression_id=p3_1688366817_GCrij91heA5AMs5T&previous_page_section_name=1000&federated_search_id=368dca48-04c0-4d89-a6f2-34944be0d62a,Condo in Mexico City,Casa Pao 2.0 - Departamento,2 beds,$430 HKD night$430 HKD per night,https://www.airbnb.com/s/doctores-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4191,-99.1478
2,/rooms/918647847745329227?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688366817_%2BBZjrlHElGh4JlRn&previous_page_section_name=1000&federated_search_id=368dca48-04c0-4d89-a6f2-34944be0d62a,Apartment in Mexico City,Urban Oasis @ near Trendiest Roma North District,2 beds,$503 HKD night$503 HKD per night,https://www.airbnb.com/s/doctores-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41905,-99.149
3,/rooms/47801288?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-09&source_impression_id=p3_1688366817_O0S1FzVzBkrqaWW0&previous_page_section_name=1000&federated_search_id=368dca48-04c0-4d89-a6f2-34944be0d62a,Apartment in Mexico City,"Great location, sunny apartment with balcony",1 double bed,"$639 HKD $517 HKD night$517 HKD per night, originally $639 HKD",https://www.airbnb.com/s/doctores-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4202733310904,-99.15294393155912
4,/rooms/923460386529830137?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-14&check_out=2023-07-19&source_impression_id=p3_1688366817_sJ40bAghhth6iTFA&previous_page_section_name=1000&federated_search_id=368dca48-04c0-4d89-a6f2-34944be0d62a,Condo in Mexico City,Sunny and quiet Roma apt 2BR 2br,2 beds,"$1,031 HKD $847 HKD night$847 HKD per night, originally $1,031 HKD",https://www.airbnb.com/s/doctores-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.415776368581405,-99.1574735384229
5,/rooms/18689577?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1688366817_Yqvj9tp26kTELLj9&previous_page_section_name=1000&federated_search_id=368dca48-04c0-4d89-a6f2-34944be0d62a,Condo in Mexico City,"NEW APARTMENT, CLOSE TO HISTORIC DOWNTOWN",2 beds,"$385 HKD $351 HKD night$351 HKD per night, originally $385 HKD",https://www.airbnb.com/s/doctores-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4199,-99.1431
6,/rooms/24152138?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-18&source_impression_id=p3_1688366817_oL7EfEiLZCikPI9k&previous_page_section_name=1000&federated_search_id=368dca48-04c0-4d89-a6f2-34944be0d62a,Condo in Mexico City,Beautiful downtown apartment.,3 beds,$513 HKD night$513 HKD per night,https://www.airbnb.com/s/doctores-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4159,-99.1486
7,/rooms/700522601392344236?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688366817_dtICgAylcT96vFcg&previous_page_section_name=1000&federated_search_id=368dca48-04c0-4d89-a6f2-34944be0d62a,Condo in Mexico City,Amazing designer apartment with terrace in la Roma,2 beds,"$1,666 HKD $932 HKD night$932 HKD per night, originally $1,666 HKD",https://www.airbnb.com/s/doctores-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41704,-99.15501
8,/rooms/24607433?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-11&check_out=2023-07-16&source_impression_id=p3_1688366817_nvN7G19JdP6xxvhj&previous_page_section_name=1000&federated_search_id=368dca48-04c0-4d89-a6f2-34944be0d62a,Apartment in Mexico City,Downtown aparment ..great view jade 46 eje central,3 beds,$407 HKD night$407 HKD per night,https://www.airbnb.com/s/doctores-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41915,-99.14252
9,/rooms/913781341180602637?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688366817_rLDf8DW2LnmPA2P4&previous_page_section_name=1000&federated_search_id=368dca48-04c0-4d89-a6f2-34944be0d62a,Apartment in Mexico City,Industrial Design in the Heart of Mexico,2 double beds,$399 HKD night$399 HKD per night,https://www.airbnb.com/s/doctores-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.419,-99.145
