,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/599457354214495246?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688482916_XiJc%2BZO%2FKqTqTllg&previous_page_section_name=1000&federated_search_id=496aab28-12d8-445d-9b78-0e60fa1b1412,Condo in Mexico City,Home Sweet Home: 5MinArpt/Autodromo/ForoSol/PalDep,2 beds,"¥ 7,939 ¥ 7,170 night¥ 7,170 per night, originally ¥ 7,939",https://www.airbnb.com/s/federal--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42091,-99.08577
1,/rooms/40086816?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688482916_DURolBHoOnUHlSfT&previous_page_section_name=1000&federated_search_id=496aab28-12d8-445d-9b78-0e60fa1b1412,Apartment in Mexico City,Depto House Living1|Aeropuerto|Foro Sol|PalacioDep,1 king bed,"¥ 6,799 night¥ 6,799 per night",https://www.airbnb.com/s/federal--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41826,-99.08641
2,/rooms/46068574?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-02&check_out=2023-08-07&source_impression_id=p3_1688482916_xYNO%2B1LczVyKJ6Ax&previous_page_section_name=1000&federated_search_id=496aab28-12d8-445d-9b78-0e60fa1b1412,Apartment in Mexico City,Depto House Living2|Aeropuerto|Foro Sol|PalacioDep,1 king bed,"¥ 7,302 night¥ 7,302 per night",https://www.airbnb.com/s/federal--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41777,-99.0864
3,/rooms/628506359136720420?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688482916_3du%2FLRAOA1dWZg30&previous_page_section_name=1000&federated_search_id=496aab28-12d8-445d-9b78-0e60fa1b1412,Condo in Mexico City,Stay 5 minutes from the Airport!!,2 double beds,"¥ 10,161 ¥ 8,339 night¥ 8,339 per night, originally ¥ 10,161",https://www.airbnb.com/s/federal--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4238,-99.0882
4,/rooms/54055348?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688482916_fD4TdEXNChzmkvEk&previous_page_section_name=1000&federated_search_id=496aab28-12d8-445d-9b78-0e60fa1b1412,Vacation home in Mexico City,Airport1 RnR,1 double bed,"¥ 7,242 night¥ 7,242 per night",https://www.airbnb.com/s/federal--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42033,-99.09149
5,/rooms/54228638?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688482916_9LPtQEflBOjEbNaW&previous_page_section_name=1000&federated_search_id=496aab28-12d8-445d-9b78-0e60fa1b1412,Condo in Mexico City,Small room near airport 2B,1 bed,"¥ 3,862 night¥ 3,862 per night",https://www.airbnb.com/s/federal--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42116,-99.08829
6,/rooms/52634415?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688482916_r6jLeMvrKDSlTulE&previous_page_section_name=1000&federated_search_id=496aab28-12d8-445d-9b78-0e60fa1b1412,Apartment in Mexico City,"Home away from home:5 minARPT, Foro Sol, Autodromo",3 double beds,"¥ 6,733 night¥ 6,733 per night",https://www.airbnb.com/s/federal--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42216,-99.08659
7,/rooms/781232528697591378?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-22&source_impression_id=p3_1688482916_276ZIPaD%2BZPWk2h4&previous_page_section_name=1000&federated_search_id=496aab28-12d8-445d-9b78-0e60fa1b1412,Room in Mexico City,Private room 5 minutes close to the Airport (AICM),Stay with Andrea,"¥ 3,695 night¥ 3,695 per night",https://www.airbnb.com/s/federal--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42249,-99.0894
8,/rooms/46404465?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688482916_QLCgrpspczY9cKQN&previous_page_section_name=1000&federated_search_id=496aab28-12d8-445d-9b78-0e60fa1b1412,Condo in Mexico City,Apartment 5 min from Airport terminal 2,1 queen bed,"¥ 6,372 night¥ 6,372 per night",https://www.airbnb.com/s/federal--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42028,-99.08654
9,/rooms/43054552?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688482916_Dq2yO1rmsBuyeD%2Bm&previous_page_section_name=1000&federated_search_id=496aab28-12d8-445d-9b78-0e60fa1b1412,Apartment in Mexico City,Apartment near T1 airport and T2 Foro Sol,2 beds,"¥ 5,484 night¥ 5,484 per night",https://www.airbnb.com/s/federal--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41586,-99.08362
