,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/38904383?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-12&check_out=2023-08-17&source_impression_id=p3_1688410191_9XeqsKGiBqwJXY%2BU&previous_page_section_name=1000&federated_search_id=2b3ff619-0cf7-4738-93e5-1295f1f5a17e,Guest suite in Mexico Beach,Barefoot Bungalow,3 beds,$125 night$125 per night,https://www.airbnb.com/s/felipe-angeles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.9522,-85.4258
1,/rooms/8740658?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1688410191_aAtxcbdfopBIzBlv&previous_page_section_name=1000&federated_search_id=2b3ff619-0cf7-4738-93e5-1295f1f5a17e,Bungalow in Mexico Beach,Windswept Cottage,3 beds,$189 night$189 per night,https://www.airbnb.com/s/felipe-angeles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.92664,-85.3882
2,/rooms/47100693?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1688410191_e35YqAOdFZCOzyO9&previous_page_section_name=1000&federated_search_id=2b3ff619-0cf7-4738-93e5-1295f1f5a17e,Townhouse in Mexico Beach,"Set Sail 9, steps away from the Beach!!",4 beds,$135 night$135 per night,https://www.airbnb.com/s/felipe-angeles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.95007,-85.42398
3,/rooms/41617682?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-22&source_impression_id=p3_1688410191_MUmjUJ1YWzl%2BRoo%2F&previous_page_section_name=1000&federated_search_id=2b3ff619-0cf7-4738-93e5-1295f1f5a17e,Guest suite in Mexico Beach,Private guest suite close to the beach,2 beds,$115 night$115 per night,https://www.airbnb.com/s/felipe-angeles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.94146,-85.39658
4,/rooms/626849333632062336?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1688410191_b%2Bd4vlg419invo9s&previous_page_section_name=1000&federated_search_id=2b3ff619-0cf7-4738-93e5-1295f1f5a17e,Vacation home in Mexico Beach,The Cozy Crab Cottage in Mexico Beach,4 beds,$200 night$200 per night,https://www.airbnb.com/s/felipe-angeles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.9401,-85.3908
5,/rooms/45055864?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1688410191_OIIA%2FnbfAcs%2BdWZu&previous_page_section_name=1000&federated_search_id=2b3ff619-0cf7-4738-93e5-1295f1f5a17e,Home in Mexico Beach,Escape to the Gulf Shores at our C-Escape cottage!,3 beds,$220 night$220 per night,https://www.airbnb.com/s/felipe-angeles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.93524,-85.39868
6,/rooms/50541065?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-11&check_out=2023-08-16&source_impression_id=p3_1688410191_5szDzn2LbiVCfnLn&previous_page_section_name=1000&federated_search_id=2b3ff619-0cf7-4738-93e5-1295f1f5a17e,Townhouse in Mexico Beach,Summer Sale| 300 Steps to the Sand| Book Today!,5 beds,"$243 $214 night$214 per night, originally $243",https://www.airbnb.com/s/felipe-angeles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.95188,-85.42628
7,/rooms/923733258043422059?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688410191_jm0et1HoZPNbQVOD&previous_page_section_name=1000&federated_search_id=2b3ff619-0cf7-4738-93e5-1295f1f5a17e,Home in Mexico Beach,Slow M’ocean,3 beds,$225 night$225 per night,https://www.airbnb.com/s/felipe-angeles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.943287387665638,-85.40096137109818
8,/rooms/50598927?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-15&check_out=2023-08-21&source_impression_id=p3_1688410191_Qu%2FPhzXzhEmCqJeR&previous_page_section_name=1000&federated_search_id=2b3ff619-0cf7-4738-93e5-1295f1f5a17e,Apartment in Mexico Beach,Week of 4th availability! 2/2 at waterside,2 beds,$143 night$143 per night,https://www.airbnb.com/s/felipe-angeles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.94944,-85.42186
9,/rooms/546916405469885846?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-29&check_out=2023-08-03&source_impression_id=p3_1688410191_Szu%2FIKUYjEFPxtjG&previous_page_section_name=1000&federated_search_id=2b3ff619-0cf7-4738-93e5-1295f1f5a17e,Home in Mexico Beach,"Beachside Blessings
One block from Mexico Beach!",6 beds,"$360 $175 night$175 per night, originally $360",https://www.airbnb.com/s/felipe-angeles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,29.92732,-85.38967
