,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/49044599?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688459130_K0fUjHQtJTs5U60o&previous_page_section_name=1000&federated_search_id=f0c1b018-25d1-4e7f-b1c8-03530ddbfc1a,Apartment in Ampliación Granada,POLANCO... - GREAT APARTMENT / MEXICO CITY,1 queen bed,$71 night$71 per night,https://www.airbnb.com/s/francisco-i-madero--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44565,-99.20217
1,/rooms/53342323?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688459130_b7ksWuhGX8hDtwPj&previous_page_section_name=1000&federated_search_id=f0c1b018-25d1-4e7f-b1c8-03530ddbfc1a,Apartment in Ampliación Granada,POLANCO.. - GREAT APARTMENT / MEXICO CITY,Jul 4 – 11,$67 night$67 per night,https://www.airbnb.com/s/francisco-i-madero--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44621,-99.20396
2,/rooms/38548415?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688459130_yAjEn5%2BWkFkpBPFA&previous_page_section_name=1000&federated_search_id=f0c1b018-25d1-4e7f-b1c8-03530ddbfc1a,Apartment in Ampliación Granada,Great Apartment - Polanco Area,1 queen bed,$68 night$68 per night,https://www.airbnb.com/s/francisco-i-madero--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44573,-99.2019
3,/rooms/837878965292918366?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688459130_BFuh6LtwUUpCc27b&previous_page_section_name=1000&federated_search_id=f0c1b018-25d1-4e7f-b1c8-03530ddbfc1a,Condo in Ampliación Granada,"Close to CARSO & Antara, upscale 1BR Apt+amenities",1 queen bed,"$89 $71 night$71 per night, originally $89",https://www.airbnb.com/s/francisco-i-madero--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.445629023601747,-99.20380791241796
4,/rooms/52444508?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688459130_SFi3Yi3HBQMuw9on&previous_page_section_name=1000&federated_search_id=f0c1b018-25d1-4e7f-b1c8-03530ddbfc1a,Apartment in Ampliación Granada,POLANCO.- GREAT APARTMENT / MEXICO CITY,1 bed,$70 night$70 per night,https://www.airbnb.com/s/francisco-i-madero--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44409,-99.20199
5,/rooms/33050196?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688459130_9VmqVwuI3thYgYRf&previous_page_section_name=1000&federated_search_id=f0c1b018-25d1-4e7f-b1c8-03530ddbfc1a,Condo in Ampliación Granada,Industrial CHIC new apt 2 BR/ New Polanco,2 beds,$86 night$86 per night,https://www.airbnb.com/s/francisco-i-madero--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4448,-99.2034
6,/rooms/47054852?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688459130_zRkFnPNqaqvva4Ys&previous_page_section_name=1000&federated_search_id=f0c1b018-25d1-4e7f-b1c8-03530ddbfc1a,Apartment in Ampliación Granada,"Beautiful design in Polanco, 2 rooms",2 beds,"$88 $66 night$66 per night, originally $88",https://www.airbnb.com/s/francisco-i-madero--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44593,-99.2032
7,/rooms/889880386485372620?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688459130_K7h%2B%2BzfPXfC3dnYO&previous_page_section_name=1000&federated_search_id=f0c1b018-25d1-4e7f-b1c8-03530ddbfc1a,Apartment in Ampliación Granada,Cozy & Bright Apt. w/ Swimming Pool & Garden,3 beds,$88 night$88 per night,https://www.airbnb.com/s/francisco-i-madero--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.447038714815402,-99.20400702161042
8,/rooms/52509151?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1688459130_vX9MBg%2Ff2sKS%2FUt%2B&previous_page_section_name=1000&federated_search_id=f0c1b018-25d1-4e7f-b1c8-03530ddbfc1a,Condo in Ampliación Granada,Comfy and Great location apartment @ Polanco,2 beds,"$73 $65 night$65 per night, originally $73",https://www.airbnb.com/s/francisco-i-madero--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44511,-99.20406
9,/rooms/775212294681795215?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1688459130_NFylQDIhBeLENldJ&previous_page_section_name=1000&federated_search_id=f0c1b018-25d1-4e7f-b1c8-03530ddbfc1a,Apartment in Ampliación Granada,"Apartment Area Carso Polanco, Security, Pool & Gym",2 beds,$70 night$70 per night,https://www.airbnb.com/s/francisco-i-madero--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.445,-99.2029
