,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/52769833?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688434744_60FfeCajjctOmIgs&previous_page_section_name=1000&federated_search_id=031da032-40b5-427a-aef7-0f3bbd0170e0,Apartment in Polanco Reforma,B/Center+GYM+2 Rooftops+Fire Pit | Voguish Apt,1 king bed,"$98 $86 night$86 per night, originally $98",https://www.airbnb.com/s/granada--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4384,-99.192
1,/rooms/913061837410335828?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688434744_0N3ZtEpZLeFGAQgN&previous_page_section_name=1000&federated_search_id=031da032-40b5-427a-aef7-0f3bbd0170e0,Condo in Granada,Livix - 2BD 2BA w/parking,2 beds,$73 night$73 per night,https://www.airbnb.com/s/granada--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4412,-99.19562
2,/rooms/908713240458803665?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688434744_uj3JRLXv3n12QRwN&previous_page_section_name=1000&federated_search_id=031da032-40b5-427a-aef7-0f3bbd0170e0,Condo in Granada,"Polanco 1BR 4PAX, new, near museums",2 beds,"$81 $64 night$64 per night, originally $81",https://www.airbnb.com/s/granada--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4417,-99.1964
3,/rooms/582613820765323743?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688434744_pdEB1TMr0hM47%2B5F&previous_page_section_name=1000&federated_search_id=031da032-40b5-427a-aef7-0f3bbd0170e0,Condo in Granada,"Comfortable new POLANCO, amenities walking to museums",3 beds,"$97 $79 night$79 per night, originally $97",https://www.airbnb.com/s/granada--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4416,-99.1959
4,/rooms/52517431?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688434744_pUX3gSPpZe6WPH3M&previous_page_section_name=1000&federated_search_id=031da032-40b5-427a-aef7-0f3bbd0170e0,Condo in Polanco Reforma,Charming and great location,1 double bed,"$56 $49 night$49 per night, originally $56",https://www.airbnb.com/s/granada--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4376,-99.19437
5,/rooms/759695727449705142?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-15&check_out=2023-07-20&source_impression_id=p3_1688434744_L4s9mIUbqKjTvxpi&previous_page_section_name=1000&federated_search_id=031da032-40b5-427a-aef7-0f3bbd0170e0,Condo in Granada,"Cozy & located, walk polanco, security day & night",3 beds,"$83 $73 night$73 per night, originally $83",https://www.airbnb.com/s/granada--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44197,-99.19477
6,/rooms/51303220?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-22&check_out=2023-07-27&source_impression_id=p3_1688434744_DNDYz6p%2Fc9nBa004&previous_page_section_name=1000&federated_search_id=031da032-40b5-427a-aef7-0f3bbd0170e0,Condo in Polanco Reforma,"Apartment 2BR 2BA with Parking lot, Pool",4 beds,"$114 $81 night$81 per night, originally $114",https://www.airbnb.com/s/granada--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43899,-99.19886
7,/rooms/638374096435931264?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-23&source_impression_id=p3_1688434744_0ql1jdBzyTWOptWc&previous_page_section_name=1000&federated_search_id=031da032-40b5-427a-aef7-0f3bbd0170e0,Apartment in Granada,"Modern Studio, King BD, Top Amenities/New Polanco",2 beds,$91 night$91 per night,https://www.airbnb.com/s/granada--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44161,-99.19716
8,/rooms/562938508129162641?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688434744_6I5n0hjPv0vU45a0&previous_page_section_name=1000&federated_search_id=031da032-40b5-427a-aef7-0f3bbd0170e0,Apartment in Granada,Designer 2BR Urban Oasis,2 beds,$97 night$97 per night,https://www.airbnb.com/s/granada--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4421,-99.1998
9,/rooms/38725161?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688434744_L9gddwlsc%2BasHtri&previous_page_section_name=1000&federated_search_id=031da032-40b5-427a-aef7-0f3bbd0170e0,Apartment in Granada,Well-lit apartment located in Polanco limits,2 double beds,"$66 $55 night$55 per night, originally $66",https://www.airbnb.com/s/granada--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44188,-99.18529
