,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/893242456737004158?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688429842_329hgOWdvrG5h5DC&previous_page_section_name=1000&federated_search_id=9f6758ab-c949-4399-aac7-357214919c19,Apartment in Granjas México,Condominio cercano al Foro Sol,3 beds,$56 night$56 per night,https://www.airbnb.com/s/granjas-mexico-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3982,-99.1011
1,/rooms/785484771967062728?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688429842_tMutGkPCLWwwT5jV&previous_page_section_name=1000&federated_search_id=9f6758ab-c949-4399-aac7-357214919c19,Apartment in Granjas México,Nice apartment in Mexico City,2 beds,$45 night$45 per night,https://www.airbnb.com/s/granjas-mexico-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3983,-99.1058
2,/rooms/770332528689091785?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688429842_1zS3fV3%2Fu7i31Y1Y&previous_page_section_name=1000&federated_search_id=9f6758ab-c949-4399-aac7-357214919c19,Apartment in Mexico City,Beautiful apartment in Foro Sol y P De los depor,2 beds,"$53 $45 night$45 per night, originally $53",https://www.airbnb.com/s/granjas-mexico-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3987,-99.0906
3,/rooms/869012972423695142?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688429842_ynJJYLhf2jGBk%2BYL&previous_page_section_name=1000&federated_search_id=9f6758ab-c949-4399-aac7-357214919c19,Apartment in Granjas México,Departamento cercano al forosol y Palacio,3 beds,"$58 $47 night$47 per night, originally $58",https://www.airbnb.com/s/granjas-mexico-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39752362983367,-99.10003181506073
4,/rooms/46543182?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688429842_JwnK4RYJPcRsT7ZN&previous_page_section_name=1000&federated_search_id=9f6758ab-c949-4399-aac7-357214919c19,Apartment in Granjas México,Plutarco F205,2 double beds,$56 night$56 per night,https://www.airbnb.com/s/granjas-mexico-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3974,-99.1012
5,/rooms/552222760438370099?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688429842_b8blX6S52Oja%2FiQ3&previous_page_section_name=1000&federated_search_id=9f6758ab-c949-4399-aac7-357214919c19,Loft in Ignacio Zaragoza,Loft Autódromo Hermanos Rodríguez - CDMX Airport,1 double bed,$32 night$32 per night,https://www.airbnb.com/s/granjas-mexico-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41212,-99.09012
6,/rooms/717091021993454197?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-22&source_impression_id=p3_1688429842_1EK%2F4xCZyqlTpUbO&previous_page_section_name=1000&federated_search_id=9f6758ab-c949-4399-aac7-357214919c19,Condo in Mexico City,Nice apartment II near Foro Sol,3 beds,"$51 $45 night$45 per night, originally $51",https://www.airbnb.com/s/granjas-mexico-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4008,-99.09694
7,/rooms/52222774?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688429842_ZW%2Bs1Ye5tRly0e3Z&previous_page_section_name=1000&federated_search_id=9f6758ab-c949-4399-aac7-357214919c19,Condo in Granjas México,Departamento Nuevo 10 minutes from CDMX Airport,3 beds,$64 night$64 per night,https://www.airbnb.com/s/granjas-mexico-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3969,-99.10233
8,/rooms/552233920325144669?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-12&source_impression_id=p3_1688429842_%2BSr1CWom2lEFlsh%2B&previous_page_section_name=1000&federated_search_id=9f6758ab-c949-4399-aac7-357214919c19,Apartment in Ignacio Zaragoza,Autodromo Dept Hnos. Rodríguez- CDMX Airport,2 double beds,"$43 $38 night$38 per night, originally $43",https://www.airbnb.com/s/granjas-mexico-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41155,-99.09212
9,/rooms/50224079?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688429842_COMTLSmoa%2Fx5xq2Q&previous_page_section_name=1000&federated_search_id=9f6758ab-c949-4399-aac7-357214919c19,Condo in Mexico City,Departodromo,4 beds,$44 night$44 per night,https://www.airbnb.com/s/granjas-mexico-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40152,-99.09113
