,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/40491650?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688428279_HMx4lJC6BcVcaU8U&previous_page_section_name=1000&federated_search_id=837af72d-177c-488c-a2cb-69901f4d0eb9,Loft in Gustavo A Madero,Myloftmx Suite Maria Emilia,1 double bed,"5,919₽ night5,919₽ per night",https://www.airbnb.com/s/guadalupe-insurgentes--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.47696,-99.13372
1,/rooms/39225472?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1688428279_bG2Emy4lOBM8%2F%2BI3&previous_page_section_name=1000&federated_search_id=837af72d-177c-488c-a2cb-69901f4d0eb9,Loft in Mexico City,Loft Mexico City,2 beds,"5,150₽ night5,150₽ per night",https://www.airbnb.com/s/guadalupe-insurgentes--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4865,-99.1279
2,/rooms/692296327253670814?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-14&source_impression_id=p3_1688428279_XOxe5cYQIcWV6f%2F7&previous_page_section_name=1000&federated_search_id=837af72d-177c-488c-a2cb-69901f4d0eb9,Room in Mexico City,Spacious room north of Cdmx.,Stay with Leo,"1,326₽ night1,326₽ per night",https://www.airbnb.com/s/guadalupe-insurgentes--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.47552,-99.12798
3,/rooms/40347492?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688428279_YW5Dpia6u5xLP5Dq&previous_page_section_name=1000&federated_search_id=837af72d-177c-488c-a2cb-69901f4d0eb9,Apartment in Mexico City,Modern and cozy independent apartment,2 beds,"3,552₽ night3,552₽ per night",https://www.airbnb.com/s/guadalupe-insurgentes--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.47125,-99.12769
4,/rooms/903183926430759014?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1688428279_Lx3W3l%2Bnl%2F5XvNp0&previous_page_section_name=1000&federated_search_id=837af72d-177c-488c-a2cb-69901f4d0eb9,Guest suite in Mexico City,¡Suite Moderna y bien ubicada!,2 double beds,"4,520₽ night4,520₽ per night",https://www.airbnb.com/s/guadalupe-insurgentes--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4719,-99.1328
5,/rooms/833500323587410082?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688428279_X3svqFdDbgQhMtxp&previous_page_section_name=1000&federated_search_id=837af72d-177c-488c-a2cb-69901f4d0eb9,Apartment in Mexico City,Bimbas,5 beds,"7,983₽ night7,983₽ per night",https://www.airbnb.com/s/guadalupe-insurgentes--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.47729115302738,-99.13017536901694
6,/rooms/715856288057883575?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688428279_aa7XErH93GczNNOf&previous_page_section_name=1000&federated_search_id=837af72d-177c-488c-a2cb-69901f4d0eb9,Hotel in Mexico City,Private room with Jacuzzi in CDMX,1 king bed,"7,366₽ night7,366₽ per night",https://www.airbnb.com/s/guadalupe-insurgentes--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.47525,-99.13722
7,/rooms/44449617?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-13&source_impression_id=p3_1688428279_%2F%2F6acha9vaex6sDA&previous_page_section_name=1000&federated_search_id=837af72d-177c-488c-a2cb-69901f4d0eb9,Apartment in Mexico City,Mexico City cozy apartment w/balcony,2 beds,"4,690₽ night4,690₽ per night",https://www.airbnb.com/s/guadalupe-insurgentes--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.48998,-99.13254
8,/rooms/29521450?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688428279_d76b34oCbKvtuTLb&previous_page_section_name=1000&federated_search_id=837af72d-177c-488c-a2cb-69901f4d0eb9,Tiny home in Mexico City,Your home near the villa in Mexico City,2 double beds,"5,919₽ night5,919₽ per night",https://www.airbnb.com/s/guadalupe-insurgentes--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.48,-99.12142
9,/rooms/539392470452948953?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688428279_W2Z1kExfr2yRvHm%2B&previous_page_section_name=1000&federated_search_id=837af72d-177c-488c-a2cb-69901f4d0eb9,Condo in Mexico City,Nice and cozy apartment!!,1 bed,"3,001₽ night3,001₽ per night",https://www.airbnb.com/s/guadalupe-insurgentes--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.47092,-99.13192
