,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/47925138?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-19&check_out=2023-07-24&source_impression_id=p3_1688423064_KokgZBgleNwzqIUe&previous_page_section_name=1000&federated_search_id=f8b331f2-d38d-4ece-9a3a-cb679c53e05c,Apartment in Buenavista,Amazing view of Historic DTWN at comfy apartment,3 beds,$65 night$65 per night,https://www.airbnb.com/s/guerrero-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43731,-99.14926
1,/rooms/863028031103156804?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688423064_BQ3bHkmSLs4F3poB&previous_page_section_name=1000&federated_search_id=f8b331f2-d38d-4ece-9a3a-cb679c53e05c,Apartment in Nonoalco Tlatelolco,Amazing 1BR wView&Terrace,1 king bed,"$134 $114 night$114 per night, originally $134",https://www.airbnb.com/s/guerrero-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4472,-99.1356
2,/rooms/48845771?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-09&source_impression_id=p3_1688423064_zXg6nDejqvHpu4Nm&previous_page_section_name=1000&federated_search_id=f8b331f2-d38d-4ece-9a3a-cb679c53e05c,Hotel in Centro,Private room 15 minutes from Reforma and El Ángel,1 queen bed,"$58 $40 night$40 per night, originally $58",https://www.airbnb.com/s/guerrero-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4435,-99.13953
3,/rooms/18329759?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688423064_GLs4%2BjJJMNblw9Kx&previous_page_section_name=1000&federated_search_id=f8b331f2-d38d-4ece-9a3a-cb679c53e05c,Condo in Guerrero,Historical Center/Centro Histórico,2 beds,$29 night$29 per night,https://www.airbnb.com/s/guerrero-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44569,-99.13812
4,/rooms/18686760?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-05&check_out=2023-09-10&source_impression_id=p3_1688423064_BLD1GBkTBxW7A1EE&previous_page_section_name=1000&federated_search_id=f8b331f2-d38d-4ece-9a3a-cb679c53e05c,Apartment in Centro,Cool and cozy loft across National Museum of Art,2 beds,$67 night$67 per night,https://www.airbnb.com/s/guerrero-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.437,-99.1392
5,/rooms/33899616?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688423064_AjENj1ar9GcGmUE%2B&previous_page_section_name=1000&federated_search_id=f8b331f2-d38d-4ece-9a3a-cb679c53e05c,Apartment in Centro,Historic CDMX downtown apartment,1 queen bed,"$54 $38 night$38 per night, originally $54",https://www.airbnb.com/s/guerrero-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43877,-99.13454
6,/rooms/27904866?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688423064_PHIIVVwRvY2n%2F8a9&previous_page_section_name=1000&federated_search_id=f8b331f2-d38d-4ece-9a3a-cb679c53e05c,Apartment in Centro,Listing Entero : CDMX Center,1 bed,$48 night$48 per night,https://www.airbnb.com/s/guerrero-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43819,-99.13503
7,/rooms/742713215110117115?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-19&source_impression_id=p3_1688423064_Z3S4IjojsR%2F5qyLd&previous_page_section_name=1000&federated_search_id=f8b331f2-d38d-4ece-9a3a-cb679c53e05c,Loft in Centro,Beautiful loft with rooftop in the heart of Mexico City!,2 beds,"$58 $51 night$51 per night, originally $58",https://www.airbnb.com/s/guerrero-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4373,-99.1348
8,/rooms/873892522453300686?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-21&check_out=2023-07-26&source_impression_id=p3_1688423064_cRKXc9%2F85y3YRZ10&previous_page_section_name=1000&federated_search_id=f8b331f2-d38d-4ece-9a3a-cb679c53e05c,Apartment in Buenavista,Trendy Apartment in the Heart of CDMX,3 beds,"$73 $65 night$65 per night, originally $73",https://www.airbnb.com/s/guerrero-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.439330917277772,-99.1472712934955
9,/rooms/863053553795702468?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688423064_JACbrdIpdVaderWY&previous_page_section_name=1000&federated_search_id=f8b331f2-d38d-4ece-9a3a-cb679c53e05c,Condo in Nonoalco Tlatelolco,Breathtaking 2BR wTerrace,2 beds,"$153 $137 night$137 per night, originally $153",https://www.airbnb.com/s/guerrero-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4472,-99.1356
