,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/48845771?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-10&source_impression_id=p3_1688363313_gIIYhfbswBFzOIgP&previous_page_section_name=1000&federated_search_id=2c63f108-d197-4f29-b892-fba1a3851d89,Hotel in Centro,Private room 15 minutes from Reforma and El Ángel,1 queen bed,￥286 night￥286 per night,https://www.airbnb.com/s/guerrero-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4435,-99.13953
1,/rooms/18686760?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-23&check_out=2023-07-28&source_impression_id=p3_1688363313_YCqdPE4qUtwnvE9r&previous_page_section_name=1000&federated_search_id=2c63f108-d197-4f29-b892-fba1a3851d89,Apartment in Centro,Cool and cozy loft across National Museum of Art,2 beds,￥483 night￥483 per night,https://www.airbnb.com/s/guerrero-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.437,-99.1392
2,/rooms/18329759?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688363313_DYGVhuhR57B7d7iV&previous_page_section_name=1000&federated_search_id=2c63f108-d197-4f29-b892-fba1a3851d89,Condo in Guerrero,Historical Center/Centro Histórico,2 beds,￥247 night￥247 per night,https://www.airbnb.com/s/guerrero-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44569,-99.13812
3,/rooms/22546951?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688363313_yCvOcEDQ34WOP4U7&previous_page_section_name=1000&federated_search_id=2c63f108-d197-4f29-b892-fba1a3851d89,Apartment in Centro,Downtown ... be Chic! Pick up Service,1 bed,￥349 night￥349 per night,https://www.airbnb.com/s/guerrero-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.437,-99.1392
4,/rooms/891603494241053654?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688363313_u5SEbkaRTnDMoMHb&previous_page_section_name=1000&federated_search_id=2c63f108-d197-4f29-b892-fba1a3851d89,Apartment in Guerrero,Bonito departamento en la CDMX,1 bed,￥194 night￥194 per night,https://www.airbnb.com/s/guerrero-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.446348384300727,-99.13819434929017
5,/rooms/52225642?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-10&source_impression_id=p3_1688363313_%2BEr%2B8esOC11c4b1B&previous_page_section_name=1000&federated_search_id=2c63f108-d197-4f29-b892-fba1a3851d89,Condo in Guerrero,Studio Modern Suite Zona Centro de la CDMX,1 double bed,￥183 night￥183 per night,https://www.airbnb.com/s/guerrero-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44396,-99.14256
6,/rooms/plus/30063299?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688363313_wowRkw16QRn5UA84&previous_page_section_name=1000&federated_search_id=2c63f108-d197-4f29-b892-fba1a3851d89,Loft in Centro,Loft minimalista impecable. En pleno Centro Histórico.,1 queen bed,￥376 night￥376 per night,https://www.airbnb.com/s/guerrero-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43874,-99.13497
7,/rooms/48016906?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688363313_2LFvNXSBOlH00Yz4&previous_page_section_name=1000&federated_search_id=2c63f108-d197-4f29-b892-fba1a3851d89,Apartment in Centro,Incredible View in the Downtown CP 606,1 queen bed,￥374 night￥374 per night,https://www.airbnb.com/s/guerrero-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43762,-99.13582
8,/rooms/33899616?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688363313_q1FQ4I6v0v0jYl2%2F&previous_page_section_name=1000&federated_search_id=2c63f108-d197-4f29-b892-fba1a3851d89,Apartment in Centro,Historic CDMX downtown apartment,1 queen bed,￥363 night￥363 per night,https://www.airbnb.com/s/guerrero-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43877,-99.13454
9,/rooms/7024365?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-23&source_impression_id=p3_1688363313_YFKp7MdIteEFFv3r&previous_page_section_name=1000&federated_search_id=2c63f108-d197-4f29-b892-fba1a3851d89,Loft in Centro,Great Loft Location,1 queen bed,￥339 night￥339 per night,https://www.airbnb.com/s/guerrero-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4369,-99.1393
10,/rooms/863028031103156804?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-10&source_impression_id=p3_1688363313_8FEoI7%2BCYWTiKRSY&previous_page_section_name=1000&federated_search_id=2c63f108-d197-4f29-b892-fba1a3851d89,Apartment in Nonoalco Tlatelolco,Amazing 1BR wView&Terrace,1 king bed,"￥1,113 night￥1,113 per night",https://www.airbnb.com/s/guerrero-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4472,-99.1356
