,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/53734762?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-15&check_out=2023-07-20&source_impression_id=p3_1688481417_cFd4XC68vWFjXp%2Bj&previous_page_section_name=1000&federated_search_id=241b1b31-cb94-4b8c-8efc-2a0e61abada5,Loft in Mexico City,Beautiful suite with independent entrance,2 beds,$73 night$73 per night,https://www.airbnb.com/s/huichapan--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.26656,-99.13413
1,/rooms/38289144?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688481417_kC%2Felmx8Bt%2BxociF&previous_page_section_name=1000&federated_search_id=241b1b31-cb94-4b8c-8efc-2a0e61abada5,Room in Mexico City,Lovely room in Xochimilco.,Stay with Abraham,$12 night$12 per night,https://www.airbnb.com/s/huichapan--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.26045,-99.11827
2,/rooms/9472523?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-23&check_out=2023-07-28&source_impression_id=p3_1688481417_BnLCAj61GHlZW9qv&previous_page_section_name=1000&federated_search_id=241b1b31-cb94-4b8c-8efc-2a0e61abada5,Condo in Mexico City,Apartment in Tepepan,1 bed,$16 night$16 per night,https://www.airbnb.com/s/huichapan--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.26691,-99.12841
3,/rooms/36668508?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-11&check_out=2023-07-16&source_impression_id=p3_1688481417_xp%2B%2BtYVzJXGJU06Q&previous_page_section_name=1000&federated_search_id=241b1b31-cb94-4b8c-8efc-2a0e61abada5,Apartment in Mexico City,The corner of Xochimilco,2 beds,$32 night$32 per night,https://www.airbnb.com/s/huichapan--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.25934,-99.10517
4,/rooms/775609160978123903?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688481417_8Ejz3vBNhXX8J87g&previous_page_section_name=1000&federated_search_id=241b1b31-cb94-4b8c-8efc-2a0e61abada5,Home in Mexico City,Quinta el mirador,6 beds,$70 night$70 per night,https://www.airbnb.com/s/huichapan--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.26381,-99.13002
5,/rooms/46759305?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688481417_6Jd9NmShBt0lZY4w&previous_page_section_name=1000&federated_search_id=241b1b31-cb94-4b8c-8efc-2a0e61abada5,Hut in Mexico City,Cabin in Xochimilco Lake,1 double bed,$64 night$64 per night,https://www.airbnb.com/s/huichapan--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.27184,-99.10527
6,/rooms/871744290109343205?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688481417_zHrkoEQ8x7bwE998&previous_page_section_name=1000&federated_search_id=241b1b31-cb94-4b8c-8efc-2a0e61abada5,Room in Mexico City,Stay with Carlos,Stay with Carlos,$17 night$17 per night,https://www.airbnb.com/s/huichapan--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.2649,-99.1134
7,/rooms/883563365115566951?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688481417_SOZttUZXkAOl7dul&previous_page_section_name=1000&federated_search_id=241b1b31-cb94-4b8c-8efc-2a0e61abada5,Guest suite in Mexico City,Estudio tranquilo ubicado.,1 bed,$16 night$16 per night,https://www.airbnb.com/s/huichapan--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.2654,-99.1135
8,/rooms/33505371?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-21&source_impression_id=p3_1688481417_QIL0kFU%2Fq%2BDcEYjs&previous_page_section_name=1000&federated_search_id=241b1b31-cb94-4b8c-8efc-2a0e61abada5,Home in Mexico City,CASA/SUR/COAPA/CDMX/FAMILY/HOSPITALES/UNAM/TEC.,3 double beds,$45 night$45 per night,https://www.airbnb.com/s/huichapan--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.28962,-99.12127
9,/rooms/35088509?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688481417_iVF1Ou%2Fc1hbtpcPk&previous_page_section_name=1000&federated_search_id=241b1b31-cb94-4b8c-8efc-2a0e61abada5,Room in Mexico City,A nice space between letters.  Welcome!,Stay with Amalia,$23 night$23 per night,https://www.airbnb.com/s/huichapan--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.27566,-99.12372
