,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/776948572883591007?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-17&source_impression_id=p3_1688457757_Pgps5KB6bcygn3YP&previous_page_section_name=1000&federated_search_id=2fb2d6fd-cf8b-4e53-a3cf-d27b63299ed6,Apartment in Mexico City,Beautiful entire home,2 beds,$34 night$34 per night,https://www.airbnb.com/s/independencia--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3795,-99.1479
1,/rooms/918711226807785555?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688457757_zwdmuY85ZX7RIdrO&previous_page_section_name=1000&federated_search_id=2fb2d6fd-cf8b-4e53-a3cf-d27b63299ed6,Apartment in Mexico City,B EDZ501 Depto Completo en Eje Central y Eugenia,1 bed,$17 night$17 per night,https://www.airbnb.com/s/independencia--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38121,-99.14859
2,/rooms/16810047?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-20&check_out=2023-07-25&source_impression_id=p3_1688457757_BCV%2F3uSKGg9DdZmr&previous_page_section_name=1000&federated_search_id=2fb2d6fd-cf8b-4e53-a3cf-d27b63299ed6,Condo in Mexico City,"Modern apartment, very well located",2 beds,$70 night$70 per night,https://www.airbnb.com/s/independencia--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37726,-99.15256
3,/rooms/805767576897937507?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-16&source_impression_id=p3_1688457757_TKA6GrhGAhNLZQ5S&previous_page_section_name=1000&federated_search_id=2fb2d6fd-cf8b-4e53-a3cf-d27b63299ed6,Apartment in Mexico City,apartment with balcony.,3 beds,$50 night$50 per night,https://www.airbnb.com/s/independencia--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37895,-99.15196
4,/rooms/907923269536399559?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688457757_HS4SkqjpKQnc60S1&previous_page_section_name=1000&federated_search_id=2fb2d6fd-cf8b-4e53-a3cf-d27b63299ed6,Apartment in Mexico City,Cómodo y céntrico departamento en Ciudad de México,2 beds,$26 night$26 per night,https://www.airbnb.com/s/independencia--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37830516628744,-99.15002555118423
5,/rooms/44282152?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688457757_sIRDETdUcJuRMAoj&previous_page_section_name=1000&federated_search_id=2fb2d6fd-cf8b-4e53-a3cf-d27b63299ed6,Condo in Mexico City,Inmejorable PH de 2 récamaras con excelente vista,1 queen bed,$59 night$59 per night,https://www.airbnb.com/s/independencia--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3812,-99.1502
6,/rooms/25972311?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688457757_WwzcsdbKYDCDaSRW&previous_page_section_name=1000&federated_search_id=2fb2d6fd-cf8b-4e53-a3cf-d27b63299ed6,Apartment in Mexico City,"Cool & Luxury Apartment, CDMX",2 beds,$51 night$51 per night,https://www.airbnb.com/s/independencia--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3838,-99.1448
7,/rooms/805944050218271712?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-16&source_impression_id=p3_1688457757_xtlzpcueqyZaSWxE&previous_page_section_name=1000&federated_search_id=2fb2d6fd-cf8b-4e53-a3cf-d27b63299ed6,Apartment in Mexico City,spacious and beautiful studio.,1 queen bed,$35 night$35 per night,https://www.airbnb.com/s/independencia--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37899237158651,-99.15149084936391
8,/rooms/907925595531227259?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688457757_33Z%2BKKj6NU17hfYI&previous_page_section_name=1000&federated_search_id=2fb2d6fd-cf8b-4e53-a3cf-d27b63299ed6,Home in Mexico City,"Narvarte105: 3BR Pool House Oasis, Near Roma Sur",4 beds,$299 night$299 per night,https://www.airbnb.com/s/independencia--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3833,-99.1509
9,/rooms/22826430?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-21&source_impression_id=p3_1688457757_Pe%2FacZU%2BtCULJWje&previous_page_section_name=1000&federated_search_id=2fb2d6fd-cf8b-4e53-a3cf-d27b63299ed6,Apartment in Mexico City,Vintage Apartment,3 beds,$38 night$38 per night,https://www.airbnb.com/s/independencia--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3741,-99.14618
