,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/23077381?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688458210_bHUDD0miOc0hRJDd&previous_page_section_name=1000&federated_search_id=dbfce2f7-7bc6-4bfc-b845-52be1887b3f2,Condo in Mexico City,LUXURIOUS APARTMENT w/amazing view in Insurgentes,1 king bed,$79 night$79 per night,https://www.airbnb.com/s/insurgentes-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36887,-99.18073
1,/rooms/plus/21503313?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-24&check_out=2023-07-29&source_impression_id=p3_1688458210_nDn95YGdTwscKq3C&previous_page_section_name=1000&federated_search_id=dbfce2f7-7bc6-4bfc-b845-52be1887b3f2,Condo in Mexico City,Apartamento Precioso y Nuevo. Impecable. Llegada autónoma. Junto a Torre Manacar,1 king bed,$81 night$81 per night,https://www.airbnb.com/s/insurgentes-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36919,-99.18134
2,/rooms/48465400?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688458210_ZWEReF657TvCvVCS&previous_page_section_name=1000&federated_search_id=dbfce2f7-7bc6-4bfc-b845-52be1887b3f2,Apartment in Mexico City,PREMIUM APARTMENT AT MANACAR INSURGENTES!!!,2 beds,$86 night$86 per night,https://www.airbnb.com/s/insurgentes-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37076,-99.17963
3,/rooms/563166273989919480?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688458210_8ztNGMJf8oVg5mkp&previous_page_section_name=1000&federated_search_id=dbfce2f7-7bc6-4bfc-b845-52be1887b3f2,Condo in Mexico City,Beautiful Chic apartment with pool and gym,3 beds,"$85 $73 night$73 per night, originally $85",https://www.airbnb.com/s/insurgentes-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37286,-99.18663
4,/rooms/52388382?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-13&source_impression_id=p3_1688458210_IrMTEfH1aalwpUMH&previous_page_section_name=1000&federated_search_id=dbfce2f7-7bc6-4bfc-b845-52be1887b3f2,Loft in Mexico City,Luxurious minimalist apartment with an excellent location.,1 double bed,$37 night$37 per night,https://www.airbnb.com/s/insurgentes-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36923,-99.18498
5,/rooms/21111804?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688458210_LAFoUX1LMHTU1j6U&previous_page_section_name=1000&federated_search_id=dbfce2f7-7bc6-4bfc-b845-52be1887b3f2,Place to stay in Mexico City,"Luxury room, spacious, with private bathroom",2 beds,$47 night$47 per night,https://www.airbnb.com/s/insurgentes-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3686,-99.1836
6,/rooms/39884286?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-28&check_out=2023-08-04&source_impression_id=p3_1688458210_RE%2BzP215o%2BB%2B9niX&previous_page_section_name=1000&federated_search_id=dbfce2f7-7bc6-4bfc-b845-52be1887b3f2,Loft in Mexico City,Loft Cielo Insurgentes (Domain Tower),1 queen bed,$74 night$74 per night,https://www.airbnb.com/s/insurgentes-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36916,-99.18084
7,/rooms/47890844?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688458210_7qa6zyPEvcO%2BGh%2FO&previous_page_section_name=1000&federated_search_id=dbfce2f7-7bc6-4bfc-b845-52be1887b3f2,Home in Mexico City,☼CasaVintageW☼Luxury🕶 ⛍3Parking🎞NETFLIX🎜Alexas✓,7 beds,"$243 $134 night$134 per night, originally $243",https://www.airbnb.com/s/insurgentes-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36898,-99.18647
8,/rooms/53234192?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-21&check_out=2023-07-26&source_impression_id=p3_1688458210_P7P2R9ZriapodR0K&previous_page_section_name=1000&federated_search_id=dbfce2f7-7bc6-4bfc-b845-52be1887b3f2,Condo in Mexico City,Moderno y acogedor departamento de lujo 4 pax CDMX,2 queen beds,$75 night$75 per night,https://www.airbnb.com/s/insurgentes-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37045,-99.17961
9,/rooms/51715754?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-29&check_out=2023-09-03&source_impression_id=p3_1688458210_LnWNn%2BXuT0koGCpf&previous_page_section_name=1000&federated_search_id=dbfce2f7-7bc6-4bfc-b845-52be1887b3f2,Condo in Mexico City,Modern and comfortable depa super located!,2 beds,$76 night$76 per night,https://www.airbnb.com/s/insurgentes-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37247,-99.18518
10,/rooms/50854295?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688458210_eX3psIS%2Bvn5jfR%2Fe&previous_page_section_name=1000&federated_search_id=dbfce2f7-7bc6-4bfc-b845-52be1887b3f2,Apartment in Mexico City,Beautiful apartment  near Manacar Square.,2 beds,$64 night$64 per night,https://www.airbnb.com/s/insurgentes-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3691,-99.1882
11,/rooms/49467392?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688458210_bvT0LCSV5L3wDSUB&previous_page_section_name=1000&federated_search_id=dbfce2f7-7bc6-4bfc-b845-52be1887b3f2,Loft in Mexico City,Loft-style apartment in office and hospitals area,2 beds,$28 night$28 per night,https://www.airbnb.com/s/insurgentes-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3652,-99.1766
12,/rooms/857517302108517717?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688458210_GQZ8PceZxjB1M899&previous_page_section_name=1000&federated_search_id=dbfce2f7-7bc6-4bfc-b845-52be1887b3f2,Apartment in Mexico City,"501B - Modern, centric & cozy 2BR flat",2 queen beds,"$85 $68 night$68 per night, originally $85",https://www.airbnb.com/s/insurgentes-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37422890743669,-99.1830578882013
13,/rooms/9975837?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688458210_DOIG5Ki5SDF0laot&previous_page_section_name=1000&federated_search_id=dbfce2f7-7bc6-4bfc-b845-52be1887b3f2,Room in Mexico City,The palm house,Stay with Mildred Sabine,$25 night$25 per night,https://www.airbnb.com/s/insurgentes-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36813,-99.18757
14,/rooms/9988410?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688458210_xeLw73ZXH88Mm1r9&previous_page_section_name=1000&federated_search_id=dbfce2f7-7bc6-4bfc-b845-52be1887b3f2,Home in San Juan,19th Century House Garden Studio,1 queen bed,$63 night$63 per night,https://www.airbnb.com/s/insurgentes-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37758,-99.18654
15,/rooms/872736689826189632?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-12&source_impression_id=p3_1688458210_cONBWrzRMCiRMKvX&previous_page_section_name=1000&federated_search_id=dbfce2f7-7bc6-4bfc-b845-52be1887b3f2,Apartment in Mexico City,401A - Increible depto a pasos de la UP,1 queen bed,"$50 $45 night$45 per night, originally $50",https://www.airbnb.com/s/insurgentes-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.375155547599352,-99.18082261885091
16,/rooms/54180993?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-25&check_out=2023-07-30&source_impression_id=p3_1688458210_GS4ENzPhzvyRtrHo&previous_page_section_name=1000&federated_search_id=dbfce2f7-7bc6-4bfc-b845-52be1887b3f2,Apartment in Mexico City,Damas5·Damas Peacefull Cozy&Business 1Bdr Apt,2 beds,$35 night$35 per night,https://www.airbnb.com/s/insurgentes-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36375,-99.18327
17,/rooms/1429120?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1688458210_2587b4ixA%2F9Dr1LV&previous_page_section_name=1000&federated_search_id=dbfce2f7-7bc6-4bfc-b845-52be1887b3f2,Room in Mexico City,Great location & security single bedroom Apartment,Stay with Jose,$18 night$18 per night,https://www.airbnb.com/s/insurgentes-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36926,-99.1804
18,/rooms/38101573?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-13&source_impression_id=p3_1688458241_6xjLd2LQ4Br8hvyM&previous_page_section_name=1000&federated_search_id=64edb8f3-1982-4a0f-9c07-23d58c00e8e3,Apartment in Mexico City,Del Valle Moderno and Hermoso Apartment,1 bed,$50 night$50 per night,https://www.airbnb.com/s/insurgentes-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.37179,-99.17364
