,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/924063261882574566?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688409675_%2FWfddtQrBrxptcoU&previous_page_section_name=1000&federated_search_id=38334815-2c47-4d31-9c7b-805bf026ca11,Apartment in Mexico City,Cómodo Depto cerca  Aeropuerto,2 beds,"€ 144 € 122 night€ 122 per night, originally € 144 · € 732 total€ 732 totalShow price breakdown",https://www.airbnb.com/s/janitzio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44127363717615,-99.10914060224182
1,/rooms/35938221?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-23&source_impression_id=p3_1688409675_5ebkCQMdfqo8of3C&previous_page_section_name=1000&federated_search_id=38334815-2c47-4d31-9c7b-805bf026ca11,Loft in Mexico City,"2 private mini loft, airport 15 minutes.",1 double bed,€ 33 night€ 33 per night · € 162 total€ 162 totalShow price breakdown,https://www.airbnb.com/s/janitzio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44176,-99.11212
2,/rooms/47965211?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688409675_gYw3BA85uP9%2FDNEx&previous_page_section_name=1000&federated_search_id=38334815-2c47-4d31-9c7b-805bf026ca11,Room in Mexico City,Room near Airport in Shared Apartment,Stay with Edgar Iván,€ 28 night€ 28 per night · € 138 total€ 138 totalShow price breakdown,https://www.airbnb.com/s/janitzio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44711,-99.10481
3,/rooms/628260822530581620?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688409675_JC8MSJly%2BNhCcvY%2F&previous_page_section_name=1000&federated_search_id=38334815-2c47-4d31-9c7b-805bf026ca11,Condo in Mexico City,Beautiful apartment near Reforma,2 queen beds,€ 44 night€ 44 per night · € 220 total€ 220 totalShow price breakdown,https://www.airbnb.com/s/janitzio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45048,-99.12491
4,/rooms/878557108463556577?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688409675_cGqstajlImQHr7Nv&previous_page_section_name=1000&federated_search_id=38334815-2c47-4d31-9c7b-805bf026ca11,Guest suite in Mexico City,Habitación de descanso a 10 min aeropuerto,1 bed,€ 25 night€ 25 per night · € 123 total€ 123 totalShow price breakdown,https://www.airbnb.com/s/janitzio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.453962670771123,-99.11318652607636
5,/rooms/892279381047894851?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-11&source_impression_id=p3_1688409675_YfXX2ATmQwnr0B95&previous_page_section_name=1000&federated_search_id=38334815-2c47-4d31-9c7b-805bf026ca11,Apartment in Mexico City,Near & cheap to AICM & foro sol & zócalo,2 beds,€ 45 night€ 45 per night · € 266 total€ 266 totalShow price breakdown,https://www.airbnb.com/s/janitzio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4475,-99.1039
6,/rooms/52756025?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-30&check_out=2023-08-05&source_impression_id=p3_1688409675_t%2F29Xkk32Lm%2Fk5Xq&previous_page_section_name=1000&federated_search_id=38334815-2c47-4d31-9c7b-805bf026ca11,Condo in Mexico City,Convenient downtown apartment for long stays,2 beds,€ 45 night€ 45 per night · € 266 total€ 266 totalShow price breakdown,https://www.airbnb.com/s/janitzio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45548,-99.12285
7,/rooms/48552745?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688409675_gker5Uc73A0NZz%2B1&previous_page_section_name=1000&federated_search_id=38334815-2c47-4d31-9c7b-805bf026ca11,Condo in Mexico City,Modern Entero De Luxury Apartment Extra Equipped,2 double beds,€ 60 night€ 60 per night · € 300 total€ 300 totalShow price breakdown,https://www.airbnb.com/s/janitzio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46673,-99.11685
8,/rooms/46065532?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-22&check_out=2023-07-27&source_impression_id=p3_1688409675_zKyuULTxWfouCP%2Fa&previous_page_section_name=1000&federated_search_id=38334815-2c47-4d31-9c7b-805bf026ca11,Condo in Mexico City,Cozy Tepeyac stay centrally located,5 beds,€ 97 night€ 97 per night · € 482 total€ 482 totalShow price breakdown,https://www.airbnb.com/s/janitzio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46343,-99.1208
9,/rooms/661583228816914412?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688409675_maGf%2BNhjSyPU%2BL2O&previous_page_section_name=1000&federated_search_id=38334815-2c47-4d31-9c7b-805bf026ca11,Loft in Mexico City,* Luxury Loft with Jacuzzi near Airport,2 beds,€ 94 night€ 94 per night · € 468 total€ 468 totalShow price breakdown,https://www.airbnb.com/s/janitzio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4452,-99.0889
