,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/582524837040516245?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688450482_8npTVsITDrrIciw7&previous_page_section_name=1000&federated_search_id=17cfc544-ca7e-46ad-8351-b584e3fbe9ee,Condo in Mexico City,"Increíble departamento !!
céntrico!
 3 recamaras",3 beds,"$51 $43 night$43 per night, originally $51",https://www.airbnb.com/s/josefa-ortiz-de-dominguez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38689,-99.14126
1,/rooms/522522237236263754?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688450482_UO5md2vTFOtztgXO&previous_page_section_name=1000&federated_search_id=17cfc544-ca7e-46ad-8351-b584e3fbe9ee,Loft in Mexico City,Roof top with BBQ ideal for couples or alone,1 queen bed,$31 night$31 per night,https://www.airbnb.com/s/josefa-ortiz-de-dominguez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38801,-99.1431
2,/rooms/48040960?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688450482_qkSPc0Rmuw7k8MWg&previous_page_section_name=1000&federated_search_id=17cfc544-ca7e-46ad-8351-b584e3fbe9ee,Hotel in Mexico City,Room a few steps from the Villa de Cortés metro,1 bed,$41 night$41 per night,https://www.airbnb.com/s/josefa-ortiz-de-dominguez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3882,-99.1391
3,/rooms/910917088536890245?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-12&source_impression_id=p3_1688450482_aFWLMmKmckqX9%2FQb&previous_page_section_name=1000&federated_search_id=17cfc544-ca7e-46ad-8351-b584e3fbe9ee,Apartment in Mexico City,Céntrico dpto. en CDMX,4 beds,"$70 $56 night$56 per night, originally $70",https://www.airbnb.com/s/josefa-ortiz-de-dominguez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3888,-99.1421
4,/rooms/48602647?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-15&source_impression_id=p3_1688450482_r0AyNLxtbBasRwSF&previous_page_section_name=1000&federated_search_id=17cfc544-ca7e-46ad-8351-b584e3fbe9ee,Condo in De Cortés,Centrally located & Confortable Apartment,2 beds,"$44 $32 night$32 per night, originally $44",https://www.airbnb.com/s/josefa-ortiz-de-dominguez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38804,-99.13689
5,/rooms/21931082?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-28&check_out=2023-08-02&source_impression_id=p3_1688450482_15CzEDCL0BP433RS&previous_page_section_name=1000&federated_search_id=17cfc544-ca7e-46ad-8351-b584e3fbe9ee,Apartment in Niños Héroes,★ CDMX NEW ALL YOURS★  | NEAR HISTORIC DTWN |,4 beds,"$54 $42 night$42 per night, originally $54",https://www.airbnb.com/s/josefa-ortiz-de-dominguez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38648,-99.14353
6,/rooms/549987500279619278?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688450482_%2BWDHUTh2hUJDd799&previous_page_section_name=1000&federated_search_id=17cfc544-ca7e-46ad-8351-b584e3fbe9ee,Apartment in Niños Héroes,2 REC 2 BA-Centric-All Amenities 2 Cars,3 beds,$40 night$40 per night,https://www.airbnb.com/s/josefa-ortiz-de-dominguez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38619,-99.14345
7,/rooms/27330161?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-11&check_out=2023-07-16&source_impression_id=p3_1688450482_kFdDfB8uvsgmgdFz&previous_page_section_name=1000&federated_search_id=17cfc544-ca7e-46ad-8351-b584e3fbe9ee,Home in Mexico City,Cozy and nice house,3 beds,$50 night$50 per night,https://www.airbnb.com/s/josefa-ortiz-de-dominguez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3892,-99.1375
8,/rooms/47116910?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688450482_inxYvdyShcTClPrK&previous_page_section_name=1000&federated_search_id=17cfc544-ca7e-46ad-8351-b584e3fbe9ee,Hotel in Mexico City,Comfortable room near the Historic Center,2 beds,$47 night$47 per night,https://www.airbnb.com/s/josefa-ortiz-de-dominguez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3882,-99.1391
9,/rooms/36948660?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688450482_siEP1nchvtJBCy%2BL&previous_page_section_name=1000&federated_search_id=17cfc544-ca7e-46ad-8351-b584e3fbe9ee,Apartment in Mexico City,"Bright, cozy and central studio apartment",1 double bed,$34 night$34 per night,https://www.airbnb.com/s/josefa-ortiz-de-dominguez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3901,-99.138
10,/rooms/25972311?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688450482_Z1gl8u%2BZnZF7K2j5&previous_page_section_name=1000&federated_search_id=17cfc544-ca7e-46ad-8351-b584e3fbe9ee,Apartment in Mexico City,"Cool & Luxury Apartment, CDMX",2 beds,$51 night$51 per night,https://www.airbnb.com/s/josefa-ortiz-de-dominguez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3838,-99.1448
