,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/plus/18249220?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688440762_50RTA%2FBW4XCr0CA0&previous_page_section_name=1000&federated_search_id=2a794914-e880-436b-9f6c-5fa650eb94a0,Apartment in Juárez,Comfort Ideal. Extremely located,1 queen bed,"$111 $79 night$79 per night, originally $111",https://www.airbnb.com/s/juarez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4253,-99.1676
1,/rooms/48646341?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688440762_hbjp0vew9Aojx1av&previous_page_section_name=1000&federated_search_id=2a794914-e880-436b-9f6c-5fa650eb94a0,Loft in Juárez,"Loft for Two in Col. Juarez, CDMX: Modern and Cozy",1 queen bed,$71 night$71 per night,https://www.airbnb.com/s/juarez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42541,-99.16027
2,/rooms/602383882831515007?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688440762_GyB9KVFY4k4omX97&previous_page_section_name=1000&federated_search_id=2a794914-e880-436b-9f6c-5fa650eb94a0,Condo in Mexico City,Breathtaking panoramic views + King Size Bed Apt,1 king bed,"$199 $127 night$127 per night, originally $199",https://www.airbnb.com/s/juarez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42169,-99.16614
3,/rooms/54326367?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688440762_v6rRdc6dxU1VAxqo&previous_page_section_name=1000&federated_search_id=2a794914-e880-436b-9f6c-5fa650eb94a0,Condo in Juárez,Super well located cozy condo w/balcony >WiFi 60mb,2 beds,"$78 $71 night$71 per night, originally $78",https://www.airbnb.com/s/juarez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4274,-99.1637
4,/rooms/724761543365992307?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688440762_iNn%2FOeuNduG995BY&previous_page_section_name=1000&federated_search_id=2a794914-e880-436b-9f6c-5fa650eb94a0,Apartment in Mexico City,Sonder Cielo | Superior Studio Apt w/ Balcony,2 beds,$86 night$86 per night,https://www.airbnb.com/s/juarez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42175,-99.16489
5,/rooms/811166496090819647?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-13&source_impression_id=p3_1688440762_m7WAB%2BVGsNTXcQdY&previous_page_section_name=1000&federated_search_id=2a794914-e880-436b-9f6c-5fa650eb94a0,Apartment in Juárez,Modern 1-Bedroom Flat With Unbeatable Location!,1 king bed,"$93 $83 night$83 per night, originally $93",https://www.airbnb.com/s/juarez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.424,-99.1681
6,/rooms/51577348?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688440762_rQRASryLHM%2F5KUY8&previous_page_section_name=1000&federated_search_id=2a794914-e880-436b-9f6c-5fa650eb94a0,Apartment in Mexico City,Grand 1BR Retreat,1 king bed,$124 night$124 per night,https://www.airbnb.com/s/juarez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4278,-99.1646
7,/rooms/54324590?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-14&source_impression_id=p3_1688440762_Ftp6lUxgtsDFvkE2&previous_page_section_name=1000&federated_search_id=2a794914-e880-436b-9f6c-5fa650eb94a0,Apartment in Juárez,Apartment with private patio. Reforma-Juárez,2 beds,"$87 $80 night$80 per night, originally $87",https://www.airbnb.com/s/juarez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42823,-99.15986
8,/rooms/848567380201682073?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688440762_2rckK01PvLoJ7XIY&previous_page_section_name=1000&federated_search_id=2a794914-e880-436b-9f6c-5fa650eb94a0,Apartment in Mexico City,New Marvelous 1BR wGYM|Pool,1 king bed,"$87 $79 night$79 per night, originally $87",https://www.airbnb.com/s/juarez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4278,-99.1646
9,/rooms/923549739671760837?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688440762_L4dm%2BLXioEFDrL6P&previous_page_section_name=1000&federated_search_id=2a794914-e880-436b-9f6c-5fa650eb94a0,Apartment in Mexico City,Fancy place close to downtown Reforma Angel statue,2 queen beds,$99 night$99 per night,https://www.airbnb.com/s/juarez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4299,-99.1692
10,/rooms/17907995?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688440762_R3fKZL5ECZezrGDF&previous_page_section_name=1000&federated_search_id=2a794914-e880-436b-9f6c-5fa650eb94a0,Condo in Juárez,Cozy Suite with Services,1 double bed,$67 night$67 per night,https://www.airbnb.com/s/juarez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42762,-99.15229
11,/rooms/38105432?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688440762_EbniYGiLax9EJ3ZV&previous_page_section_name=1000&federated_search_id=2a794914-e880-436b-9f6c-5fa650eb94a0,Loft in Juárez,Elegant Loft Next to Reforma. Excellent Location!,1 queen bed,"$65 $52 night$52 per night, originally $65",https://www.airbnb.com/s/juarez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4285,-99.16503
12,/rooms/50047448?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688440762_Rf%2BnCHrPAkS6N5L9&previous_page_section_name=1000&federated_search_id=2a794914-e880-436b-9f6c-5fa650eb94a0,Loft in Juárez,"Luxurious Suite,  The hidden gem!!",1 queen bed,$115 night$115 per night,https://www.airbnb.com/s/juarez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42255,-99.16885
13,/rooms/26357695?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688440762_IAfw%2BjxPhDr4N22f&previous_page_section_name=1000&federated_search_id=2a794914-e880-436b-9f6c-5fa650eb94a0,Apartment in Juárez,Architecture award winning studio - La Juárez CDMX,1 bed,$67 night$67 per night,https://www.airbnb.com/s/juarez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42444,-99.1606
14,/rooms/47033194?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688440762_ows0%2F6Omeuu29blS&previous_page_section_name=1000&federated_search_id=2a794914-e880-436b-9f6c-5fa650eb94a0,Apartment in Mexico City,Bright and modern 1BD a block away from Reforma.,1 double bed,"$84 $62 night$62 per night, originally $84",https://www.airbnb.com/s/juarez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4292,-99.16613
