,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/51998578?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688431419_Qg65pBmdJ5n42phD&previous_page_section_name=1000&federated_search_id=67536696-4697-4904-ba25-cfd9a43f62cd,Tiny home in Mexico City,Apartment near Foro Sol,1 bed,"¥ 5,021 night¥ 5,021 per night",https://www.airbnb.com/s/juventino-rosas-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.392679901878495,-99.11125250574517
1,/rooms/754427763499161417?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-01&check_out=2023-08-06&source_impression_id=p3_1688431419_fGFSTmAPOgyxnYMz&previous_page_section_name=1000&federated_search_id=67536696-4697-4904-ba25-cfd9a43f62cd,Condo in Mexico City,"2 Beautiful Apartment 2 bedrooms, bathroom and garage",2 beds,"¥ 5,855 night¥ 5,855 per night",https://www.airbnb.com/s/juventino-rosas-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.392,-99.1056
2,/rooms/785484771967062728?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688431419_8QpwbRI7WX9u3tCP&previous_page_section_name=1000&federated_search_id=67536696-4697-4904-ba25-cfd9a43f62cd,Apartment in Granjas México,Nice apartment in Mexico City,2 beds,"¥ 7,442 night¥ 7,442 per night",https://www.airbnb.com/s/juventino-rosas-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3983,-99.1058
3,/rooms/51486729?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688431419_%2Frs%2F%2FteWF4n95pb8&previous_page_section_name=1000&federated_search_id=67536696-4697-4904-ba25-cfd9a43f62cd,Room in Mexico City,Cozy apartment,Stay with Pamela,"¥ 4,683 night¥ 4,683 per night",https://www.airbnb.com/s/juventino-rosas-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39316,-99.1042
4,/rooms/869012972423695142?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688431419_wP3aAMuKTYYFxei5&previous_page_section_name=1000&federated_search_id=67536696-4697-4904-ba25-cfd9a43f62cd,Apartment in Granjas México,Departamento cercano al forosol y Palacio,3 beds,"¥ 9,501 ¥ 7,845 night¥ 7,845 per night, originally ¥ 9,501",https://www.airbnb.com/s/juventino-rosas-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39752362983367,-99.10003181506073
5,/rooms/46543182?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688431419_UMhbDKzx5Xq0GeH%2B&previous_page_section_name=1000&federated_search_id=67536696-4697-4904-ba25-cfd9a43f62cd,Apartment in Granjas México,Plutarco F205,2 double beds,"¥ 9,232 night¥ 9,232 per night",https://www.airbnb.com/s/juventino-rosas-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3974,-99.1012
6,/rooms/766796055262801578?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-02&check_out=2023-08-07&source_impression_id=p3_1688431419_a9zmaXPimDRzgWqU&previous_page_section_name=1000&federated_search_id=67536696-4697-4904-ba25-cfd9a43f62cd,Apartment in Mexico City,"3 Beautiful Apartment, 2 bedrooms, Roof Garden",2 beds,"¥ 5,382 night¥ 5,382 per night",https://www.airbnb.com/s/juventino-rosas-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3925,-99.10461
7,/rooms/893242456737004158?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688431419_zcsLOZnXQDp4Izre&previous_page_section_name=1000&federated_search_id=67536696-4697-4904-ba25-cfd9a43f62cd,Apartment in Granjas México,Condominio cercano al Foro Sol,3 beds,"¥ 9,269 night¥ 9,269 per night",https://www.airbnb.com/s/juventino-rosas-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3982,-99.1011
8,/rooms/871057552576604100?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-30&check_out=2023-08-04&source_impression_id=p3_1688431419_VmXRN1gxb1j3mZ1I&previous_page_section_name=1000&federated_search_id=67536696-4697-4904-ba25-cfd9a43f62cd,Apartment in Mexico City,Alojamiento céntrico y cerca de foro sol,1 bed,"¥ 3,845 night¥ 3,845 per night",https://www.airbnb.com/s/juventino-rosas-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39374862956005,-99.1152576734022
9,/rooms/52222774?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688431419_FUe3CYYpVmBNQc%2Fd&previous_page_section_name=1000&federated_search_id=67536696-4697-4904-ba25-cfd9a43f62cd,Condo in Granjas México,Departamento Nuevo 10 minutes from CDMX Airport,3 beds,"¥ 10,682 night¥ 10,682 per night",https://www.airbnb.com/s/juventino-rosas-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3969,-99.10233
