,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/871929409545682012?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688415216_pLP7ooVJyL7fspni&previous_page_section_name=1000&federated_search_id=f076dfad-899a-47a8-a8c9-b8bcd4360241,Home in Mexico City,Hermosa casa céntrica con jardín,3 beds,"₩49,003 / night₩49,003 per night · ₩245,015 total₩245,015 totalShow price breakdown",https://www.airbnb.com/s/la-asuncion--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3554,-99.0874
1,/rooms/863091049071591664?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-22&source_impression_id=p3_1688415216_IgU8bmlXS37tMQlN&previous_page_section_name=1000&federated_search_id=f076dfad-899a-47a8-a8c9-b8bcd4360241,Apartment in Mexico City,Hermoso Departamento,2 beds,"₩43,001 / night₩43,001 per night · ₩215,006 total₩215,006 totalShow price breakdown",https://www.airbnb.com/s/la-asuncion--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.35608706515036,-99.08825847363688
2,/rooms/37598299?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688415216_7D9h6U%2F4Uu%2ByD%2BKG&previous_page_section_name=1000&federated_search_id=f076dfad-899a-47a8-a8c9-b8bcd4360241,Apartment in Mexico City,Ideal rest of the apartment,2 single beds,"₩69,017 / night₩69,017 per night · ₩414,101 total₩414,101 totalShow price breakdown",https://www.airbnb.com/s/la-asuncion--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.35424,-99.08825
3,/rooms/51230578?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-21&check_out=2023-07-26&source_impression_id=p3_1688415216_9GKUtR8mm91er%2Btg&previous_page_section_name=1000&federated_search_id=f076dfad-899a-47a8-a8c9-b8bcd4360241,Guesthouse in Mexico City,Harmless guesthouse with patio,4 beds,"₩89,142 / night₩89,142 per night · ₩445,709 total₩445,709 totalShow price breakdown",https://www.airbnb.com/s/la-asuncion--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36703,-99.10847
4,/rooms/732827181937010244?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-29&check_out=2023-08-03&source_impression_id=p3_1688415216_aIFjPS5%2FVfzfBYVn&previous_page_section_name=1000&federated_search_id=f076dfad-899a-47a8-a8c9-b8bcd4360241,Condo in Mexico City,Apartment near Sol/Foro Sol/Coyoacán,2 beds,"₩78,124 / night₩78,124 per night · ₩390,619 total₩390,619 totalShow price breakdown",https://www.airbnb.com/s/la-asuncion--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3707,-99.1129
5,/rooms/43336780?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688415216_KMOaqE1RJRvqzK1F&previous_page_section_name=1000&federated_search_id=f076dfad-899a-47a8-a8c9-b8bcd4360241,Guest suite in Mexico City,Very comfortable furnished studio,2 beds,"₩63,250 / night₩63,250 per night · ₩316,251 total₩316,251 totalShow price breakdown",https://www.airbnb.com/s/la-asuncion--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36529,-99.10576
6,/rooms/49346479?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688415216_ubtcP9gwGrH6OEIv&previous_page_section_name=1000&federated_search_id=f076dfad-899a-47a8-a8c9-b8bcd4360241,Guest suite in Mexico City,"Comfortable and  private apartment, close to the subway.",1 double bed,"₩39,354 / night₩39,354 per night · ₩196,771 total₩196,771 totalShow price breakdown",https://www.airbnb.com/s/la-asuncion--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.34909,-99.06169
7,/rooms/40539769?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688415216_EGhkT9n2rqo9JrXV&previous_page_section_name=1000&federated_search_id=f076dfad-899a-47a8-a8c9-b8bcd4360241,Apartment in Mexico City,Mexico City. Cerro de la Estrella Terrace House.,2 double beds,"₩69,652 / night₩69,652 per night · ₩348,258 total₩348,258 totalShow price breakdown",https://www.airbnb.com/s/la-asuncion--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3493,-99.0988
8,/rooms/54304867?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-20&check_out=2023-07-25&source_impression_id=p3_1688415216_47J41O0yL3wcW0hh&previous_page_section_name=1000&federated_search_id=f076dfad-899a-47a8-a8c9-b8bcd4360241,Condo in Mexico City,HB Flat (2 BR) 15min Airport/10min Foro Sol Drive,2 beds,"₩134,717 / night₩134,717 per night · ₩673,584 total₩673,584 totalShow price breakdown",https://www.airbnb.com/s/la-asuncion--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37116,-99.11429
9,/rooms/48232524?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-18&source_impression_id=p3_1688415216_ERWT03ljuVl4ZB6F&previous_page_section_name=1000&federated_search_id=f076dfad-899a-47a8-a8c9-b8bcd4360241,Condo in Mexico City,Departamento completo a 15 minutos del aeropuerto.,2 single beds,"₩49,222 ₩42,170 / night₩42,170 per night, originally ₩49,222 · ₩210,850 total₩210,850 totalShow price breakdown",https://www.airbnb.com/s/la-asuncion--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3726,-99.1029
