,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/50142166?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688422073_7f3eAWgIxYaM7XlV&previous_page_section_name=1000&federated_search_id=28105277-6eb2-4842-8808-d249b14bcbff,Condo in Portales Norte,Cozy apartment in the heart of Narvarte,3 beds,￥580 night￥580 per night,https://www.airbnb.com/s/letran-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37388,-99.1533
1,/rooms/547822878125822073?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-15&check_out=2023-07-20&source_impression_id=p3_1688422074_RtF8bHbrZVjp%2BGjq&previous_page_section_name=1000&federated_search_id=28105277-6eb2-4842-8808-d249b14bcbff,Condo in Portales Norte,Depa El Venado,3 beds,￥435 night￥435 per night,https://www.airbnb.com/s/letran-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37515,-99.15361
2,/rooms/851636712199463780?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688422074_AXpb9doUOU4PpI6x&previous_page_section_name=1000&federated_search_id=28105277-6eb2-4842-8808-d249b14bcbff,Condo in Portales Norte,Centrally located and secure apartment,2 double beds,￥613 night￥613 per night,https://www.airbnb.com/s/letran-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.373187120132624,-99.15547149287944
3,/rooms/662408724134829640?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688422074_A6Asz8pnoXexSy3D&previous_page_section_name=1000&federated_search_id=28105277-6eb2-4842-8808-d249b14bcbff,Home in Letrán Valle,"Spacious apartment, central, full of light",3 beds,￥633 night￥633 per night,https://www.airbnb.com/s/letran-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37614,-99.15191
4,/rooms/567247639522735317?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-22&source_impression_id=p3_1688422074_YI9uTNa0Pd%2FnqMTA&previous_page_section_name=1000&federated_search_id=28105277-6eb2-4842-8808-d249b14bcbff,Boutique hotel in Vertiz Narvarte,FURNISHED ★SUITE WITH COMMON TERRACE IN SUPER AREA ★,1 bed,￥229 night￥229 per night,https://www.airbnb.com/s/letran-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37916,-99.15312
5,/rooms/597339137801679282?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688422074_w19q5ym7R7460xRu&previous_page_section_name=1000&federated_search_id=28105277-6eb2-4842-8808-d249b14bcbff,Condo in Letrán Valle,"Comfortable, clean, and safe apartment in Mexico City",2 beds,￥391 night￥391 per night,https://www.airbnb.com/s/letran-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37446,-99.15879
6,/rooms/44464920?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-18&source_impression_id=p3_1688422074_QoJsmkJ%2FOqJ5e4wX&previous_page_section_name=1000&federated_search_id=28105277-6eb2-4842-8808-d249b14bcbff,Apartment in Narvarte Poniente,"BEAR 77. Comfortable, Private, and Renovated Flat",3 beds,￥528 night￥528 per night,https://www.airbnb.com/s/letran-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3778,-99.1586
7,/rooms/51884538?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-10&source_impression_id=p3_1688422074_%2BgtMN7ES0EtxGpwx&previous_page_section_name=1000&federated_search_id=28105277-6eb2-4842-8808-d249b14bcbff,Loft in Del Valle Centro,Amazing modern loft in Col del Valle. 2,1 bed,￥403 night￥403 per night,https://www.airbnb.com/s/letran-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37861,-99.15804
8,/rooms/41483170?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688422074_La%2F7QNMPQ1vxYwTS&previous_page_section_name=1000&federated_search_id=28105277-6eb2-4842-8808-d249b14bcbff,Apartment in Portales Norte,DN Boutique Living. In front of the Park. 24-hour security,2 queen beds,"￥1,095 night￥1,095 per night",https://www.airbnb.com/s/letran-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37593,-99.15729
9,/rooms/30940030?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688422074_eJ7rCOGgIkvnaMg8&previous_page_section_name=1000&federated_search_id=28105277-6eb2-4842-8808-d249b14bcbff,Condo in Del Valle Centro,Precioso. Totalmente amueblado y equipado. Wifi,2 beds,￥584 night￥584 per night,https://www.airbnb.com/s/letran-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37687,-99.16077
