,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/31442256?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-01&check_out=2023-07-06&source_impression_id=p3_1687554932_hEEo0LRki%2FtR8qCb&previous_page_section_name=1000&federated_search_id=04c6bac7-1457-4c37-9c3b-4d8dd8627af2,Loft in Mexico City,NEW AND FOR DEMANDERS,1 king bed,$105 night$105 per night,https://www.airbnb.com/s/lomas-de-chapultepec--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42058,-99.21188
1,/rooms/47136880?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-02&check_out=2023-07-09&source_impression_id=p3_1687554932_tfWJPG6k0YCN4HpQ&previous_page_section_name=1000&federated_search_id=04c6bac7-1457-4c37-9c3b-4d8dd8627af2,Apartment in Mexico City,"Luxury PH with 2 Bd, 2.5 Baths and private rooftop",2 beds,$79 night$79 per night,https://www.airbnb.com/s/lomas-de-chapultepec--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43291,-99.21486
2,/rooms/746396455647556041?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1687554932_hHrdUBrwTwgVcMY2&previous_page_section_name=1000&federated_search_id=04c6bac7-1457-4c37-9c3b-4d8dd8627af2,Home in Mexico City,"Mexico City's 90210-Games, Fireplace, Garden & BBQ",10 beds,$351 night$351 per night,https://www.airbnb.com/s/lomas-de-chapultepec--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41493,-99.2189
3,/rooms/10153978?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-26&check_out=2023-07-31&source_impression_id=p3_1687554932_xFLuA3RsqiTNe2u6&previous_page_section_name=1000&federated_search_id=04c6bac7-1457-4c37-9c3b-4d8dd8627af2,Condo in Naucalpan de Juárez,Come & Dream in Quetzalcoatl`s Nest,5 beds,$448 night$448 per night,https://www.airbnb.com/s/lomas-de-chapultepec--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.48001,-99.27785
4,/rooms/664513410284755635?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1687554932_ifZBQnpsoSLPkQ2X&previous_page_section_name=1000&federated_search_id=04c6bac7-1457-4c37-9c3b-4d8dd8627af2,Apartment in Mexico City,Fabulous Room 1 BA w/ Terrace | Polanco,1 king bed,"$122 $67 night$67 per night, originally $122",https://www.airbnb.com/s/lomas-de-chapultepec--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4298,-99.2041
5,/rooms/41194788?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-01&check_out=2023-07-06&source_impression_id=p3_1687554932_8%2BiOD26vIj3r1VhE&previous_page_section_name=1000&federated_search_id=04c6bac7-1457-4c37-9c3b-4d8dd8627af2,Apartment in Mexico City,"Wonderful apt with 2 bed 2.5 bath, private terrace",2 beds,"$125 $84 night$84 per night, originally $125",https://www.airbnb.com/s/lomas-de-chapultepec--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43219,-99.21577
6,/rooms/689444118686202330?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-01&check_out=2023-07-06&source_impression_id=p3_1687554932_d84Nj4v%2FZsDvKtsg&previous_page_section_name=1000&federated_search_id=04c6bac7-1457-4c37-9c3b-4d8dd8627af2,Condo in Mexico City,Apartment & private terrace | Sunlight residence,1 bed,$41 night$41 per night,https://www.airbnb.com/s/lomas-de-chapultepec--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41984,-99.21558
7,/rooms/752382913081298221?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-01&check_out=2023-07-06&source_impression_id=p3_1687554932_KirE1fB10iDAtYbF&previous_page_section_name=1000&federated_search_id=04c6bac7-1457-4c37-9c3b-4d8dd8627af2,Place to stay in Mexico City,Charming 1BR Suite w/ Kitchen | Polanco,2 beds,"$134 $78 night$78 per night, originally $134",https://www.airbnb.com/s/lomas-de-chapultepec--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4298,-99.2041
8,/rooms/915199286624122418?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-01&check_out=2023-07-06&source_impression_id=p3_1687554932_y%2BVQkMP5ZflsOQEd&previous_page_section_name=1000&federated_search_id=04c6bac7-1457-4c37-9c3b-4d8dd8627af2,Apartment in Mexico City,Apartamento Lomas de Chapultepec,3 beds,"$93 $75 night$75 per night, originally $93",https://www.airbnb.com/s/lomas-de-chapultepec--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4304,-99.2144
9,/rooms/50210390?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-10&check_out=2023-08-15&source_impression_id=p3_1687554932_vwoV0tkG9diGV6wF&previous_page_section_name=1000&federated_search_id=04c6bac7-1457-4c37-9c3b-4d8dd8627af2,Condo in Naucalpan de Juárez,Dream in Quetzalcoatl Nest 7,3 beds,$387 night$387 per night,https://www.airbnb.com/s/lomas-de-chapultepec--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4788,-99.27809
