,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/52372405?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-13&source_impression_id=p3_1688451409_jrEnROeWiZn57Xfb&previous_page_section_name=1000&federated_search_id=3021b4da-867a-4baf-9414-3c16f31d68e1,Apartment in Mexico City,"Centrally located, comfortable, functional apartment",4 beds,"3,188₽ night3,188₽ per night",https://www.airbnb.com/s/lorenzo-boturini--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41642,-99.12675
1,/rooms/727742819088251641?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-18&source_impression_id=p3_1688451409_WeL%2BOV%2FHpeOWnpKG&previous_page_section_name=1000&federated_search_id=3021b4da-867a-4baf-9414-3c16f31d68e1,Condo in Mexico City,Incredible apartment 10 minutes from Foro Sol,2 double beds,"4,451₽ night4,451₽ per night",https://www.airbnb.com/s/lorenzo-boturini--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41614,-99.12151
2,/rooms/48228474?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-16&check_out=2023-08-23&source_impression_id=p3_1688451409_muM5KYMV6Kl54he5&previous_page_section_name=1000&federated_search_id=3021b4da-867a-4baf-9414-3c16f31d68e1,Guesthouse in Mexico City,detached house near the city center,1 double bed,"1,977₽ 1,660₽ night1,660₽ per night, originally 1,977₽",https://www.airbnb.com/s/lorenzo-boturini--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41516,-99.12486
3,/rooms/593644933810209846?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-28&check_out=2023-08-02&source_impression_id=p3_1688451409_E5ny7YxLu5nnMMb7&previous_page_section_name=1000&federated_search_id=3021b4da-867a-4baf-9414-3c16f31d68e1,Vacation home in Mexico City,Frida 3 • Mexican Loft • Airport and Foro Sol,4 beds,"5,027₽ 4,584₽ night4,584₽ per night, originally 5,027₽",https://www.airbnb.com/s/lorenzo-boturini--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4183,-99.1239
4,/rooms/52740734?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-27&check_out=2023-08-01&source_impression_id=p3_1688451409_nXVEkG0HU%2BU58psr&previous_page_section_name=1000&federated_search_id=3021b4da-867a-4baf-9414-3c16f31d68e1,Vacation home in Mexico City,close to downtown and the airport with a pool table with a pool table,2 double beds,"2,947₽ night2,947₽ per night",https://www.airbnb.com/s/lorenzo-boturini--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4149,-99.12395
5,/rooms/836442625264334407?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688451409_eu0M8SFolenDr3mw&previous_page_section_name=1000&federated_search_id=3021b4da-867a-4baf-9414-3c16f31d68e1,Apartment in Mexico City,Excellent location and finishes!,2 double beds,"3,690₽ night3,690₽ per night",https://www.airbnb.com/s/lorenzo-boturini--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41865349265659,-99.12500664298979
6,/rooms/767752480694937054?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688451409_PsZwWbw26SZ3JsvQ&previous_page_section_name=1000&federated_search_id=3021b4da-867a-4baf-9414-3c16f31d68e1,Room in Mexico City,Room with double bed.,Stay with Cinthia Fabiola,"1,876₽ night1,876₽ per night",https://www.airbnb.com/s/lorenzo-boturini--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4184,-99.1258
7,/rooms/38841826?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-14&check_out=2023-07-19&source_impression_id=p3_1688451409_rEaHsb3fHFt82xED&previous_page_section_name=1000&federated_search_id=3021b4da-867a-4baf-9414-3c16f31d68e1,Guest suite in Mexico City,Departamento  Ciudad de México,1 bed,"2,692₽ night2,692₽ per night",https://www.airbnb.com/s/lorenzo-boturini--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41741,-99.12302
8,/rooms/847756287980393596?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688451409_xDTvZhpMgCW4w%2BFj&previous_page_section_name=1000&federated_search_id=3021b4da-867a-4baf-9414-3c16f31d68e1,Apartment in Mexico City,Departamento Encanto.,4 beds,"3,198₽ 2,300₽ night2,300₽ per night, originally 3,198₽",https://www.airbnb.com/s/lorenzo-boturini--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41914,-99.12293
9,/rooms/548008893502958758?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688451409_06gSSZxygRot8GiP&previous_page_section_name=1000&federated_search_id=3021b4da-867a-4baf-9414-3c16f31d68e1,Condo in Mexico City,Céntrico departamento de 3 recamaras,3 double beds,"5,411₽ night5,411₽ per night",https://www.airbnb.com/s/lorenzo-boturini--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41739,-99.1254
