,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/668870203196505829?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688450031_EvaXmNW86GnOs%2Bqy&previous_page_section_name=1000&federated_search_id=7b84cb36-ef88-48aa-a254-fdb0df413f70,Room in Mexico City,Stay with Saul,Stay with Saul,$20 night$20 per night,https://www.airbnb.com/s/miravalle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.35906,-99.143
1,/rooms/51333352?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688450031_HAbaVzSGVwOuXEhU&previous_page_section_name=1000&federated_search_id=7b84cb36-ef88-48aa-a254-fdb0df413f70,Apartment in Mexico City,Apartamento completo en Portales Sur,2 double beds,$44 night$44 per night,https://www.airbnb.com/s/miravalle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36163,-99.14498
2,/rooms/694190583823653830?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-19&source_impression_id=p3_1688450031_Txk3yCOFeKRXvTRK&previous_page_section_name=1000&federated_search_id=7b84cb36-ef88-48aa-a254-fdb0df413f70,Condo in Mexico City,Central apartment 20 minutes from the International Airport,2 beds,$38 night$38 per night,https://www.airbnb.com/s/miravalle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36145,-99.14282
3,/rooms/23906399?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688450031_BQE68UVBNb5kh%2BPh&previous_page_section_name=1000&federated_search_id=7b84cb36-ef88-48aa-a254-fdb0df413f70,Room in Mexico City,Bedroom within a 25-minute walk of Coyoacán.,Stay with C. Abraham,$15 night$15 per night,https://www.airbnb.com/s/miravalle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.35846,-99.14053
4,/rooms/18152564?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-15&source_impression_id=p3_1688450031_Y565TpgEwA%2BUxare&previous_page_section_name=1000&federated_search_id=7b84cb36-ef88-48aa-a254-fdb0df413f70,Apartment in Mexico City,Apartment in Portales Oriente (Centrally located),2 beds,$32 night$32 per night,https://www.airbnb.com/s/miravalle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36582054291943,-99.1396067701567
5,/rooms/918998856883650926?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688450031_KUkcHgFela3iu6zx&previous_page_section_name=1000&federated_search_id=7b84cb36-ef88-48aa-a254-fdb0df413f70,Apartment in Mexico City,Confortable y privado depto.,2 beds,$41 night$41 per night,https://www.airbnb.com/s/miravalle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3591,-99.1397
6,/rooms/36045791?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-11&check_out=2023-07-17&source_impression_id=p3_1688450031_epQamQWpkP%2F2ffCq&previous_page_section_name=1000&federated_search_id=7b84cb36-ef88-48aa-a254-fdb0df413f70,Guest suite in Mexico City,Vintage de la Mente Libre Studio,1 double bed,$25 night$25 per night,https://www.airbnb.com/s/miravalle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3634,-99.13679
7,/rooms/35226780?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688450031_BaaVSezX7XCED2Fr&previous_page_section_name=1000&federated_search_id=7b84cb36-ef88-48aa-a254-fdb0df413f70,Apartment in Mexico City,Portales Sur Coyoacan,3 beds,$49 night$49 per night,https://www.airbnb.com/s/miravalle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.35852,-99.14164
8,/rooms/555720372007953259?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688450031_pM1RWVqcuVHAldn7&previous_page_section_name=1000&federated_search_id=7b84cb36-ef88-48aa-a254-fdb0df413f70,Room in Mexico City,"Double bedroom in large apartment with kitchen, living room",Stay with Manuel,$19 night$19 per night,https://www.airbnb.com/s/miravalle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.35994,-99.14151
9,/rooms/22159588?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-24&check_out=2023-07-29&source_impression_id=p3_1688450031_%2Bncr3a61TOmFzc7V&previous_page_section_name=1000&federated_search_id=7b84cb36-ef88-48aa-a254-fdb0df413f70,Apartment in Mexico City,Great apartment just renovated with good location!,2 double beds,$39 night$39 per night,https://www.airbnb.com/s/miravalle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36606,-99.13951
