,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/841252137632896766?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688463726_5QbvwwOyEq0MTqcj&previous_page_section_name=1000&federated_search_id=913e1ac3-dbf6-4f57-ae01-a57940000007,Condo in Mexico City,Cozy apartment Coyoacán near Frida's Kahlo House,3 min walk,$52 night$52 per night,https://www.airbnb.com/s/moctezuma-2a-seccion-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3532,-99.1576
1,/rooms/862412406371983156?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688463726_4CNFwxLNk0nfswQF&previous_page_section_name=1000&federated_search_id=913e1ac3-dbf6-4f57-ae01-a57940000007,Home in Mexico City,Preciosa casa en el corazón de Coyoacán,7 min walk,"$124 $111 night$111 per night, originally $124",https://www.airbnb.com/s/moctezuma-2a-seccion-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.34811195351325,-99.158552414248
2,/rooms/53889192?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688463726_Bvq6hXzFYdtMwTSF&previous_page_section_name=1000&federated_search_id=913e1ac3-dbf6-4f57-ae01-a57940000007,Condo in Mexico City,Malintzin Apartment near downtown Coyoacán,3 min walk,"$51 $43 night$43 per night, originally $51",https://www.airbnb.com/s/moctezuma-2a-seccion-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.35295,-99.1548
3,/rooms/45767016?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-26&check_out=2023-08-31&source_impression_id=p3_1688463726_DPT%2FfxUwr%2BpR1tAQ&previous_page_section_name=1000&federated_search_id=913e1ac3-dbf6-4f57-ae01-a57940000007,Home in Mexico City,Bella Casa Para Groups In The Best Barrio De CDMX,2 min walk,"$322 $274 night$274 per night, originally $322",https://www.airbnb.com/s/moctezuma-2a-seccion-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.35155,-99.1576
4,/rooms/792918900110388274?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688463726_sfzyCBAi6vcUL5sh&previous_page_section_name=1000&federated_search_id=913e1ac3-dbf6-4f57-ae01-a57940000007,Apartment in Mexico City,Coyoacán Downtown Department,3 min walk,$70 night$70 per night,https://www.airbnb.com/s/moctezuma-2a-seccion-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.352542333207726,-99.15673940860054
5,/rooms/23947291?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-19&check_out=2023-07-24&source_impression_id=p3_1688463726_SHXFfs4BVyPBYkJt&previous_page_section_name=1000&federated_search_id=913e1ac3-dbf6-4f57-ae01-a57940000007,Loft in Mexico City,"Lovely loft in Coyoacan, 5 blocks from Frida's",5 min walk,$39 night$39 per night,https://www.airbnb.com/s/moctezuma-2a-seccion-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.35344,-99.15631
6,/rooms/29982402?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688463726_kDus7MX4FVnMnxh%2F&previous_page_section_name=1000&federated_search_id=913e1ac3-dbf6-4f57-ae01-a57940000007,Room in Coyoacan,"Casa de la greca ,near the Frida Kahlo museum",3 min walk,$32 night$32 per night,https://www.airbnb.com/s/moctezuma-2a-seccion-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.35185,-99.15814
7,/rooms/654261007121894211?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-23&source_impression_id=p3_1688463726_sLNA9LLwbc1xO%2FE1&previous_page_section_name=1000&federated_search_id=913e1ac3-dbf6-4f57-ae01-a57940000007,Loft in Mexico City,Mini Loft near to Frida Kahlo´s House,6 min walk,$41 night$41 per night,https://www.airbnb.com/s/moctezuma-2a-seccion-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.34915,-99.158
8,/rooms/32941476?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-18&source_impression_id=p3_1688463726_RaqruPgAEqua80jE&previous_page_section_name=1000&federated_search_id=913e1ac3-dbf6-4f57-ae01-a57940000007,Condo in Mexico City,Rustic & cozy loft downtown Coyocán. Lovely Garden,2 min drive,$64 night$64 per night,https://www.airbnb.com/s/moctezuma-2a-seccion-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.34978,-99.15872
9,/rooms/24380230?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1688463726_zkSZab33y3sYXsUv&previous_page_section_name=1000&federated_search_id=913e1ac3-dbf6-4f57-ae01-a57940000007,Boutique hotel in Mexico City,Comfortable & Illuminated Room,2 min walk,"$44 $37 night$37 per night, originally $44",https://www.airbnb.com/s/moctezuma-2a-seccion-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.35128,-99.1578
