,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/53237248?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-17&source_impression_id=p3_1688460273_wdX1KP9aYwJYBVvd&previous_page_section_name=1000&federated_search_id=507a3a64-07b4-4839-9b67-f2057f0d85b1,Condo in Mexico City,Departamento entero privado para descansar,2 beds,"$24 $19 night$19 per night, originally $24",https://www.airbnb.com/s/morales-seccion-palmas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3745,-99.2163
1,/rooms/35920305?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688460273_%2B8E5fSWSALfHD0Av&previous_page_section_name=1000&federated_search_id=507a3a64-07b4-4839-9b67-f2057f0d85b1,Room in Mexico City,Bedroom in Colinas del Sur 1 queen size,Stay with Leticia,$11 night$11 per night,https://www.airbnb.com/s/morales-seccion-palmas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37006,-99.21789
2,/rooms/10153978?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-26&check_out=2023-07-31&source_impression_id=p3_1688460273_tiPNgMO%2F5YHmJWED&previous_page_section_name=1000&federated_search_id=507a3a64-07b4-4839-9b67-f2057f0d85b1,Condo in Naucalpan de Juárez,Come & Dream in Quetzalcoatl`s Nest,5 beds,$450 night$450 per night,https://www.airbnb.com/s/morales-seccion-palmas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.48001,-99.27785
3,/rooms/50210390?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1688460273_yUhWWrX12rcfySFX&previous_page_section_name=1000&federated_search_id=507a3a64-07b4-4839-9b67-f2057f0d85b1,Condo in Naucalpan de Juárez,Dream in Quetzalcoatl Nest 7,3 beds,$366 night$366 per night,https://www.airbnb.com/s/morales-seccion-palmas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4788,-99.27809
4,/rooms/53215048?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688460273_uftDkpdPMSCwF7E9&previous_page_section_name=1000&federated_search_id=507a3a64-07b4-4839-9b67-f2057f0d85b1,Condo in Mexico City,Excellent private department and complete,3 beds,$27 night$27 per night,https://www.airbnb.com/s/morales-seccion-palmas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36654,-99.21073
5,/rooms/18313708?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-29&check_out=2023-08-05&source_impression_id=p3_1688460273_dRi3N7b%2B9ehg6YXO&previous_page_section_name=1000&federated_search_id=507a3a64-07b4-4839-9b67-f2057f0d85b1,Condo in Mexico City,Departamento nuevo a 10 minutos de Santa Fe,2 double beds,"$46 $41 night$41 per night, originally $46",https://www.airbnb.com/s/morales-seccion-palmas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3658,-99.2418
6,/rooms/762610373548729102?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688460273_9%2FNAu1X%2BcaGpnJUy&previous_page_section_name=1000&federated_search_id=507a3a64-07b4-4839-9b67-f2057f0d85b1,Condo in Mexico City,Capitalia | South Haven: Top Choice,1 queen bed,"$78 $66 night$66 per night, originally $78",https://www.airbnb.com/s/morales-seccion-palmas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.347,-99.2042
7,/rooms/837009791917345112?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1688460273_KQ80%2Ba5Jmw9pKIkR&previous_page_section_name=1000&federated_search_id=507a3a64-07b4-4839-9b67-f2057f0d85b1,Place to stay in Mexico City,5 Luciérnaga,1 bed,$85 night$85 per night,https://www.airbnb.com/s/morales-seccion-palmas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3483712948823,-99.29548319982464
8,/rooms/36346122?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-12&source_impression_id=p3_1688460273_HNZScBcW6IDNIMC4&previous_page_section_name=1000&federated_search_id=507a3a64-07b4-4839-9b67-f2057f0d85b1,Guesthouse in Mexico City,Room No. 1 | Las Almendras,1 double bed,"$13 $12 night$12 per night, originally $13",https://www.airbnb.com/s/morales-seccion-palmas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3713,-99.21423
9,/rooms/907321322085489768?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-14&check_out=2023-07-21&source_impression_id=p3_1688460273_j8WeTnnI3jVC2Qbk&previous_page_section_name=1000&federated_search_id=507a3a64-07b4-4839-9b67-f2057f0d85b1,Apartment in Mexico City,"NUEVO Loft en Santa Fe, ubicación extraordinaria",2 beds,"$65 $57 night$57 per night, originally $65",https://www.airbnb.com/s/morales-seccion-palmas--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3588,-99.2707
