,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/16087119?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688464201_NdnPbjpELifS%2BtUI&previous_page_section_name=1000&federated_search_id=ffdae021-19e1-470f-b04a-afbd022cdbcc,Apartment in Nápoles,Executive 2BR Suite at Hotel Zone Connected to WTC,2 beds,"¥ 12,002 night¥ 12,002 per night",https://www.airbnb.com/s/napoles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3961,-99.1747
1,/rooms/826459732115711333?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-28&check_out=2023-08-02&source_impression_id=p3_1688464201_L9Jwj9w7M%2F19OfHs&previous_page_section_name=1000&federated_search_id=ffdae021-19e1-470f-b04a-afbd022cdbcc,Loft in Nápoles,Napoles Loft Studio Apartment with Parking Lot,1 queen bed,"¥ 5,793 night¥ 5,793 per night",https://www.airbnb.com/s/napoles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3952,-99.1779
2,/rooms/673993227138842383?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688464201_yQkgbg7U3tWZG8Gt&previous_page_section_name=1000&federated_search_id=ffdae021-19e1-470f-b04a-afbd022cdbcc,Loft in Nápoles,Excellently located LOFT in the heart of the city,1 queen bed,"¥ 9,613 night¥ 9,613 per night",https://www.airbnb.com/s/napoles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38826,-99.17873
3,/rooms/40068349?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688464201_pkPYvSeX1noWGKGm&previous_page_section_name=1000&federated_search_id=ffdae021-19e1-470f-b04a-afbd022cdbcc,Apartment in Nápoles,New Modern Suite WTC ¡¡ Super Fast 100mb WiFi !!,3 beds,"¥ 12,338 ¥ 11,044 night¥ 11,044 per night, originally ¥ 12,338",https://www.airbnb.com/s/napoles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38745,-99.17454
4,/rooms/831397503543340428?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-15&source_impression_id=p3_1688464201_K%2F0sr5zSIw97X4Fj&previous_page_section_name=1000&federated_search_id=ffdae021-19e1-470f-b04a-afbd022cdbcc,Apartment in Nápoles,Comfortable & Amazing PH in front of WTC.,1 queen bed,"¥ 8,452 night¥ 8,452 per night",https://www.airbnb.com/s/napoles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39392049338692,-99.17478517513328
5,/rooms/643618000443220516?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688464201_WHSXKRmcRVywcq4M&previous_page_section_name=1000&federated_search_id=ffdae021-19e1-470f-b04a-afbd022cdbcc,Condo in Nápoles,Mexico City WTC apartment,2 beds,"¥ 10,789 night¥ 10,789 per night",https://www.airbnb.com/s/napoles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3928,-99.1758
6,/rooms/53015668?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688464201_ncJZOTcfVHX%2BJ9vn&previous_page_section_name=1000&federated_search_id=ffdae021-19e1-470f-b04a-afbd022cdbcc,Condo in Nápoles,Trendy Spot Napoles WTC,1 queen bed,"¥ 8,807 night¥ 8,807 per night",https://www.airbnb.com/s/napoles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3933,-99.1758
7,/rooms/19700294?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688464201_gtSPNg08jVdGYUj%2F&previous_page_section_name=1000&federated_search_id=ffdae021-19e1-470f-b04a-afbd022cdbcc,Loft in Nápoles,"Near WTC, bright & comfy home!",1 bed,"¥ 8,736 night¥ 8,736 per night",https://www.airbnb.com/s/napoles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39239,-99.17587
8,/rooms/38853073?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688464201_jSIDJIrg08qejmwJ&previous_page_section_name=1000&federated_search_id=ffdae021-19e1-470f-b04a-afbd022cdbcc,Condo in Nápoles,Confortable y céntrico/Comfortable & Well Located,3 beds,"¥ 9,388 ¥ 8,307 night¥ 8,307 per night, originally ¥ 9,388",https://www.airbnb.com/s/napoles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3926,-99.17246
9,/rooms/867327163490316624?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688464201_m7DrOocHEJtwiV7a&previous_page_section_name=1000&federated_search_id=ffdae021-19e1-470f-b04a-afbd022cdbcc,Hotel in Nápoles,King Size Bed with Equipped Kitchenette in CDMX,1 king bed,"¥ 8,599 night¥ 8,599 per night",https://www.airbnb.com/s/napoles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.393221383346123,-99.1712151447649
10,/rooms/595029423141728710?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-14&source_impression_id=p3_1688464201_V4ydiWRVWu56wnH8&previous_page_section_name=1000&federated_search_id=ffdae021-19e1-470f-b04a-afbd022cdbcc,Condo in Nápoles,Amazing Apartment by WTC,1 queen bed,"¥ 7,290 ¥ 6,653 night¥ 6,653 per night, originally ¥ 7,290",https://www.airbnb.com/s/napoles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3971,-99.1743
11,/rooms/890609763019922856?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-13&source_impression_id=p3_1688464201_9MgIJSwjH%2BH2QuAF&previous_page_section_name=1000&federated_search_id=ffdae021-19e1-470f-b04a-afbd022cdbcc,Apartment in Nápoles,Hermoso departamento frente al WTC,2 beds,"¥ 12,329 ¥ 11,241 night¥ 11,241 per night, originally ¥ 12,329",https://www.airbnb.com/s/napoles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3932,-99.1757
12,/rooms/833358711131117335?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688464201_lOE6R6o3zVKetI65&previous_page_section_name=1000&federated_search_id=ffdae021-19e1-470f-b04a-afbd022cdbcc,Loft in Nápoles,Loft Patriotismo WTC cerca Condesa | 301,1 queen bed,"¥ 7,723 night¥ 7,723 per night",https://www.airbnb.com/s/napoles--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.399506232793033,-99.17948247457686
