,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/595089418733397717?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-30&check_out=2023-08-04&source_impression_id=p3_1688448038_nJoKQHwxSZvllONS&previous_page_section_name=1000&federated_search_id=4a4d4afd-e559-4a00-9d63-b2b78f468911,Hut in Mexico City,Luciérnaga,1 bed,$81 night$81 per night,https://www.airbnb.com/s/narvarte-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.34648,-99.29563
1,/rooms/50210390?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1688448038_j9OlXoTJ6n7BhhW4&previous_page_section_name=1000&federated_search_id=4a4d4afd-e559-4a00-9d63-b2b78f468911,Condo in Naucalpan de Juárez,Dream in Quetzalcoatl Nest 7,3 beds,$366 night$366 per night,https://www.airbnb.com/s/narvarte-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4788,-99.27809
2,/rooms/782740108392089634?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688448038_7FK0ztQI2myGzM%2B3&previous_page_section_name=1000&federated_search_id=4a4d4afd-e559-4a00-9d63-b2b78f468911,Apartment in Mexico City,Sonder Aria | One-Bedroom Apartment,1 king bed,$72 night$72 per night,https://www.airbnb.com/s/narvarte-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40429,-99.16753
3,/rooms/10153978?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-26&check_out=2023-07-31&source_impression_id=p3_1688448038_9cXmsSUx1GuemMFC&previous_page_section_name=1000&federated_search_id=4a4d4afd-e559-4a00-9d63-b2b78f468911,Condo in Naucalpan de Juárez,Come & Dream in Quetzalcoatl`s Nest,5 beds,$450 night$450 per night,https://www.airbnb.com/s/narvarte-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.48001,-99.27785
4,/rooms/664513410284755635?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688448038_DqV8%2F4V2hzvx0trb&previous_page_section_name=1000&federated_search_id=4a4d4afd-e559-4a00-9d63-b2b78f468911,Apartment in Mexico City,Fabulous Room 1 BA w/ Terrace | Polanco,1 king bed,"$135 $74 night$74 per night, originally $135",https://www.airbnb.com/s/narvarte-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4298,-99.2041
5,/rooms/23649534?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-04&check_out=2023-10-09&source_impression_id=p3_1688448038_LGpFvWv2JE76XVQJ&previous_page_section_name=1000&federated_search_id=4a4d4afd-e559-4a00-9d63-b2b78f468911,Boutique hotel in Mexico City,"Avant-garde room, with a beautiful view to the garden",1 king bed,$63 night$63 per night,https://www.airbnb.com/s/narvarte-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4495,-99.1614
6,/rooms/602383882831515007?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688448038_3TNtWhEq%2BCBx0GtJ&previous_page_section_name=1000&federated_search_id=4a4d4afd-e559-4a00-9d63-b2b78f468911,Condo in Mexico City,Breathtaking panoramic views + King Size Bed Apt,1 king bed,"$182 $110 night$110 per night, originally $182",https://www.airbnb.com/s/narvarte-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42169,-99.16614
7,/rooms/52769833?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688448038_DUnDEdXe5Dq0X%2Fnu&previous_page_section_name=1000&federated_search_id=4a4d4afd-e559-4a00-9d63-b2b78f468911,Apartment in Mexico City,B/Center+GYM+2 Rooftops+Fire Pit | Voguish Apt,1 king bed,"$100 $88 night$88 per night, originally $100",https://www.airbnb.com/s/narvarte-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4384,-99.192
8,/rooms/24893426?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-23&check_out=2023-07-29&source_impression_id=p3_1688448038_Ask1ME9QQYds1bZg&previous_page_section_name=1000&federated_search_id=4a4d4afd-e559-4a00-9d63-b2b78f468911,Loft in Mexico City,"Hip Minimalistic Loft at Roma Norte Gym, AC, 24/7",2 beds,"$126 $109 night$109 per night, originally $126",https://www.airbnb.com/s/narvarte-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41766,-99.15786
9,/rooms/plus/13505249?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688448038_%2Fyz2WH8hCBhWlhws&previous_page_section_name=1000&federated_search_id=4a4d4afd-e559-4a00-9d63-b2b78f468911,Apartment in Mexico City,"Modern, Industrial Apartment with Bamboo Garden",1 queen bed,"$106 $90 night$90 per night, originally $106",https://www.airbnb.com/s/narvarte-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.409706755213325,-99.1718380981773
