,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/34198075?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688418805_DUJ2IpFYWDprqmlm&previous_page_section_name=1000&federated_search_id=e4870b93-b59b-46ad-a9dc-5702f7c6edbb,Apartment in Narvarte Poniente,Very comfortable apartment with living room and bedroom,1 double bed,$912 MXN night$912 MXN per night,https://www.airbnb.com/s/narvarte-v--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38634,-99.15376
1,/rooms/53673495?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688418805_Hyo2rEJ6Ih91tKyE&previous_page_section_name=1000&federated_search_id=e4870b93-b59b-46ad-a9dc-5702f7c6edbb,Apartment in Narvarte Poniente,Cozy and Equipped Apartment in Narvarte,2 beds,"$785 MXN $708 MXN night$708 MXN per night, originally $785 MXN",https://www.airbnb.com/s/narvarte-v--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.383,-99.15734
2,/rooms/37624676?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688418805_2GEk3QXLErlYKWC4&previous_page_section_name=1000&federated_search_id=e4870b93-b59b-46ad-a9dc-5702f7c6edbb,Apartment in Narvarte Poniente,Comfortable and modern apartment in la Colonia del Valle,2 beds,$780 MXN night$780 MXN per night,https://www.airbnb.com/s/narvarte-v--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.393,-99.1615
3,/rooms/39008257?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688418805_A4G%2Fx7rNrZWKDR05&previous_page_section_name=1000&federated_search_id=e4870b93-b59b-46ad-a9dc-5702f7c6edbb,Room in Narvarte Poniente,Mexican Garden - Private Room / Centric Safe area,Stay with Kevino,$440 MXN night$440 MXN per night,https://www.airbnb.com/s/narvarte-v--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39538,-99.15755
4,/rooms/39913281?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-11&source_impression_id=p3_1688418805_gEQBs3Zre385XY9O&previous_page_section_name=1000&federated_search_id=e4870b93-b59b-46ad-a9dc-5702f7c6edbb,Apartment in Narvarte Poniente,"Del Valle modern, well lit and fully equipped apt.",2 beds,$942 MXN night$942 MXN per night,https://www.airbnb.com/s/narvarte-v--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38699,-99.16297
5,/rooms/39296422?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-24&check_out=2023-07-30&source_impression_id=p3_1688418805_NyP3XVYoXCnGFPxA&previous_page_section_name=1000&federated_search_id=e4870b93-b59b-46ad-a9dc-5702f7c6edbb,Apartment in Narvarte Poniente,Comodisima y ubicadisima Suite,2 beds,$545 MXN night$545 MXN per night,https://www.airbnb.com/s/narvarte-v--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38279,-99.15567
6,/rooms/49876842?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688418805_dxZ7DPR%2BUEjIgpeW&previous_page_section_name=1000&federated_search_id=e4870b93-b59b-46ad-a9dc-5702f7c6edbb,Apartment in Narvarte Oriente,Lovely apartment with great design and comfort,1 queen bed,$952 MXN night$952 MXN per night,https://www.airbnb.com/s/narvarte-v--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38569,-99.15242
7,/rooms/668822070369736537?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-18&source_impression_id=p3_1688418805_vELoEq4N9XUkd7O1&previous_page_section_name=1000&federated_search_id=e4870b93-b59b-46ad-a9dc-5702f7c6edbb,Condo in Narvarte Poniente,Apartment in Narvarte Poniente. Promotion,3 beds,$906 MXN night$906 MXN per night,https://www.airbnb.com/s/narvarte-v--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3926,-99.1562
8,/rooms/19826110?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-26&check_out=2023-07-31&source_impression_id=p3_1688418805_fBsE5AwkfAk%2F5Stt&previous_page_section_name=1000&federated_search_id=e4870b93-b59b-46ad-a9dc-5702f7c6edbb,Apartment in Narvarte Oriente,Comfortable and warm apartment in Narvarte.,3 beds,$788 MXN night$788 MXN per night,https://www.airbnb.com/s/narvarte-v--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3928,-99.15266
9,/rooms/46489369?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688418805_tkmBeO%2FGwYsTHeky&previous_page_section_name=1000&federated_search_id=e4870b93-b59b-46ad-a9dc-5702f7c6edbb,Apartment in Narvarte Poniente,Full apartment on the ground floor.,1 double bed,$585 MXN night$585 MXN per night,https://www.airbnb.com/s/narvarte-v--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39211,-99.16008
