,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/549987500279619278?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688422571_%2FOIaAIlMOec%2FcX%2BY&previous_page_section_name=1000&federated_search_id=505ef471-c9f1-48da-9ff8-1fd8742d63c4,Apartment in Niños Héroes,2 REC 2 BA-Centric-All Amenities 2 Cars,3 beds,"₩77,991 / night₩77,991 per night · ₩389,953 total₩389,953 totalShow price breakdown",https://www.airbnb.com/s/nios-heroes-de-chapultepec--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38619,-99.14345
1,/rooms/21931082?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-28&check_out=2023-08-02&source_impression_id=p3_1688422571_fbOVOP4TIIIgyp63&previous_page_section_name=1000&federated_search_id=505ef471-c9f1-48da-9ff8-1fd8742d63c4,Apartment in Niños Héroes,★ CDMX NEW ALL YOURS★  | NEAR HISTORIC DTWN |,4 beds,"₩96,493 ₩81,201 / night₩81,201 per night, originally ₩96,493 · ₩406,007 total₩406,007 totalShow price breakdown",https://www.airbnb.com/s/nios-heroes-de-chapultepec--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38648,-99.14353
2,/rooms/25972311?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688422571_X824wEyjBU58oUVD&previous_page_section_name=1000&federated_search_id=505ef471-c9f1-48da-9ff8-1fd8742d63c4,Apartment in Mexico City,"Cool & Luxury Apartment, CDMX",2 beds,"₩98,367 / night₩98,367 per night · ₩491,837 total₩491,837 totalShow price breakdown",https://www.airbnb.com/s/nios-heroes-de-chapultepec--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3838,-99.1448
3,/rooms/910917088536890245?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688422571_NlCtWllC9mF4jErp&previous_page_section_name=1000&federated_search_id=505ef471-c9f1-48da-9ff8-1fd8742d63c4,Apartment in Mexico City,Céntrico dpto. en CDMX,4 beds,"₩118,162 ₩99,713 / night₩99,713 per night, originally ₩118,162 · ₩498,564 total₩498,564 totalShow price breakdown",https://www.airbnb.com/s/nios-heroes-de-chapultepec--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3888,-99.1421
4,/rooms/582524837040516245?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688422571_99xrgT4w8HpGkYQj&previous_page_section_name=1000&federated_search_id=505ef471-c9f1-48da-9ff8-1fd8742d63c4,Condo in Mexico City,"Increíble departamento !!
céntrico!
 3 recamaras",3 beds,"₩94,195 ₩83,760 / night₩83,760 per night, originally ₩94,195 · ₩418,802 total₩418,802 totalShow price breakdown",https://www.airbnb.com/s/nios-heroes-de-chapultepec--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38689,-99.14126
5,/rooms/694123626043400476?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-23&source_impression_id=p3_1688422571_R03d%2FlEULxq9GO4q&previous_page_section_name=1000&federated_search_id=505ef471-c9f1-48da-9ff8-1fd8742d63c4,Apartment in Mexico City,Kokiri Deku Tree,1 bed,"₩55,730 ₩51,219 / night₩51,219 per night, originally ₩55,730 · ₩256,096 total₩256,096 totalShow price breakdown",https://www.airbnb.com/s/nios-heroes-de-chapultepec--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.387045465490342,-99.14445684755901
6,/rooms/740711905709801009?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688422571_eSSqEKgaTnyB%2Fky8&previous_page_section_name=1000&federated_search_id=505ef471-c9f1-48da-9ff8-1fd8742d63c4,Apartment in Mexico City,"Comfortable apartment, downtown and clean CDMX",2 beds,"₩51,934 / night₩51,934 per night · ₩259,669 total₩259,669 totalShow price breakdown",https://www.airbnb.com/s/nios-heroes-de-chapultepec--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38461,-99.14305
7,/rooms/522522237236263754?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-10&source_impression_id=p3_1688422571_EHGmaQl37a6dGR6y&previous_page_section_name=1000&federated_search_id=505ef471-c9f1-48da-9ff8-1fd8742d63c4,Loft in Mexico City,Roof top with BBQ ideal for couples or alone,1 queen bed,"₩59,535 / night₩59,535 per night · ₩416,744 total₩416,744 totalShow price breakdown",https://www.airbnb.com/s/nios-heroes-de-chapultepec--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38801,-99.1431
8,/rooms/750935997945306776?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-16&source_impression_id=p3_1688422571_MWh9hrrode7zuoX2&previous_page_section_name=1000&federated_search_id=505ef471-c9f1-48da-9ff8-1fd8742d63c4,Apartment in Mexico City,"New apartment in Narvarte, 15 minutes from historic downtown",4 beds,"₩126,479 ₩105,945 / night₩105,945 per night, originally ₩126,479 · ₩635,671 total₩635,671 totalShow price breakdown",https://www.airbnb.com/s/nios-heroes-de-chapultepec--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3867,-99.1468
9,/rooms/10337158?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1688422571_9HXK3G80tZCk6GIU&previous_page_section_name=1000&federated_search_id=505ef471-c9f1-48da-9ff8-1fd8742d63c4,Apartment in Benito Juárez,★ CDMX BEST LOCATION★  | NEAR HISTORIC DTWN |,4 beds,"₩76,631 / night₩76,631 per night · ₩383,157 total₩383,157 totalShow price breakdown",https://www.airbnb.com/s/nios-heroes-de-chapultepec--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3874,-99.145
