,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/39156329?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688423552_x4FAG6%2F2AiVU7OLe&previous_page_section_name=1000&federated_search_id=31d833be-653a-4592-b18c-9aacd11df2ea,Condo in Nonoalco Tlatelolco,Magnificent private department for tourists!,3 beds,$35 night$35 per night,https://www.airbnb.com/s/nonoalco-tlatelolco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45072,-99.14225
1,/rooms/665854767986911241?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-09&source_impression_id=p3_1688423552_lWmvPWfLF07pY052&previous_page_section_name=1000&federated_search_id=31d833be-653a-4592-b18c-9aacd11df2ea,Condo in Nonoalco Tlatelolco,"Beautiful apartment 150 meters ""Mi México Lindo""",5 beds,$131 night$131 per night,https://www.airbnb.com/s/nonoalco-tlatelolco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45275,-99.13929
2,/rooms/914558411178940193?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688423552_kAoO5lz0stNqsySr&previous_page_section_name=1000&federated_search_id=31d833be-653a-4592-b18c-9aacd11df2ea,Condo in Nonoalco Tlatelolco,ElChamizal cien metros de relax,3 beds,$65 night$65 per night,https://www.airbnb.com/s/nonoalco-tlatelolco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.454,-99.1378
3,/rooms/32050439?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-22&check_out=2023-07-27&source_impression_id=p3_1688423552_zGBqipwUPpZlfTiZ&previous_page_section_name=1000&federated_search_id=31d833be-653a-4592-b18c-9aacd11df2ea,Condo in San Simón Tolnahuac,Private condominium in Mexico City: 2B 2B,3 beds,$45 night$45 per night,https://www.airbnb.com/s/nonoalco-tlatelolco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4581,-99.1401
4,/rooms/22920259?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688423552_NG%2Bjbvnd5C6s7KoD&previous_page_section_name=1000&federated_search_id=31d833be-653a-4592-b18c-9aacd11df2ea,Condo in San Simón Tolnahuac,Beautiful flat in the center of Mexico City,2 double beds,$38 night$38 per night,https://www.airbnb.com/s/nonoalco-tlatelolco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45684,-99.13911
5,/rooms/27165111?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688423552_gdmCqdRpNyfEDIPD&previous_page_section_name=1000&federated_search_id=31d833be-653a-4592-b18c-9aacd11df2ea,Apartment in Nonoalco Tlatelolco,Comfortable apartment next to the subway,2 beds,$28 night$28 per night,https://www.airbnb.com/s/nonoalco-tlatelolco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45536,-99.1433
6,/rooms/20183845?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-15&check_out=2023-07-20&source_impression_id=p3_1688423552_N1UNAB%2B%2B%2Bz1Ji1ih&previous_page_section_name=1000&federated_search_id=31d833be-653a-4592-b18c-9aacd11df2ea,Condo in Guerrero,Beautiful apartment near Guerrero metro,2 beds,$38 night$38 per night,https://www.airbnb.com/s/nonoalco-tlatelolco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44977,-99.1451
7,/rooms/31177196?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688423552_Gcqkq5KlIvMCN1E%2F&previous_page_section_name=1000&federated_search_id=31d833be-653a-4592-b18c-9aacd11df2ea,Apartment in San Simón Tolnahuac,Nice apartment and with good WiFi connection,2 double beds,$47 night$47 per night,https://www.airbnb.com/s/nonoalco-tlatelolco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45883,-99.14079
8,/rooms/43537218?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688423552_pZwJt%2Fflg%2FpB5fmI&previous_page_section_name=1000&federated_search_id=31d833be-653a-4592-b18c-9aacd11df2ea,Room in Nonoalco Tlatelolco,"Jardines en el Centro, cerca del Metro",Stay with Lisandro,"$16 $13 night$13 per night, originally $16",https://www.airbnb.com/s/nonoalco-tlatelolco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45506,-99.14123
9,/rooms/14731701?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-24&check_out=2023-07-29&source_impression_id=p3_1688423552_lVZVZxIv%2F5GEauns&previous_page_section_name=1000&federated_search_id=31d833be-653a-4592-b18c-9aacd11df2ea,Apartment in Nonoalco Tlatelolco,Love APT - Privileged location - Well Equipped,1 double bed,"$25 $16 night$16 per night, originally $25",https://www.airbnb.com/s/nonoalco-tlatelolco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45389,-99.14245
10,/rooms/23338020?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-24&source_impression_id=p3_1688423552_axqJ2BUabwt5%2FCEe&previous_page_section_name=1000&federated_search_id=31d833be-653a-4592-b18c-9aacd11df2ea,Apartment in Nonoalco Tlatelolco,Love APT - Privileged location - Well Equipped,1 double bed,"$24 $18 night$18 per night, originally $24",https://www.airbnb.com/s/nonoalco-tlatelolco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4555,-99.1447
