,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/25785899?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-29&check_out=2023-08-03&source_impression_id=p3_1688417838_%2B6bmsEbakOM3X6n5&previous_page_section_name=1000&federated_search_id=a988f469-f7c5-440c-99f9-7324b9f76ce8,Apartment in Mexico City,"Viaduct, downtown apartment, 15’ airport.",4 beds,S/194 nightS/194 per night,https://www.airbnb.com/s/nueva-sta-anita--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3986,-99.12591
1,/rooms/834000738163380235?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688417838_qswofbwdZ7HEwqEg&previous_page_section_name=1000&federated_search_id=a988f469-f7c5-440c-99f9-7324b9f76ce8,Apartment in Viaducto Piedad,Cozy space near downtown,2 double beds,S/207 nightS/207 per night,https://www.airbnb.com/s/nueva-sta-anita--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4012787938799,-99.13109879680962
2,/rooms/632568357684263784?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688417838_k4NAJiNOOMHhwS3h&previous_page_section_name=1000&federated_search_id=a988f469-f7c5-440c-99f9-7324b9f76ce8,Apartment in Mexico City,Depa 10 minutes from the Palacio de los Deportes and AICM,4 beds,S/219 nightS/219 per night,https://www.airbnb.com/s/nueva-sta-anita--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4041,-99.1238
3,/rooms/41663234?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688417838_26YIriWukEqPVeyW&previous_page_section_name=1000&federated_search_id=a988f469-f7c5-440c-99f9-7324b9f76ce8,Place to stay in Viaducto Piedad,Furnished Apartment Calzada la Viga y Viaducto,1 double bed,S/87 nightS/87 per night,https://www.airbnb.com/s/nueva-sta-anita--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40404,-99.12518
4,/rooms/579970081878632673?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688417838_XBj1EIGW0KBrk64t&previous_page_section_name=1000&federated_search_id=a988f469-f7c5-440c-99f9-7324b9f76ce8,Apartment in Viaducto Piedad,Suite 1 Close to City Center and Airport,1 king bed,S/120 nightS/120 per night,https://www.airbnb.com/s/nueva-sta-anita--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40286,-99.12973
5,/rooms/23000807?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-01&check_out=2023-08-06&source_impression_id=p3_1688417838_H3TY3hawok0JTEN%2F&previous_page_section_name=1000&federated_search_id=a988f469-f7c5-440c-99f9-7324b9f76ce8,Room in Viaducto Piedad,Small and cute bathroom space * 15' airport,Stay with Mónica,S/67 nightS/67 per night,https://www.airbnb.com/s/nueva-sta-anita--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40108,-99.12585
6,/rooms/48301996?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-22&check_out=2023-07-27&source_impression_id=p3_1688417838_IsMa1Ew9gzIhjkiz&previous_page_section_name=1000&federated_search_id=a988f469-f7c5-440c-99f9-7324b9f76ce8,Apartment in Viaducto Piedad,Cozy and centrally located suite with king-size bed,1 king bed,S/122 nightS/122 per night,https://www.airbnb.com/s/nueva-sta-anita--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40369,-99.13028
7,/rooms/50934436?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-15&check_out=2023-07-20&source_impression_id=p3_1688417838_IiGEBRzMb%2FAOUCru&previous_page_section_name=1000&federated_search_id=a988f469-f7c5-440c-99f9-7324b9f76ce8,Loft in Mexico City,Centric equipped loft in Mexico City,1 double bed,S/91 nightS/91 per night,https://www.airbnb.com/s/nueva-sta-anita--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.397,-99.1326
8,/rooms/37496282?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688417838_rpUkwRTYY5RM0kTS&previous_page_section_name=1000&federated_search_id=a988f469-f7c5-440c-99f9-7324b9f76ce8,Apartment in Iztaccihuatl,"Complete, comfortable and safe apartment + terrace.",1 double bed,S/120 nightS/120 per night,https://www.airbnb.com/s/nueva-sta-anita--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39336,-99.13296
9,/rooms/53248401?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-09&source_impression_id=p3_1688417838_D%2BrQTV4UTF4GIJvU&previous_page_section_name=1000&federated_search_id=a988f469-f7c5-440c-99f9-7324b9f76ce8,Condo in Iztaccihuatl,Spacious and comfortable downtown apartment,2 double beds,"S/156 S/143 nightS/143 per night, originally S/156",https://www.airbnb.com/s/nueva-sta-anita--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39152,-99.13314
10,/rooms/584392414151597698?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688417838_GiIO%2BE31e2goQoX0&previous_page_section_name=1000&federated_search_id=a988f469-f7c5-440c-99f9-7324b9f76ce8,Apartment in Viaducto Piedad,Suite 2 Close to Historic Center and Airport,1 king bed,S/120 nightS/120 per night,https://www.airbnb.com/s/nueva-sta-anita--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40477,-99.13104
