,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/587908889250674652?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-14&source_impression_id=p3_1688471421_bMq8CfKaZzDH%2BxVT&previous_page_section_name=1000&federated_search_id=e84248d3-037e-45fc-8ae4-18fec9d19810,Apartment in Obrera,"En el Centro a 20 minutos de Foro Sol, con parking",3 beds,￥335 night￥335 per night,https://www.airbnb.com/s/obrera-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41636,-99.14025
1,/rooms/48332400?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688471421_nXnnJrZH%2ByABGxcn&previous_page_section_name=1000&federated_search_id=e84248d3-037e-45fc-8ae4-18fec9d19810,Hotel in Obrera,Private Room with Jacuzzi and Solarium in CDMX,1 king bed,￥420 night￥420 per night,https://www.airbnb.com/s/obrera-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41041,-99.13823
2,/rooms/48368510?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-21&source_impression_id=p3_1688471421_VcMC11WQgcJoieYH&previous_page_section_name=1000&federated_search_id=e84248d3-037e-45fc-8ae4-18fec9d19810,Hotel in Obrera,Private room with Jacuzzi and small terrace,2 king beds,￥305 night￥305 per night,https://www.airbnb.com/s/obrera-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41059,-99.13893
3,/rooms/24607433?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-11&check_out=2023-07-16&source_impression_id=p3_1688471421_GU5FaNXTDT7bgoku&previous_page_section_name=1000&federated_search_id=e84248d3-037e-45fc-8ae4-18fec9d19810,Apartment in Doctores,Downtown aparment ..great view jade 46 eje central,3 beds,￥376 night￥376 per night,https://www.airbnb.com/s/obrera-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41915,-99.14252
4,/rooms/54113525?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688471421_q8QI0OgzAuxVuRa9&previous_page_section_name=1000&federated_search_id=e84248d3-037e-45fc-8ae4-18fec9d19810,Condo in Doctores,Beautiful apartment near the Historic Center,1 bed,￥337 night￥337 per night,https://www.airbnb.com/s/obrera-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41132,-99.14592
5,/rooms/16188050?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-11&check_out=2023-07-17&source_impression_id=p3_1688471421_iGB5dn7Uo2MMnJK6&previous_page_section_name=1000&federated_search_id=e84248d3-037e-45fc-8ae4-18fec9d19810,Apartment in Obrera,Apartment very Centric and Cozy,2 beds,￥389 night￥389 per night,https://www.airbnb.com/s/obrera-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4182,-99.13435
6,/rooms/18689577?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1688471421_sPPfebgXV8WP%2B%2F7Q&previous_page_section_name=1000&federated_search_id=e84248d3-037e-45fc-8ae4-18fec9d19810,Condo in Doctores,"NEW APARTMENT, CLOSE TO HISTORIC DOWNTOWN",2 beds,￥325 night￥325 per night,https://www.airbnb.com/s/obrera-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4199,-99.1431
7,/rooms/18008612?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688471421_jMIKDv4t7%2BPVpcJH&previous_page_section_name=1000&federated_search_id=e84248d3-037e-45fc-8ae4-18fec9d19810,Apartment in Doctores,"Amazing view, Security, near Downtown/Foro Sol",3 beds,￥383 night￥383 per night,https://www.airbnb.com/s/obrera-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42,-99.143
8,/rooms/40377606?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-18&source_impression_id=p3_1688471421_4ar0C%2BJLSaC%2FDGM1&previous_page_section_name=1000&federated_search_id=e84248d3-037e-45fc-8ae4-18fec9d19810,Apartment in Obrera,Depa 10 minutes from Cdmx Center,2 beds,￥253 night￥253 per night,https://www.airbnb.com/s/obrera-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41861,-99.13658
9,/rooms/878447236615933731?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-30&check_out=2023-08-04&source_impression_id=p3_1688471421_F8m9k9t8ZqzFLC4%2F&previous_page_section_name=1000&federated_search_id=e84248d3-037e-45fc-8ae4-18fec9d19810,Condo in Obrera,Departamento céntrico,4 beds,￥290 night￥290 per night,https://www.airbnb.com/s/obrera-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4091,-99.1407
