,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/50210390?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1688473018_5hHUIYajXFN6b87q&previous_page_section_name=1000&federated_search_id=2958fb0f-7001-41cb-a5ce-84485d5c4089,Condo in Naucalpan de Juárez,Dream in Quetzalcoatl Nest 7,3 beds,"€ 474 night€ 474 per night · € 2,370 total€ 2,370 totalShow price breakdown",https://www.airbnb.com/s/obrera-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4788,-99.27809
1,/rooms/10153978?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-26&check_out=2023-07-31&source_impression_id=p3_1688473018_5FWNTJj9pPI6yawT&previous_page_section_name=1000&federated_search_id=2958fb0f-7001-41cb-a5ce-84485d5c4089,Condo in Naucalpan de Juárez,Come & Dream in Quetzalcoatl`s Nest,5 beds,"€ 578 night€ 578 per night · € 2,889 total€ 2,889 totalShow price breakdown",https://www.airbnb.com/s/obrera-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.48001,-99.27785
2,/rooms/595089418733397717?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-30&check_out=2023-08-04&source_impression_id=p3_1688473018_i%2F2ADavF5VKeyv5F&previous_page_section_name=1000&federated_search_id=2958fb0f-7001-41cb-a5ce-84485d5c4089,Hut in Mexico City,Luciérnaga,1 bed,€ 104 night€ 104 per night · € 516 total€ 516 totalShow price breakdown,https://www.airbnb.com/s/obrera-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.34648,-99.29563
3,/rooms/752382913081298221?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688473018_LnUkvSecmIyeVrsi&previous_page_section_name=1000&federated_search_id=2958fb0f-7001-41cb-a5ce-84485d5c4089,Place to stay in Mexico City,Charming 1BR Suite w/ Kitchen | Polanco,2 beds,"€ 156 € 100 night€ 100 per night, originally € 156 · € 500 total€ 500 totalShow price breakdown",https://www.airbnb.com/s/obrera-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4298,-99.2041
4,/rooms/782740108392089634?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688473018_WToFLDQYav5L%2B4HC&previous_page_section_name=1000&federated_search_id=2958fb0f-7001-41cb-a5ce-84485d5c4089,Apartment in Mexico City,Sonder Aria | One-Bedroom Apartment,1 king bed,€ 91 night€ 91 per night · € 455 total€ 455 totalShow price breakdown,https://www.airbnb.com/s/obrera-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40429,-99.16753
5,/rooms/24893426?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-23&check_out=2023-07-29&source_impression_id=p3_1688473018_Ng61TcRYSsjV8vBy&previous_page_section_name=1000&federated_search_id=2958fb0f-7001-41cb-a5ce-84485d5c4089,Loft in Mexico City,"Hip Minimalistic Loft at Roma Norte Gym, AC, 24/7",2 beds,"€ 144 € 129 night€ 129 per night, originally € 144 · € 769 total€ 769 totalShow price breakdown",https://www.airbnb.com/s/obrera-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41766,-99.15786
6,/rooms/52769833?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688473018_mz%2Ff5CU8%2FyfBHCzZ&previous_page_section_name=1000&federated_search_id=2958fb0f-7001-41cb-a5ce-84485d5c4089,Apartment in Mexico City,B/Center+GYM+2 Rooftops+Fire Pit | Voguish Apt,1 king bed,"€ 110 € 98 night€ 98 per night, originally € 110 · € 491 total€ 491 totalShow price breakdown",https://www.airbnb.com/s/obrera-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4384,-99.192
7,/rooms/31121149?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-27&check_out=2023-08-01&source_impression_id=p3_1688473018_Sbh8IzcT0jPmxDtf&previous_page_section_name=1000&federated_search_id=2958fb0f-7001-41cb-a5ce-84485d5c4089,Loft in Mexico City,Loft with private terrace in the heart of Condesa,1 queen bed,"€ 232 € 191 night€ 191 per night, originally € 232 · € 951 total€ 951 totalShow price breakdown",https://www.airbnb.com/s/obrera-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40818,-99.17308
8,/rooms/42667882?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688473018_d4ECIGrZsdPnR3OG&previous_page_section_name=1000&federated_search_id=2958fb0f-7001-41cb-a5ce-84485d5c4089,Apartment in Mexico City,"The Purple Jay, NEW Flat with Amazing Street Views",1 queen bed,"€ 118 € 106 night€ 106 per night, originally € 118 · € 735 total€ 735 totalShow price breakdown",https://www.airbnb.com/s/obrera-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.417929360522628,-99.16053096235056
9,/rooms/602383882831515007?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688473018_epbHT5viUleTE%2BYf&previous_page_section_name=1000&federated_search_id=2958fb0f-7001-41cb-a5ce-84485d5c4089,Condo in Mexico City,Breathtaking panoramic views + King Size Bed Apt,1 king bed,"€ 214 € 149 night€ 149 per night, originally € 214 · € 741 total€ 741 totalShow price breakdown",https://www.airbnb.com/s/obrera-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42169,-99.16614
