,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/587908889250674652?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-14&source_impression_id=p3_1688479328_1FTH9p2OqHCTyPvb&previous_page_section_name=1000&federated_search_id=7ec7eb87-acf6-4cec-8879-aaef90e79735,Apartment in Obrera,"En el Centro a 20 minutos de Foro Sol, con parking",3 beds,"655 kr NOK night655 kr NOK per night · 4,583 kr NOK total4,583 kr NOK totalShow price breakdown",https://www.airbnb.com/s/obrera-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41636,-99.14025
1,/rooms/48332400?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688479328_k2M7kCmWZAhoutDY&previous_page_section_name=1000&federated_search_id=7ec7eb87-acf6-4cec-8879-aaef90e79735,Hotel in Obrera,Private Room with Jacuzzi and Solarium in CDMX,1 king bed,"720 kr NOK night720 kr NOK per night · 3,601 kr NOK total3,601 kr NOK totalShow price breakdown",https://www.airbnb.com/s/obrera-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41041,-99.13823
2,/rooms/48368510?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-21&source_impression_id=p3_1688479328_Co0gJeqd%2FGh%2FBolJ&previous_page_section_name=1000&federated_search_id=7ec7eb87-acf6-4cec-8879-aaef90e79735,Hotel in Obrera,Private room with Jacuzzi and small terrace,2 king beds,"524 kr NOK night524 kr NOK per night · 2,619 kr NOK total2,619 kr NOK totalShow price breakdown",https://www.airbnb.com/s/obrera-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41059,-99.13893
3,/rooms/24607433?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-11&check_out=2023-07-16&source_impression_id=p3_1688479328_IYOZx7Jwg9D3V72t&previous_page_section_name=1000&federated_search_id=7ec7eb87-acf6-4cec-8879-aaef90e79735,Apartment in Doctores,Downtown aparment ..great view jade 46 eje central,3 beds,"726 kr NOK night726 kr NOK per night · 3,630 kr NOK total3,630 kr NOK totalShow price breakdown",https://www.airbnb.com/s/obrera-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41915,-99.14252
4,/rooms/54113525?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688479328_N3Ga8B1qWPNPEfyc&previous_page_section_name=1000&federated_search_id=7ec7eb87-acf6-4cec-8879-aaef90e79735,Condo in Doctores,Beautiful apartment near the Historic Center,1 bed,"642 kr NOK night642 kr NOK per night · 4,492 kr NOK total4,492 kr NOK totalShow price breakdown",https://www.airbnb.com/s/obrera-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41132,-99.14592
5,/rooms/18689577?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-09&check_out=2023-08-14&source_impression_id=p3_1688479328_e5oCJkKQDfb4Lka1&previous_page_section_name=1000&federated_search_id=7ec7eb87-acf6-4cec-8879-aaef90e79735,Condo in Doctores,"NEW APARTMENT, CLOSE TO HISTORIC DOWNTOWN",2 beds,"696 kr NOK 650 kr NOK night650 kr NOK per night, originally 696 kr NOK · 3,251 kr NOK total3,251 kr NOK totalShow price breakdown",https://www.airbnb.com/s/obrera-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4199,-99.1431
6,/rooms/18008612?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688479328_snGRNme8uPnxCbMU&previous_page_section_name=1000&federated_search_id=7ec7eb87-acf6-4cec-8879-aaef90e79735,Apartment in Doctores,"Amazing view, Security, near Downtown/Foro Sol",3 beds,"751 kr NOK night751 kr NOK per night · 3,754 kr NOK total3,754 kr NOK totalShow price breakdown",https://www.airbnb.com/s/obrera-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42,-99.143
7,/rooms/40377606?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-18&source_impression_id=p3_1688479328_tJcL8bTW0o4yf9Ej&previous_page_section_name=1000&federated_search_id=7ec7eb87-acf6-4cec-8879-aaef90e79735,Apartment in Obrera,Depa 10 minutes from Cdmx Center,2 beds,"513 kr NOK night513 kr NOK per night · 2,564 kr NOK total2,564 kr NOK totalShow price breakdown",https://www.airbnb.com/s/obrera-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41861,-99.13658
8,/rooms/878447236615933731?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-30&check_out=2023-08-04&source_impression_id=p3_1688479328_kwv0WyQoZ%2BxNY7EN&previous_page_section_name=1000&federated_search_id=7ec7eb87-acf6-4cec-8879-aaef90e79735,Condo in Obrera,Departamento céntrico,4 beds,"584 kr NOK night584 kr NOK per night · 2,920 kr NOK total2,920 kr NOK totalShow price breakdown",https://www.airbnb.com/s/obrera-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4091,-99.1407
9,/rooms/16188050?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-11&check_out=2023-07-16&source_impression_id=p3_1688479328_FSA9W1%2Fovhw6Kkzj&previous_page_section_name=1000&federated_search_id=7ec7eb87-acf6-4cec-8879-aaef90e79735,Apartment in Obrera,Apartment very Centric and Cozy,2 beds,"726 kr NOK night726 kr NOK per night · 3,628 kr NOK total3,628 kr NOK totalShow price breakdown",https://www.airbnb.com/s/obrera-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4182,-99.13435
